location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_f9bfc65a,"S ""Эй, страж! Теперь, когда я выполнила все поручения, я жду свою награду.""",,,,,
,narrator_ccefabc0,"""Сара ощущала себя очень довольной и гордой, когда говорила это. Для нее борьба за эссенцию оказалась сложнее, чем любая другая до этого, поэтому вкус победы был особенно сладок.""",,,,,
,G_5a5bcbdb,"G ""Она твоя, с этим спорить не буду. Но есть одно неприятное 'но'.""",,,,,
,narrator_63664b64,"""Сара недовольно посмотрела на стража, от чего тот медленно попятился назад. После всего, что ей пришлось пережить ради этой эссенции, она не хотела ничего слышать и знать о каких-то нюансах.""",,,,,
,narrator_12cb2eff,"""Лиззара, стоящая позади Сары, тоже была возмущена. Она как никто другой знала, что им пришлось пережить.""",,,,,
,L_cb0a0155,"L ""(Но? Какой вздор!)""",,,,,
,S_94248755,"S ""!!!""",,,,,
,S_cced787e,"S ""А ты здесь откуда? Ты меня напугала!""",,,,,
,L_f20f5535,"L ""А... ну я подумала, что тебе пригодится моя помощь...""",,,,,
,L_0d4e83dc,"L ""Да и я была бы рада вместе с Сарой закончить это дело. Так сказать, вместе начали – вместе закончим, хи-хи, ты же не против?""",,,,,
,S_fcae1fe6,"S ""Нет, конечно, просто не подкрадывайся...""",,,,,
,L_6d8879e9,"L ""Ой извини. Действительно, нужно было заранее тебя предупредить...""",,,,,
,G_3ea6e665,"G ""Да, я знал, что ты и... твоя подруга, полагаю, не будете в восторге. Однако я не могу уже ничего вернуть назад. Тебе придется самой забрать эссенцию.""",,,,,
,S_8d23c44f,"S ""И что же такого неприятного в том, что я сама приду и заберу ее?""",,,,,
,G_3cd22d3e,"G ""Как сказать...""",,,,,
,G_9147150c,"G ""Пойдемте, я должен вам кое-что показать.""",,,,,
,centered_aeba1549,"centered ""(Вот черт, каждый раз одно и тоже, неужели нельзя просто взять и отдать свою эссенцию...)""",,,,,
,centered_86d4ddf9,"centered ""Гр...""",,,,,
,S_9e57c2ea,"S ""Да...""",,,,,
,L2side6_6f40ca7b,"L2side6 ""Ч-что это...""",,,,,
,narrator_81467092,"""Сара и Лиззара стояли перед небольшим бассейном, наполненным доверху семенем. Запах стоял специфический, но отчего-то он успокаивал девушку и направлял ее настрой в другое русло. Протосс не могла сказать такого же. Ее этот вид больше пугал, чем манил.""",,,,,
,L2side6_a9151024,"L2side6 ""Кажется, он не соврал...""",,,,,
,S_71f0100d,"S ""Боюсь представить зачем вам оно нужно...""",,,,,
,narrator_3a734b3c,"""В голову Сары лезли разные пошлые и комичные мысли, связанные с зергами и кучей густой жидкости. Она так и видела красочную картинку, где страж во главе брызгался на других своим семенем в лучах яркого солнца.""",,,,,
,S_34cb6979,"S ""(Как жаль, что это не может быть правдой.)""",,,,,
,S_e0a3d5d4,"S ""Хех...""",,,,,
,Gside1_923e69f3,"Gside1 ""Это не для того, о чем ты могла подумать.""",,,,,
,S_65d9c3f9,"S ""А о чем я могла подумать?""",,,,,
,Gside1_0b1665dd,"Gside1 ""Я не...""",,,,,
,Gside1_9378797f,"Gside1 ""Это не важно.""",,,,,
,narrator_6292ed8d,"""Девушка с интересом наблюдала, как эмоции на морде стража активно сменяют друг друга.""",,,,,
,S_e399a85c,"S ""(Удивительно, они все покрыты толстым слоем хитина, но при этом их смятение все равно так легко заметить.)""",,,,,
,S_0314cdc2,"S ""Могу согласиться, это не важно.""",,,,,
