location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,narrator_32e9b35a,"""Сара осматривала огромную пустыню перед собой, не представляя как что-то настолько масштабное можно помещаться на корабле. Она не видела конца этой пустыни, наблюдая за бесконечными песочными холмами из подозрительно светлого песка.""",,,,,
,S_b6659278,"S ""(Песок, который я видела обычно более жёлтый и песчинки были крупнее. Почему этот похож на плохо измельченную муку?)""",,,,,
,narrator_7961b033,"""Девушка не хотела долго заострять на этом внимание, продолжая свои исследования. Вдалеке виделись примечательные обломки, резко бросающиеся в глаза из-за яркого цвета.""",,,,,
,S_81c4da60,"S ""Эти места такие... Заброшенные. Сколько лет здесь никто не обитает?""",,,,,
,Gside1_bf2a998f,"Gside1 ""Я не могу сказать тебе точный временной отрезок. Но, судя по состоянию окружения, еще недостаточно долго, чтобы окружение успело полностью восстановиться. Здесь все еще видны раны от прошедшего боя.""",,,,,
,S_6635692e,"S ""Это и так видно... Столько трупов, будто кто-то намеренно хотел уничтожить здесь все живое.""",,,,,
,Gside1_1f9d3480,"Gside1 ""Мы не можем утверждать. Нет никого, кто бы уцелел и рассказал нам историю этой местности. Мы можем тешить себя лишь догадками.""",,,,,
,S_7e8a92d9,"S ""(Просто сказал бы, что не знаешь...)""",,,,,
,Gside1_16d86579,"Gside1 ""Но тут точно раньше была чья-то стая, потому что трупы не имеют большого разнообразия видов. Может, она просто вымерла естественным путем? Такое тоже вероятно. А может...""",,,,,
,S_b81663f6,"S ""Специально истребили? Но кому это может понадобиться?""",,,,,
,Gside1_d382d8e4,"Gside1 ""Этот вариант более правдоподобный, судя по следам борьбы. Кто-то очень хотел помочь этим существам уйти из жизни... Столько причин, столько вариантов.""",,,,,
,S_ddee77ef,"S ""Много ли причин? Обычно это просто борьба за территорию.""",,,,,
,Gside1_02f8ff21,"Gside1 ""Сара-Сара, тебе ли не знать, как для получения одного и того же результата использовать разные мотивы.""",,,,,
,S_abf5fe53,"S ""Что ты?... Ты что-то знаешь?""",,,,,
,Gside1_1ab76fe8,"Gside1 ""Я много чего знаю.""",,,,,
,S_f6e14856,"S ""...""",,,,,
,S_ea1bef0e,"S ""Все эти разрушения. Разве кто-то в Рое может быть заинтересован в истреблении стаи?""",,,,,
