location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,SO_45bce8ac,"SO ""Хозя-я-яйка... Я не рисковал обращаться к вам по этому делу ранее, но сейчас у меня просто нет выбора!""",,,,,
,S_05635734,"S ""Что случилось?""",,,,,
,S_d5c9b7e2,"S ""(Сошс выглядит очень обеспокоенным.)""",,,,,
,S_963c48a5,"S ""(Настолько, насколько может выглядеть дрон.)""",,,,,
,SO_361d43bc,"SO ""После последней атаки протоссов мы потеряли очень много дронов. И сейчас с трудом справляемся с добычей ресурсов...""",,,,,
,S_d5cec92b,"S ""Звучит паршиво...""",,,,,
,S_e7baf8e3,"S ""Но можно ведь создать новых дронов.""",,,,,
,SO_ca053199,"SO ""На это нужно больше минералов. И пока мы добудем минералы на дронов, пройдет еще какое-то время. Да и в космосе их не так-то легко найти...""",,,,,
,S_f99ed267,"S ""(Хм... Думаю, левиафану в целом нужно не так много ресурсов. Сейчас ему скорее угрожает опасность из-за полученных им ран, что в свою очередь и замедляет его восстановление.)""",,,,,
,S_7131ed4b,"S ""(Начнутся разного рода проблемы.)""",,,,,
,SO_f371e276,"SO ""На это нет времени...""",,,,,
,SO_43da929e,"SO ""Дроны ОЧЕНЬ долго появляются на свет...""",,,,,
,SO_7202d72b,"SO ""А потом личинки надо взрастить...""",,,,,
,SO_6680c434,"SO ""Все гораздо сложнее, Хозя-я-яйка!""",,,,,
,SO_05c74eec,"SO ""Левиафан уйдет в спячку и станет экономить силы. Без новых минералов он не будет нормально жить.""",,,,,
,S_f68b35c7,"S ""И что это значит?""",,,,,
,SO_700c4774,"SO ""Циркуляция веществ в системе жизнеобеспечения корабля приостановится, как одна из главных проблем...""",,,,,
,C_1b4add07,"C ""(Короче,как минимум прекратится подача 'еды' из тентаклей.)""",,,,,
,S_7dc830fb,"S ""Это уже слишком!""",,,,,
,narrator_68298c09,"""Сара сама не заметила, как ее тон поднялся в несколько раз, эхом разнося по всей комнате отголоски произнесенного.""",,,,,
,S_033a9a12,"S ""!!!""",,,,,
,C_8a848634,"C ""(Ого, вот это реакция.)""",,,,,
,S_ca0fc90c,"S ""(Эм... не то чтобы меня это вообще заботило... Но все же!)""",,,,,
,narrator_a239b335,"""Девушке удалось успокоиться и со спокойной головой решить, что же нужно делать дальше в такой ситуации.""",,,,,
,S_0f08ee49,"S ""Ладно. Понятное дело, что проблема серьезная и другие ее последствия можно не озвучивать.""",,,,,
,S_1267e74a,"S ""Чем я могу помочь?""",,,,,
,SO_59b1b9bf,"SO ""У нас есть...""",,,,,
,narrator_11262ca1,"""Сошс достал нечто похожее на чертеж с названием аппарата.""",,,,,
,S_be866e03,"S ""Чертеж??? Серьезно???""",,,,,
,SO_ded4cc11,"SO ""Ну да, а ты думала, что постройка это так легко???""",,,,,
,S_91fa8f3e,"S ""Я больше чем уверена, что этот чертеж бесполезен, как он вообще может вам помочь?""",,,,,
,SO_02cae705,"SO ""А вот и нет! Благодаря ему у нас все получилось!""",,,,,
,S_fcdff7f2,"S ""Да-да-да, благодаря ему...""",,,,,
,S_cad2c501,"S ""И почему он такой странный... в нем же ничего не понятно.""",,,,,
