location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_07d8be1f,"S ""...""",,,,,
,S_5f4fa66c,"S ""Сай'мон.""",,,,,
,C_cb4727a3,"C ""...""",,,,,
,S_5f4fa66c_1,"S ""Сай'мон.""",,,,,
,C_cb4727a3_1,"C ""...""",,,,,
,S_021adcd4,"S ""Сай'мон!""",,,,,
,C_7a5ffad2,"C ""(?!!)""",,,,,
,C_4a507dfa,"C ""(Что случилось?)""",,,,,
,S_8aba52ba,"S ""Я...""",,,,,
,S_8aba52ba_1,"S ""Я...""",,,,,
,S_e5444573,"S ""Я не могу так больше, мне нужно поесть.""",,,,,
,C_6adbdf4a,"C ""(Ха! А я говорил!)""",,,,,
,S_14dfbbb3,"S ""Прекрати, мне нужно поесть.""",,,,,
,C_864a001a,"C ""(...)""",,,,,
,C_ab3a311c,"C ""(Ладно, так и быть.)""",,,,,
,C_cc836680,"C ""(Смотри, тебе нужно подойти к этой штуке, что висит с потолка, и сесть перед ней на колени.)""",,,,,
,S_1fc736da,"S ""Х... хорошо...""",,,,,
,narrator_c435b5ce,"""Сара подошла к щупальцу, свисающему с потолка и присела на колени.""",,,,,
,S_507cef62,"S ""Так, и что теперь?""",,,,,
,C_a5ff2452,"C ""(Теперь тебе надо открыть рот и приготовиться принять 'еду'!)""",,,,,
,S_c71e855c,"S ""Ч-что???""",,,,,
,S_6f866bf9,"S ""(Это снова какие-то извращения!)""",,,,,
,S_3a0a8669,"S ""(А еще оно капает мне на ногу, фу!!!)""",,,,,
,C_3c59b26e,"C ""(Послушай, не я придумал эти правила! Я тебе только говорю то, что знаю.)""",,,,,
,S_c13847c5,"S ""Да, может, ты и не придумал их, но этот извращенец Стуков, это по-любому его проделки!""",,,,,
,C_7336d333,"C ""(Это все равно придется сделать, если ты не хочешь умереть от голода!)""",,,,,
,C_f6f30200,"C ""(Вот увидишь, тебе это еще понравится!)""",,,,,
,S_07d8be1f_1,"S ""...""",,,,,
,S_8b13ef84,"S ""......""",,,,,
,S_bf434451,"S ""Ладно, я сделаю это.""",,,,,
,S_779cadbb,"S ""(Я должна это сделать!)""",,,,,
,S_36079fdc,"S ""(Хорошо, я пройду все эти испытания, но когда выберусь отсюда, то они еще поплатятся за это!)""",,,,,
,C_c5ebdda3,"C ""(Да-да-да, давай уже приступай к делу.)""",,,,,
,S_21aaedde,"S ""Аааааааа.""",,,,,
,narrator_23e9599b,"""Сара чуть-чуть открывает рот.""",,,,,
,S_50fc032f,"S ""Почему ничего не происходит?? Я же сделала все, как ты сказал.""",,,,,
,C_b356b969,"C ""(Я думаю, нужно открыть рот пошире.)""",,,,,
,S_42824de5,"S ""(Черт, это так странно!)""",,,,,
,narrator_41576a32,"""Сара смущается, но выполняет.""",,,,,
,S_0b450efa,"S ""Как-то так?""",,,,,
,S_8fba1860,"S ""ААААААААААА.""",,,,,
,C_1ed9e26d,"C ""(Да, да! Правильно.)""",,,,,
,narrator_37beb212,"""Тентакль, свисающий с потолка, начал набухать и подергиваться.""",,,,,
,C_061fe54a,"C ""(Получается. Готовься.)""",,,,,
,narrator_e1e85d5f,"""*ПЩЩЩЩ*{w=1.0}{nw}""",,,,,
,narrator_e1e85d5f_1,"""*ПЩЩЩЩ*{w=1.0}{nw}""",,,,,
,narrator_1a6e6255,"""*ПЩЩЩЩ*{w=1.0}""",,,,,
,narrator_30c5320e,"""Из тентакля брызнула тягучая зеленая субстанция.""",,,,,
,narrator_7cd03b00,"""Жидкость окатила все лицо Сары, также обильно заполнив ее рот.""",,,,,
,narrator_3d62e06d,"""*ПЩЩЩЩ*""",,,,,
,S_ee369b48,"S ""Мнхп!""",,,,,
,narrator_5005bbd6,"""Тентакль медленно начал сдуваться и уменьшаться в размерах. Остатки неизвестной жидкости продолжили вытекать на пол, к ногам Сары.""",,,,,
,S_f80396d0,"S ""(Что это такое?!!)""",,,,,
,C_31562eb0,"C ""(Хи-хи-хи!)""",,,,,
,S_6f259015,"S ""(Что ты ржешь, идиот! Что это за дрянь заполнила мой рот?!)""",,,,,
,C_3e10dfd3,"C ""(Это и есть твоя 'еда'.)""",,,,,
,S_400b9434,"S ""(Ч... что??)""",,,,,
,C_c8354ceb,"C ""(Да, да, просто попробуй.)""",,,,,
,S_f0d7ab1f,"S ""(Фу, нет. Она ужасна! И ужасно воняет!)""",,,,,
,S_4212ab43,"S ""(Ах, этот запах.)""",,,,,
,S_58211e05,"S ""(Я не смогу это проглотить.)""",,,,,
,S_906f8e4a,"S ""(Я даже не могу сказать с чем можно сравнить этот запах!)""",,,,,
,S_d0cb6823,"S ""(А вкус...)""",,,,,
,S_bde476dd,"S ""(Я не стану это глотать!)""",,,,,
,C_4707fad9,"C ""(Можешь говорить что угодно, но я же чувствую, как тебе хорошо.)""",,,,,
,S_07d8be1f_2,"S ""...""",,,,,
,S_bdd5d61c,"S "".......""",,,,,
,S_a4828ddf,"S ""(Я не знаю, что это со мной.)""",,,,,
,S_8a5c399d,"S ""(У меня кружится голова от этого запаха.)""",,,,,
,S_4ae03a18,"S ""(Но я должна это сделать!)""",,,,,
,S_4c1976f1,"S ""(Это ради моей свободы! Они заплатят за все это!)""",,,,,
,narrator_edbf1991,"""Сара делает небольшой глоток.""",,,,,
,S_e5e8cc58,"S ""(Вииииииииииии!!!)""",,,,,
,narrator_2cfcf79b,"""Сара почувствовала сильное возбуждение. Ее киска стала увлажняться.""",,,,,
,C_0641b36e,"C ""(Охохохо, ну ничего себе. Вот это реакция!)""",,,,,
,S_6d69c0de,"S ""(Аххх... заткнись! Это... это не из-за нее!)""",,,,,
,C_9b6203f8,"C ""(Давай, ты не все еще проглотила.)""",,,,,
,S_4dd440d9,"S ""(Я не могу, этот вкус...)""",,,,,
,C_17e164fa,"C ""(Давай, у тебя получится, сделай еще глоточек!)""",,,,,
,narrator_e8767fc9,"""Сара закрывает глаза и делает еще один глоток.""",,,,,
,S_e5e8cc58_1,"S ""(Вииииииииииии!!!)""",,,,,
,S_0bbea3f1,"S ""*Буееее*""",,,,,
,narrator_cdc32d49,"""Сара не может проглотить больше. Она открывает рот и остатки жидкости выливаются ей на грудь.""",,,,,
,S_18926b50,"S ""(Черт... еще чуть-чуть, и я бы кончила...)""",,,,,
,S_69f5b23e,"S ""(Но почему?? Почему меня это так сильно возбудило??)""",,,,,
,C_76a6612e,"C ""(Хахаха, я вижу тебе это очень понравилось.)""",,,,,
,S_5ca86542,"S ""Ч-что ты такое говоришь! Как может что-то такое понравиться! Это просто прием пищи, ничего большего. Не выдумывай!""",,,,,
,C_701a0be3,"C ""(Как скажешь.)""",,,,,
,narrator_15572258,"""Сара больше не голодна и ее силы востановлены. Уровень стресса понизился.""",,,,,
,S_dc3bea98,"S ""А я действительно чувствую себя прекрасно!""",,,,,
,S_949adcc3,"S ""(Хоть я и сделала пару небольших глотков, но...)""",,,,,
,S_fb0be619,"S ""(Как вспомню про это - аж мурашки по коже.)""",,,,,
,S_ede83f44,"S ""Брррр...""",,,,,
,C_ba0970ea,"C ""(Я же говорил, что тебе понравится! А ты мне не верила.)""",,,,,
,S_d660f155,"S ""Заткнись!""",,,,,
,S_78332b99,"S ""Я не хочу говорить об этом!""",,,,,
,C_b874fd85,"C ""(Я не настаиваю.)""",,,,,
,S_07d8be1f_3,"S ""...""",,,,,
,C_f7ecdc6e,"C ""(Ну что, ты готова к завтраку?)""",,,,,
,S_dc50f5d5,"S ""...""",,,,,
,S_6274e36a,"S ""Да...""",,,,,
,C_d5b40e90,"C ""(Тогда давай не будем медлить. Присаживайся.)""",,,,,
,S_bca0e874,"S ""(Черт, снова придется это сделать...)""",,,,,
,S_0b216e2f,"S ""(Если я хочу выбраться отсюда, то я должна это сделать. И у меня всё получится!)""",,,,,
,C_3756d872,"C ""(Да, я верю в тебя!)""",,,,,
,S_df34664f,"S ""Эй, ты можешь не подслушивать? Я как бы пытаюсь настроиться!""",,,,,
,C_b4619760,"C ""(Понял-понял, молчу.)""",,,,,
,S_26d1ba10,"S ""И вообще, кто это придумал, почему я должна открывать рот и ждать, пока меня заполнит непонятная жидкость!""",,,,,
,C_f46437f2,"C ""(Можешь узнать у Стукова!)""",,,,,
,S_d031c383,"S ""Это последний человек, с которым я бы хотела по поводу этого говорить!""",,,,,
,C_291b0b9c,"C ""(Ну, тогда ты можешь узнать у самой владычицы! Ахаха.)""",,,,,
,S_dc50f5d5_1,"S ""...""",,,,,
,S_85ec9577,"S ""(Это уже не впервые! У меня получится!)""",,,,,
,S_1f412c2a,"S ""(Надо открыть рот пошире.)""",,,,,
,S_6366ffa6,"S ""(Вот так.)""",,,,,
,S_a9c103a5,"S ""АААААА...""",,,,,
,narrator_2cc9efa5,"""Как по волшебству тентакль сразу отреагировал. Он начал надуваться.""",,,,,
,S_4310e961,"S ""(О нет, сейчас снова это будет.)""",,,,,
,narrator_ee45e21d,"""*ПЩЩЩЩ*{w=1.0}{nw}""",,,,,
,narrator_ee45e21d_1,"""*ПЩЩЩЩ*{w=1.0}{nw}""",,,,,
,narrator_83239c04,"""*ПЩЩЩЩ*{w=1.0}""",,,,,
,S_6fa800ef,"S ""Мрхпх...""",,,,,
,narrator_d69e89f2,"""На Сару полился сильный поток жидкости из тентакля.""",,,,,
,narrator_f5d30092,"""*ПШШШШШШ*""",,,,,
,S_0c42d631,"S ""(Аххх... этот запах...)""",,,,,
,S_d677d845,"S ""(Черт, мне нужно как можно быстрее проглотить все это.)""",,,,,
,S_91621e12,"S ""(Эта 'еда' сводит меня с ума!)""",,,,,
,S_faa7497f,"S ""*Гулп*""",,,,,
,S_cbf81ade,"S ""Виииииии.""",,,,,
,S_e3cfe77e,"S ""(Черт, как же приятно.)""",,,,,
,S_4de14966,"S ""(Ах, почему я так реагирую на эту еду!)""",,,,,
,S_fbaec7c9,"S ""(Я ненавижу всё это!)""",,,,,
,S_40d4c244,"S ""*Гулп*{w=1.0}{nw} """,,,,,
,S_bc0b48d9,"S ""*Гулп* """,,,,,
,S_65fccb48,"S ""Мммм...""",,,,,
,S_564e489e,"S ""(Каждый глоток - это так приятно.)""",,,,,
,S_faa7497f_1,"S ""*Гулп*""",,,,,
,S_999e8988,"S ""(У меня все горит внизу живота!)""",,,,,
