location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_a96f11ed,"S ""Ах, черт, снова плохой сон.""",,,,,
,narrator_9230c63e,"""Еще не полностью пробудившаяся Сара устремляет свой затуманенный взгляд на вход в камеру. То, что она там увидела, полностью поразило ее. Он был полностью открыт.""",,,,,
,S_b4fdd8bd,"S ""(Ч-что? Серьезно?)""",,,,,
,S_aca4216a,"S ""(Это не сон? Я не сплю?)""",,,,,
,S_7bc8914d,"S ""(Тогда это мой шанс!)""",,,,,
,narrator_617b6042,"""Сара спрыгнула с кровати, из-за чего у нее в глазах потемнело и закружилась голова. Немного пошатываясь из стороны в сторону, она пришла в себя.""",,,,,
,S_f6790eec,"S ""(Черт, не надо так быстро вскакивать с кровати...)""",,,,,
,C_3f30c31d,"C ""(Ты что, хочешь попытаться сбежать?)""",,,,,
,S_6e054d6b,"S ""(Ну да, это такая возможность. И не пытайся меня остановить!)""",,,,,
,C_4f1f74af,"C ""(Я и не собирался.)""",,,,,
,S_6391a6a1,"S ""(А??? Что-то мне это совсем не нравится, ты в последнее время какой-то странный.)""",,,,,
,C_4bc37c7e,"C ""(Да нет. Я все тот же.)""",,,,,
,narrator_2c6bdf63,"""Сара на несколько секунд умолкла.""",,,,,
,S_d9b5b736,"S ""(Ладно, нет времени разбираться, такой шанс может второй раз и не подвернуться!)""",,,,,
,narrator_4373e2c5,"""Сара аккуратно вышла из своей камеры, после чего осмотрела коридор зергов.""",,,,,
,S_6ab3e605,"S ""(Фу, как это мерзко... Это необычная база зергов, интересно, где это я нахожусь?)""",,,,,
,S_0e725139,"S ""(Мне нужно все продумать. Даже если я выберусь с этой базы, что мне делать дальше? Мне нужно будет как-то выйти на связь... но с кем?)""",,,,,
,S_67f43639,"S ""(Менгск предатель, а значит — Сынам Корхала я доверять не могу. Если они узнают, что я жива, то сделают все, чтобы я не вернулась.)""",,,,,
,S_e1bd7c92,"S ""(Но, возможно, я смогу как-то связаться с Рейнором. Это мой единственный шанс!)""",,,,,
,S_8263f93b,"S ""...""",,,,,
,S_27566fde,"S ""(Черт, у меня нет времени на размышления. Для начала нужно выбраться, а там уже на месте разберемся.)""",,,,,
,S_07e6be0f,"S ""(Но я совсем не знаю, куда мне идти.)""",,,,,
,S_b3a7cb52,"S ""Тут находится комната, где меня держат.""",,,,,
,S_75601a36,"S ""Думаю, лучше пойти направо.""",,,,,
,S_7e11a3b3,"S ""Думаю, лучше пойти налево.""",,,,,
,narrator_fb25fee5,"""Через пару минут Сара вышла на развилку.""",,,,,
,S_9e50610e,"S ""...""",,,,,
,S_f6859279,"S ""(Похоже на лабиринт... что же делать? Может, есть смысл спросить у Сай'мона?)""",,,,,
,S_ebba1651,"S ""(Я уже была здесь. Куда дальше?)""",,,,,
,S_0d2fc5a4,"S ""(Сай'мон, может, ты подскажешь, куда мне нужно?)""",,,,,
,C_db0c0bcc,"C ""(Ты это меня спрашиваешь?)""",,,,,
,S_09dc5bbc,"S ""(Именно. Ты же знаешь, как отсюда выбраться. А значит — можешь мне подсказать.)""",,,,,
,C_050f2d01,"C ""(Это твой побег, думай сама.)""",,,,,
,S_673ce2ba,"S ""(...)""",,,,,
,S_80469f7d,"S ""(Так и знала, что это глупая затея...)""",,,,,
,S_2b1cb6c9,"S ""Думаю, лучше пойти направо.""",,,,,
,S_e46595b6,"S ""Думаю, лучше пойти налево.""",,,,,
,S_79d3f39c,"S ""Мне кажется, я что-то пропустила. Нужно вернуться.""",,,,,
,S_b571b85d,"S ""Я уже довольно далеко, но по-прежнему нет ничего полезного.""",,,,,
,S_f8985d02,"S ""Думаю, лучше пойти направо.""",,,,,
,S_622e977b,"S ""Думаю, лучше пойти налево.""",,,,,
,S_d3e75033,"S ""Пузыри и шипы: ничего интересного. Нет никакого смысла их рассматривать. Я ведь права, Сай'мон?""",,,,,
,C_404c538d,"C ""(Сразу видно, ты не ценитель прекрасного. По-моему, здесь красиво, как и в любой другой комнате.)""",,,,,
,S_4eb82e5f,"S ""Красиво?! Уж точно не для меня...""",,,,,
,S_74f215e4,"S ""Мне кажется, я что-то пропустила. Нужно вернуться.""",,,,,
,S_513e9123,"S ""Снова развилка. Да сколько же их тут?""",,,,,
,S_f99933d1,"S ""Сай'мон, куда мне идти?""",,,,,
,C_52e3022d,"C ""(Это сложный вопрос. А куда ты хочешь попасть?)""",,,,,
,S_f94f9b54,"S ""Я хочу выбраться отсюда!""",,,,,
,C_1ceb8065,"C ""(Тогда тебе нужно найти выход.)""",,,,,
,S_d899e996,"S ""Ты специально?! Этот разговор бесполезен...""",,,,,
,S_898299f4,"S ""Думаю, лучше пойти направо.""",,,,,
,S_bdb1e8fa,"S ""Думаю, лучше пойти налево.""",,,,,
,S_e61b7264,"S ""Мне кажется, я что-то пропустила. Нужно вернуться.""",,,,,
,S_24ea49f9,"S ""Я уже довольно далеко зашла. Интересно, скоро ли я достигну цели?""",,,,,
,S_157e45ed,"S ""Думаю, лучше пойти направо.""",,,,,
,S_f8abe2cf,"S ""Думаю, лучше пойти налево.""",,,,,
,S_aa1654d6,"S ""Мне кажется, я что-то пропустила. Нужно вернуться.""",,,,,
,narrator_5134b2f8,"""Сара вышла к очередной развиле, но эта отличалась от других. С правой стороны была лестница, ведущая наверх.""",,,,,
,S_b6bd45a5,"S ""Думаю, я на правильном пути. Эта лестница может привести меня к выходу!""",,,,,
,S_a34a3ca8,"S ""Опять эта развилка с лестницей. Возможно, там выход?""",,,,,
,S_b87a94e3,"S ""Сейчас я узнаю, куда она ведет.""",,,,,
,S_b6bd45a5_1,"S ""Думаю, я на правильном пути. Эта лестница может привести меня к выходу!""",,,,,
,S_238fa3b9,"S ""Думаю, лучше пойти налево.""",,,,,
,S_9ca82089,"S ""Мне кажется, я что-то пропустила. Нужно вернуться.""",,,,,
,S_9b9f2506,"S ""Да, глупо было надеяться, что я выйду прямиком к выходу...""",,,,,
,S_1ea383d9,"S ""Развилка. Куда же мне пойти?""",,,,,
,S_a8afcfff,"S ""Думаю, лучше пойти направо.""",,,,,
,S_e620a17e,"S ""Думаю, лучше пойти налево.""",,,,,
,S_5a7d68bf,"S ""Мне кажется, я что-то пропустила. Нужно вернуться.""",,,,,
,narrator_79befb42,"""Сара вышла из длинного коридора. Через несколько минут она подошла к развилке.""",,,,,
,S_4df17d33,"S ""Думаю, лучше пойти направо.""",,,,,
,S_e96d0713,"S ""Думаю, лучше пойти налево.""",,,,,
,S_a3d8383c,"S ""Мне кажется, я что-то пропустила. Нужно вернуться.""",,,,,
,S_89f91320,"S ""Черт, я уже долгое время иду. Когда же я выберусь отсюда?""",,,,,
,narrator_ca6eee45,"""Пройдя еще чуть-чуть, Сара заметила странную дверь.""",,,,,
,S_b1572041,"S ""Это такая же дверь, как и в мою комнату. Правда, гораздо больше.""",,,,,
,S_33ddbe42,"S ""Снова эта странная дверь...""",,,,,
,S_8f94713a,"S ""Может, эта дверь ведет наружу?""",,,,,
,narrator_47fc663c,"""Какое-то время Сара пытается рассмотреть эту дверь. Но в итоге она не находит ничего для себя полезного.""",,,,,
,S_e87b3553,"S ""Неее, я так не думаю.""",,,,,
,S_eaee87a1,"S ""Пф... только время зря потратила.""",,,,,
,S_687f34ac,"S ""(Возможно, Сай'мон мне что-то расскажет?)""",,,,,
,S_585d4ff7,"S ""(Сай'мон.)""",,,,,
,C_ca2437ab,"C ""(Да?)""",,,,,
,S_81e8000d,"S ""(Что ты скажешь по этому поводу?)""",,,,,
,C_1c2750d8,"C ""(По какому?)""",,,,,
,S_0f6fe0f4,"S ""...""",,,,,
,S_fb2e8473,"S ""(Ты же прекрасно знаешь, о чем я спрашиваю. Зачем придуриваешься?)""",,,,,
,C_cb9460de,"C ""(Я хочу, чтобы ты у меня это спросила. Тебя же раздражает, что я всё 'подслушиваю'.)""",,,,,
,S_0f6fe0f4_1,"S ""...""",,,,,
,S_20996cb7,"S ""(Что находится за этой дверью?)""",,,,,
,C_893c03b9,"C ""(За этой дверью находится Зал Эволюции.)""",,,,,
,S_d5c3c2cb,"S ""(!!!)""",,,,,
,S_93913779,"S ""(Зал Эволюции? Что это?)""",,,,,
,C_c7f67b80,"C ""(Тебе точно интересует это? Я могу тебе сказать, что там выхода точно нет.)""",,,,,
,S_48264c60,"S ""Расскажи мне больше.""",,,,,
,C_75f72bfa,"C ""(Зал эволюции это место где мастер мутаций Абатур, проводит свои исследования в эволюции Роя.)""",,,,,
,S_296fc8a4,"S ""(Абатур? Что это или кто это? Еще одно уникальное существо?)""",,,,,
,C_cf6c2877,"C ""(Сверхразум создал одного единственного мастера эволюции, чтобы он направлял эволюцию Роя в нужное русло. Абатур, помогает Рою стать опасным оружием, которое уничтожает все на своем пути.)""",,,,,
,S_7775d448,"S ""(Но для чего ему это?)""",,,,,
,C_1b668e58,"C ""(Это же очевидно. Сверхразуму нужен Рой, который может адаптироваться к любой ситуации, в которую попадет, к любому врагу, которого встретит. Рою нужно одно единственное сознание, которое могло бы контролировать, какие черты он должен поглощать, а какие нет, и также внедрять генетические структуры в новые выводки.)""",,,,,
,C_1a528f7c,"C ""(И в Зале Эволюции Абатур проводит свои опыты.)""",,,,,
,S_7634512c,"S ""(Мы столько всего не знаем о Рое...)""",,,,,
,S_e1d18b3f,"S ""(И это существо, Абатур, он сейчас находится там?)""",,,,,
,C_ed5ccb3b,"C ""(Нет, в Зале Эволюции никого нет, кроме подопытных Абатура.)""",,,,,
