location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,S_ce46f2b4,"S ""А если все же...""",,,,,
,S_c211d0e1,"S ""Это кажется не такой уж и плохой идеей.""",,,,,
,C_ab7999b3,"C ""(А у тебя в мыслях снова только все о побеге...)""",,,,,
,S_c1969b03,"S ""С чего бы тебе ожидать чего-то другого?""",,,,,
,S_dd0c5c4e,"S ""Я все еще не собираюсь оставаться тут.""",,,,,
,C_9aafd837,"C ""(Я должен хотя бы надеяться на то, что когда-то ты остановишься.)""",,,,,
,S_55d741ff,"S ""Я остановлюсь только тогда, когда выберусь отсюда. И у меня появился прекрасный шанс. """,,,,,
,S_28a13cca,"S ""Все складывается именно так, что я наконец смогу выбраться.""",,,,,
,C_0133bdae,"C ""(Что пришло в твою голову на этот раз?)""",,,,,
,S_78f41f1a,"S ""Ты ведь и так все прекрасно знаешь. Зачем спрашиваешь?""",,,,,
,C_b5f099dc,"C ""(Может быть, я надеюсь, что ты скажешь это вслух и сама поймешь глупость своей идеи.)""",,,,,
,S_22c542db,"S ""Эта идея вовсе не глупая!""",,,,,
,C_05e0a29a,"C ""(Почему бы тебе не оставить свои попытки сбежать? Мне казалось, что ты начала привыкать. Признайся, что тебе тут не так уж и плохо, и мы спокойно пройдем этот путь до конца.)""",,,,,
,S_a0589725,"S ""Мне незачем ждать так долго. Я в любом случае не прекращу свои попытки выбраться отсюда. Никто в здравом уме не будет добровольно оставаться в месте своего заключения.""",,,,,
,C_d24af550,"C ""(То есть ты все же решила попробовать воспользоваться теми тентаклями?)""",,,,,
,S_458fd6f1,"S ""А почему нет? Не вижу ни единой причины отказываться от этой идеи.""",,,,,
,S_a22caf15,"S ""Они реагируют на меня, на мое движение. Если ими можно управлять, то я обязана попробовать!""",,,,,
,C_10e1046e,"C ""(И как же именно ты собираешься сбежать с их помощью?)""",,,,,
,S_9f341cbd,"S ""Ну... Я собираюсь позвать Стукова и приказать тентаклям схватить его. Таким образом я смогу сбежать.""",,,,,
,C_9c9a2472,"C ""(Подчинить тентакли не так уж и легко, но мне интересно, что у тебя может получится.)""",,,,,
,S_534012eb,"S ""Все у меня получится!""",,,,,
,S_5f6c106f,"S ""Пора попробовать, что же мы можем на этом этапе.""",,,,,
,C_a0dc26f8,"C ""(Ага, только не подходи к ним слишком близко.)""",,,,,
,S_c69851ab,"S ""Я и сама все прекрасно знаю. У меня есть план и я его придерживаюсь.""",,,,,
,narrator_1aee571a,"""Сара сделала пару шагов навстречу щупальцам, наблюдая за их реакцией.""",,,,,
,S_c8be1fc6,"S ""Чего и следовало ожидать... Они снова начали свое движение. Не так активно, потому что я в одежде и достаточно далеко, но это уже хороший результат.""",,,,,
,S_ebd72d2b,"S ""Если бы их направить в нужное русло... Их же так много и они все хаотично двигаются. Ах...""",,,,,
,C_ddca2c69,"C ""(Извращенка...)""",,,,,
,S_30e46d57,"S ""С чего бы это?!""",,,,,
,C_b044b4a0,"C ""(Ты не можешь спрятать от меня ни одну свою мысль. Говоришь, что хочешь поймать Стукова? Скорее ты бы использовала их по совсе-е-е-ем другому назначению. Да, Сара?)""",,,,,
,S_62c8f5b1,"S ""...""",,,,,
,S_c741687f,"S ""В этом нет ничего такого!""",,,,,
,S_76ac349b,"S ""Время, проведенное здесь, все же не прошло бесследно.""",,,,,
,C_41249fe2,"C ""(Конечно, как скажешь. У каждого свои предпочтения... Только не увлекайся сильно, а то о плане забудешь.)""",,,,,
,narrator_669a1be9,"""Сара проигнорировала сказанные в ее адрес слова, сосредотачиваясь на своих мыслях. Но каждый раз в ее мысли настырно вклинивалась картинка, как тентакли ласкают ее тело. Как они медленно и послушно касаются только тех участков, которые разрешает трогать сама Сара.""",,,,,
,S_fe57f2b9,"S ""Надо сосредоточиться! И проверить, будут ли они снова пытаться схватить меня, как делали это раньше.""",,,,,
,narrator_274dffe6,"""Сара подошла еще ближе, продолжая наблюдать за реакцией. Тентакли стали двигаться активнее, но они не проявляли желания схватит Сару за руки или ноги. Они скорее стремились к совсем другим частям ее тела, что только сильнее вгоняло Сару в краску.""",,,,,
,S_21f1bcdc,"S ""(Извращенные тентакли... как и все на этом корабле...)""",,,,,
,S_229178dc,"S ""Но... мне все же нужно попытаться контролировать их... Не физически, но хотя бы ментально.""",,,,,
