location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_ae9f2ff4,,,,,,
"""""",narrator_6e9a5c01,不明虫族基地。\n 时间：ХХ-ХХ。,,,,,
"""""",narrator_cb0964e0,两只巨大的刺蛇拖着莎拉穿过一条长长的走廊。,,,,,
"""""",narrator_18b63fd3,通道又黑又粘，充满着好几种恶臭的气味，让萨拉有点恶心想吐。,,,,,
"""""",narrator_97e2fc5d,她试图摆脱它们的紧握，但没有成功。,,,,,
"S """"",S_eee8e842,放开我，你们这些恶心的畜生！放开我！,,,,,
"""""",narrator_1e3ead92,莎拉被拖进了一个奇怪的房间，里面还有几条刺蛇。,,,,,
"""""",narrator_00c30dbb,她都没来得及反应，触手从墙上伸出来抓住了她。,,,,,
"S """"",S_9b747270,啊！不，住手！你在干什么？,,,,,
"""""",narrator_2de7900d,触手把她紧紧地绑在墙上，不让她有逃脱的机会。,,,,,
"HYside1 """"",HYside1_4b9689d4,(虫族语)哈哈哈......,,,,,
"HYside2 """"",HYside2_f4f7d89a,(虫族语)人类......真他妈蠢......,,,,,
"""""",narrator_196d041a,一直刺蛇发出一声高亢的嚎叫，随即一只粗壮的触手从墙上伸了出来.,,,,,
"""""",narrator_8fb6dd4c,它将另外一根触手伸向莎拉的脸.,,,,,
"S """"",S_41611622,那是什么？！,,,,,
"""""",narrator_028cf4be,莎拉注意到里面有东西在动，这让她感到非常害怕.,,,,,
"S """"",S_5e86c5f8,不！不！,,,,,
"""""",narrator_5f558b8e,莎拉反抗了，阻止虫族完成他们的计划。,,,,,
"HYside1 """"",HYside1_4311f2c6,*(虫族语)她的力气可真大？*,,,,,
"HYside2 """"",HYside2_fdda0640,*(虫族语)我说啊，咱们下班了去吃香香鸡吧*,,,,,
"HYside1 """"",HYside1_a89691d0,*赶快把她杀了得了*,,,,,
"""""",narrator_44482fc1,虫族们原地呆在原地欣赏着这一切...,,,,,
"""""",narrator_14920a65,直到另外一条刺蛇再次发出另一个尖锐的嚎叫声.,,,,,
"S """"",S_706c0efe,！！！,,,,,
"""""",narrator_bf73d343,它们应该找到了对付囚犯的办法。,,,,,
"HYside1 """"",HYside1_359f22f6,*(虫族语)妈诶。这下终于清静了*,,,,,
"HYside2 """"",HYside2_7495d89e,*(虫族语)我想吃烤面筋......*,,,,,
"HYside1 """"",HYside1_34cf8541,*(虫族语)你他妈的咋就知道吃？*,,,,,
"HYside1 """"",HYside1_6f78a74a,*(虫族语)你管我*,,,,,
"""""",narrator_6e166c11,她试图将头扭到一边，但是和触手相连的张口器牢牢的固定了她的头，她想说什么，但是只发出了呜呜的声音....,,,,,
"S """"",S_5dd9092a,呜!!,,,,,
"S """"",S_6b7627e4,嘿，把它拿开，别碰我的嘴!,,,,,
"S """"",S_d529e839,你们这些变态到底想干什么吗???,,,,,
"S """"",S_6a855982,Mph！！！,,,,,
"""""",narrator_5d959d42,没过多久，另外一条触手就强行塞进了它的嘴里.,,,,,
"S """"",S_706c0efe_1,！！！,,,,,
"S """"",S_3110118e,(那是什么东西?!),,,,,
"""""",narrator_43d2d2cc,莎拉感觉到这个触手似乎正在分泌有一种未知的液体.,,,,,
"S """"",S_1a4d36ff,(它要对我做了什么...),,,,,
"S """"",S_06889c0b,(我只能任人鱼肉让那个鬼东西一直卡在我的嘴里!),,,,,
"S """"",S_53a21a5d,*吞咽*,,,,,
"extend """"",extend_d59d9bc6,*吞咽*,,,,,
"S """"",S_cff8a7e6,(好像要流出来了!),,,,,
"S """"",S_e15a8ae2,"(放开我, 我才不要喝这种东西!)",,,,,
"""""",narrator_752db4ce,莎拉疯了似得挣扎着，但是触手紧紧的固定住了莎拉全身，没过多久，她就感觉到一种苦涩粘稠的液体正在进入她的肚子里.,,,,,
"S """"",S_53a21a5d_1,*吞咽*,,,,,
"extend """"",extend_d59d9bc6_1,*吞咽*,,,,,
"S """"",S_557aa767,(你们已经得逞了，快放开我!),,,,,
"S """"",S_497a7daa,呜呜!!!,,,,,
"S """"",S_f6cd41b2,(它怎么是活的?),,,,,
"S """"",S_6a855982_1,Mph！！！,,,,,
"S """"",S_8b4580ff,(它在动，它一直在我嘴里动!!!),,,,,
"S """"",S_f8f373ad,*吞咽*,,,,,
"""""",narrator_ce8356fd,终于，莎拉咽下了所有的不知名的液体，那根触手才慢慢的松开了她的头和嘴.,,,,,
"S """"",S_b2a88588,(啊啊...我的头好晕，刚刚我吞的是什么?..为什么现在我感觉一阵天旋地转...),,,,,
"S """"",S_3b0f2030,*咳嗽* *咳嗽*,,,,,
"S """"",S_fbe0580d,呜！！！*咳嗽*,,,,,
"""""",narrator_c6b3b2e6,那些虫族正在用奇怪的眼神打量着她.,,,,,
"HYside1 """"",HYside1_a2768539,*(虫族语)我说啊，咱们下班了去吃香香鸡吧*,,,,,
"HYside2 """"",HYside2_3772f560,*(虫族语)这个行，比烤鱼强*,,,,,
"""""",narrator_1860b0ed,莎拉吞下最后一滴液体，感到头晕。,,,,,
"""""",narrator_685a4a58,"刺蛇们继续用莎拉听不懂的语言交流，但是莎拉的眼皮越来越沉，随着眼前一片模糊,她失去了意识.",,,,,
"""""",narrator_08fc8e7b,当莎拉恢复意识挣开眼睛的时候，她发现她还在原先那个腔室里，依旧被触手束缚在墙上.,,,,,
"S """"",S_260b05e6,(嗯？我怎么了？),,,,,
"S """"",S_79eed4f3,(哎哟...我的头好痛...),,,,,
"C1 """"",C1_7c657f0d,(嗨。),,,,,
"S """"",S_bc753a0a,,,,,,
"""""",narrator_b7a5a723,她听到了声音，但房间里没有人。,,,,,
"S """"",S_c9cc672b,你是谁？,,,,,
"S """"",S_4b17a095,我看不到你。展示你自己，不管你是谁！,,,,,
"C1 """"",C1_ebadb031,(冷静一点，我在这里。),,,,,
"""""",narrator_a8910f0c,莎拉还是看不见任何人。她还是一个人在房间里。,,,,,
"S """"",S_5d59afaa,哪里？我没看见任何人！,,,,,
"C1 """"",C1_7d42b952,(在你身体里),,,,,
"C1 """"",C1_da160f70,(请闭上眼睛),,,,,
"S """"",S_53602009,什么？为什么？,,,,,
"S """"",S_d5e066da,(这声音是从哪里来的？),,,,,
"C1 """"",C1_1cc3aec0,(如果你安我说的那样做，你就能看到我了。),,,,,
"S """"",S_2737ec08,……,,,,,
"""""",narrator_34a3ef8c,莎拉顺从了，闭上了眼睛。,,,,,
"""""",narrator_87b03254,但什么也没发生。除了黑暗，她什么也没看见。,,,,,
"S """"",S_9c3df6bd,所以呢？,,,,,
"C1 """"",C1_4f205ebc,(专注于我的声音。),,,,,
"S """"",S_b8906dad,你到底在说什么？,,,,,
"C1 """"",C1_8aa4407b,(就这么做吧。),,,,,
"""""",narrator_7a3ffa7d,莎拉服从了。她努力集中注意力，仔细倾听周围的环境。,,,,,
"""""",narrator_db175699,不一会儿，她看到...新的东西...她从未见过的{b}生物{/b}。,,,,,
"C1 """"",C1_1875eced,(现在你看到我了！),,,,,
"S """"",S_2b674f2e,！！！,,,,,
"S """"",S_09052480,这...这是什么？？？,,,,,
"C1 """"",C1_175bb7b4,(这就是我！),,,,,
"S """"",S_7ad9cfec,你觉得我傻吗？,,,,,
"C1 """"",C1_1b77bbc6,……,,,,,
"C1 """"",C1_3e38c517,（唉，真是的。）,,,,,
"C1 """"",C1_a2b5cd88,(那我就得自己动手了。),,,,,
"""""",narrator_7ffb1012,*电击*,,,,,
"C1 """"",C1_d2d634cb,(现在好多了。),,,,,
"S """"",S_f5f8413c,(发...发生了什么事？),,,,,
"C1 """"",C1_8008a070,(闭上眼睛，莎拉。),,,,,
"""""",narrator_26e5f66c,莎拉违背自己的意愿，闭上了眼睛。她听到的声音似乎能控制她的身体。,,,,,
"S """"",S_9568833f,(我的身体在自行移动！),,,,,
"C1 """"",C1_4f205ebc_1,(专注于我的声音。),,,,,
"""""",narrator_7a3ffa7d_1,莎拉服从了。她努力集中注意力，仔细倾听周围的环境。,,,,,
"""""",narrator_7a27a242,不一会儿，她看到...新的东西...她从未见过的{b}生物{/b}。,,,,,
"C1 """"",C1_e5838eee,(你现在可以看到我了。),,,,,
"C1 """"",C1_3afb7d71,(现在我要把控制权还给你。),,,,,
"S """"",S_0f458c5a,那...那是什么鬼东西？,,,,,
"C1 """"",C1_3e918a47,(你想见我，我帮了你做到。),,,,,
"S """"",S_267c3de6,那是什么意思？！,,,,,
"C1 """"",C1_543f9228,(我就是他们植入你体内的寄生虫。你可以叫我西蒙。),,,,,
"S """"",S_c3a86dba,你什么意思？他们对我做了什么？！,,,,,
"S """"",S_67c2e22f,我觉得恶心...啊！,,,,,
"C """"",C_b9105794,(冷静，姑娘。没事。),,,,,
"S """"",S_0bf3324f,'没事'是什么意思？！我被某种瘟疫感染了，我被监禁了！,,,,,
"C """"",C_a2c0cd35,(嘿！请礼貌一点。别叫我'瘟疫'。按我告诉你的那样叫我西蒙。),,,,,
"S """"",S_17e0ed9d,我怎么能听到你的声音？这个...他们让我...喝的液体...一定是进了我的肚子里...,,,,,
"C """"",C_68250997,(别担心了。你胃里的寄生虫已经死了。),,,,,
"S """"",S_8526cb92,等等，但是怎么还会有...,,,,,
"C """"",C_bfbbeaab,(但在死前，它释放出的孢子进入你的血液，然后进入你的大脑。),,,,,
"S """"",S_038378dd,什么？你在我脑子里吗？！,,,,,
"S """"",S_91855d95,啊啊！,,,,,
"C """"",C_db5b620b,(哎哟！别那样尖叫。很不舒服！),,,,,
"S """"",S_9ba91748,哦，不！哦，不！,,,,,
"C """"",C_f5f8ccbb,(冷静下来！我不会伤害你的。我们会和平共生等等。),,,,,
"S """"",S_a53ce325,什么共生？！你要在我脑子里干什么？！,,,,,
"C """"",C_9cbb33dd,(这是一个复杂的话题...现在你只需要知道你现在能听懂虫群语言。),,,,,
"S """"",S_2737ec08_1,……,,,,,
"C """"",C_747fba85,(我认为这是有用的技能。尤其是考虑到你的状态。),,,,,
"C """"",C_aa57317b,(我也注意到了你强大的灵能并压制了它们。不想让你做任何鲁莽的事...),,,,,
"C """"",C_3cf1bd67,(当我在做的时候，我也发现了一些有趣的东西。咱们以后再说。),,,,,
"S """"",S_c641fd79,什么？！,,,,,
"C """"",C_a960386a,(我们一会儿再谈。他们来了。),,,,,
"S """"",S_16775b94,等等，我还没说完呢！,,,,,
"""""",narrator_b5870a61,两条刺蛇进了房间。,,,,,
"HYside1 """"",HYside1_f9285e5a,,,,,,
"HYside2 """"",HYside2_38712a43,,,,,,
"HYside1 """"",HYside1_84b53785,,,,,,
"HYside2 """"",HYside2_c093e329,,,,,,
"""""",narrator_292b6932,触手松开了莎拉，一条刺蛇立刻抓住了她。,,,,,
"""""",narrator_3c0a8cf2,两个虫族把莎拉带走了。,,,,,
"""""",narrator_584174a9,她又被拖过一条长长的走廊，来到一个不知名的地方。,,,,,
"S """"",S_9ab16790,不，不！放开我，你们这些混蛋！我不想去！不！,,,,,
"H1 """"",H1_ad8a652e,({i}He-he-he. Good. Time to bring her to the Mistress. Graaa!!!){/i},,,,,
"H2 """"",H2_da68f95c,({i}Everyone is like that at first. I just love those moments.){/i},,,,,
"H1 """"",H1_def82aaa,"({i}Let's hurry, Mistress doesn't like to wait.){/i}",,,,,
"""""",narrator_66b96f45,两个虫族把莎拉拖进另一个房间。,,,,,
"""""",narrator_b3e7e795,这个房间更像一个大殿。至少，莎拉是这么认为的。里面挤满了各种各样的虫族，它们饶有兴趣地看着莎拉的到来。,,,,,
"""""",narrator_72bdc5ce,莎拉被扔到虫后面前。,,,,,
"S """"",S_291d4e4c,哎呀(摔倒)！,,,,,
"Q """"",Q_a39a1ad7,看谁来了！,,,,,
"Q """"",Q_8201cea1,,,,,,
"S """"",S_6f8f0319,手里吗？你照镜子了吗？！,,,,,
"Q """"",Q_59bd3609,尖利的舌头。我的士兵喜欢像你这样的人。,,,,,
"HYside1 """"",HYside1_729d9d12,,,,,,
"HYside3 """"",HYside3_865abab1,,,,,,
"HYside4 """"",HYside4_d793aabf,,,,,,
"HYside5 """"",HYside5_41cf0063,,,,,,
"S """"",S_bfd1bcaa,(不！太可怕了！我不想听这些！),,,,,
"Q """"",Q_72363ab7,姑娘，不用担心了。我是个好虫后。我给你一个机会。如果你通过了我所有的考验，我就放了你。,,,,,
"S """"",S_e7cda17c,？？？,,,,,
"S """"",S_593384e5,什么考验？,,,,,
"Q """"",Q_69e93e90,哈哈哈！,,,,,
"Q """"",Q_d3e3b7b2,你很快就会知道的。,,,,,
"Q """"",Q_33652ba5,把她带到斯托科夫那儿。他在等着她。,,,,,
"Q """"",Q_3a8a8890,你要协助他，明白了吗？,,,,,
"C """"",C_de4ce71d,(是的，我的虫后！),,,,,
"S """"",S_c52017f6,(！！！),,,,,
"""""",narrator_399f5922,虫族再次抓住莎拉，把她带走。,,,,,
"S """"",S_ce2b24d0,不！哎呀！把你的爪子从我身上拿开！,,,,,
"C """"",C_3a3543f6,通讯检查！,,,,,
"C """"",C_3e4f2f4d,通讯检查，收到了吗？,,,,,
"S """"",S_5727b81b,嗄？,,,,,
"C """"",C_580b9d6e,(你不需要说话。可以用思维和我交流。我能听得到。),,,,,
"S """"",S_6d3c165e,(这是怎么回事？你为什么现在才说？),,,,,
"C """"",C_f0a0d81e,(额，这个不简单啊，我对你的脑子还没有那么熟悉),,,,,
"S """"",S_c52017f6_1,(！！！),,,,,
"C """"",C_8dd5355f,(我会尽快告诉你我发现的一切。记住这一点。),,,,,
"S """"",S_0e78e42f,(那就告诉我'是的，我的虫后'是什么意思？你应该协助谁？这到底是怎么回事？),,,,,
"C """"",C_ff2c38eb,(别着急。你很快就会知道的。),,,,,
"""""",narrator_e43ad6bb,虫族把莎拉推进另一个房间并关上门。,,,,,
"""""",narrator_91aaa9c7,哎呀(摔倒)！,,,,,
"""""",narrator_3a02e311,莎拉站起来试着把门打开，没反应。她开始打门了。,,,,,
"S """"",S_3c937685,,,,,,
"extend """"",extend_37906f16,,,,,,
"extend """"",extend_c7aab6e1,,,,,,
"C """"",C_c2e10739,(别费力。你不能打开这扇门。),,,,,
"S """"",S_e438bb38,倒霉！我该怎么办...,,,,,
"S """"",S_3c937685_1,,,,,,
"extend """"",extend_37906f16_1,,,,,,
"extend """"",extend_c7aab6e1_1,,,,,,
"C1 """"",C1_f10e229e,嘿，你好。我就在想他们什么时候要送新的...嗯...囚犯。,,,,,
"S """"",S_d32601f4,嗄？,,,,,
"C1 """"",C1_adf18811,安静一下，姑娘。我不会咬人。,,,,,
"S """"",S_10c2d944,你...是什么？,,,,,
"C1 """"",C1_bf996b99,我呢？,,,,,
"extend """"",extend_2040b3f9, 我叫亚历克赛·斯图科夫。现在我是你最亲密的朋友和最好的谈伴。,,,,,
"S """"",S_e7cda17c_1,？？？,,,,,
"S """"",S_9f013608,这是怎么回事？虫后谈到了一些'考验'，然后它们会放了我。我该怎么办？我想离开这里。,,,,,
"A """"",A_8c24f655,呃...'考验'你说。我们的虫后最近很淘气，哈哈。,,,,,
"A """"",A_9ef33c16,所以呢...你要做的就是认真听我说，做我说的每件事。,,,,,
"S """"",S_ddea29c7,就这些吗？,,,,,
"A """"",A_1f7156d3,目前就是...,,,,,
"S """"",S_ef3aba4b,然后？,,,,,
"A """"",A_30803b0e,亲爱的，别着急了。,,,,,
"S """"",S_9a1a393b,(从现在开始谁都会这么说吗？),,,,,
"C """"",C_34dcca1a,(嘻嘻),,,,,
"S """"",S_91f465af,好吧，但我可以先问几个问题吗？,,,,,
"A """"",A_9c013300,当然可以！你想知道什么？,,,,,
"S """"",S_f5f143cc,你怎么会来这里的？你不是虫族吧？,,,,,
"A """"",A_499e9faf,那是个很有趣的故事。,,,,,
"A """"",A_28b497d4,我是联合地球理事会的副司令，负责指挥前线舰队。但是因为杜格莱上将的错误，我在一次任务中被杀了。 ,,,,,
"A """"",A_4f755c39,后来啊，虫族给了我第二次机会，这次，我决定了，我只为自己活着。,,,,,
"A """"",A_cfb886d0,就这样，有意思吧。,,,,,
"S """"",S_047a7b63,等等，你曾经是人类......没错吧？,,,,,
"A """"",A_39d91331,好吧！,,,,,
"S """"",S_3c43fe04,它们对你做了什么？你看起来......似乎不是人类了。,,,,,
"A """"",A_ea30f27b,当然，它们改造了我，现在呢，我和亿万虫族一样，都是虫群的一部分，我发自内心的服从女王的命令。,,,,,
"S """"",S_2406ea3e,但你为什么......？,,,,,
"A """"",A_6d3df72b,为什么要这样做？,,,,,
"A """"",A_0791808f,当然是因为我就喜欢这样啊！哈哈哈哈！,,,,,
"A """"",A_953752f1,这里没你看起来的那么糟。我已经习惯了。最起码我敢肯定，比当人类联盟的替死鬼好多了。哈！,,,,,
"S """"",S_c7934c61,……,,,,,
"S """"",S_627f84f4,我想问个有关寄生虫的问题。它们在我身上植入了一些东西。你知道这是什么吗？,,,,,
"A """"",A_307f49f1,你说呢？,,,,,
"A """"",A_4f4e9ba1,这东西嘛。就是虫群的寄生虫而已，它们会和宿主达成共生关系。,,,,,
"S """"",S_d98d91d2,寄生虫会做什么？他们的存在意义是什么？,,,,,
"A """"",A_bf4656ce,嗯......我也不是很确定，但它们能控制你。它们一般用于控制俘虏。女王与所有的寄生虫都有联系，它们会发送关于寄主的位置和状态的信息。它们可以做一些你想象不到的奇怪事情。,,,,,
"A """"",A_83b7cb14,现在你的意识已经和虫群相连了，你要学着适应它。,,,,,
"A """"",A_ece44eae,所以，你已经逃不掉了。女王的士兵会立刻抓住你。只有当女王把寄生虫从你身上取走时，你才有机会逃走。,,,,,
"A """"",A_24005009,(呵，事实上，寄生虫是拿不掉的，当然，可以和脑子一块分离出去，呵呵呵呵......),,,,,
