location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_63a41a8c,斯托克夫依然带着猥琐的笑容走进了房间，他用响亮的咳嗽引起了莎拉的注意。,,,,,
"A """"",A_f139fde1,早上好…我的乖女孩！,,,,,
"S """"",S_4cc45d6b,我本来心情一直很好的，直到刚才你来了。,,,,,
"A """"",A_a3799ab8,实际上，我是有个好消息要告诉你！,,,,,
"S """"",S_d1077381,什么好消息？ 值得让你这么早来告诉我？,,,,,
"A """"",A_1c33fe6f,是女王陛下要召见你。这对于你来说应该是个好消息。,,,,,
"S """"",S_9f94605b,女王陛下？ 她为什么要召见我？,,,,,
"S """"",S_80c16769,是不是你告诉了她一些事？否则她为什么无凭无故，会召见我,,,,,
"A """"",A_faaf28c1,当然，我一直向她汇报，你学习的过程。,,,,,
"S """"",S_3cebdd6c,好吧！我们这就去见她…,,,,,
"Q """"",Q_87fd2080,你好，人类。很高兴再次见到你。,,,,,
"""""",narrator_575ae123,女王的凝视让莎拉头皮发麻。,,,,,
"S """"",S_2524659e,我想知道，您找我干什么…？,,,,,
"""""",narrator_439168cf,说完，莎拉犹豫地低下头，试图避开与女王的直接对视。这让莎拉感觉很紧张。,,,,,
"""""",narrator_e19e5b85,女王示意莎拉靠近她，然后就用她的眼睛控制着莎拉，莎拉感觉自己的身体开始不听使唤了。,,,,,
"S """"",S_e8623821,（该死的…她又想控制我了！）,,,,,
"""""",narrator_b653f68c,莎拉费了好大的劲才在女王面前停下下来，这个时候她的眼睛恢复了正常的颜色。,,,,,
"Q """"",Q_d26aee0b,不错，你们幽灵特工确实有几分实力！,,,,,
"Q """"",Q_efbe58aa,竟然，这么快就破了我的干扰电波,,,,,
"Q """"",Q_7c423de1,是的，你变得越来越强了！这就是我们虫族的力量。,,,,,
"""""",narrator_5eb82323,女王不断审视着莎拉，就像好看在看一件她的艺术品一样。,,,,,
"""""",narrator_cae59833,女王托起了莎拉的脸，一遍一遍地看着。,,,,,
"Q """"",Q_1dd5d72e,多么美丽的面容，这让我想起了从前的自己…,,,,,
"S """"",S_e9e1647f,……,,,,,
"""""",narrator_658fbc1a,女王充满怜爱的抚摸着莎拉的脸蛋。,,,,,
"Q """"",Q_08f6e2ed,虽然你看我的表情依然有些害怕，但我明显感觉到了你的变化，你不再是我第一次见过的那个脆弱的人类！,,,,,
"Q """"",Q_5899a263,你可怜的肉体，正在阻碍你的潜能！,,,,,
"Q """"",Q_fdaa4026,你是第一个能做到如此地步的人类！,,,,,
"Q """"",Q_b2593dac,但是这样还不够，只要我愿意出手的话，依然能轻易扭断你的脖子…,,,,,
"S """"",S_1bed2947,（是的，我根本毫无反抗的余地？）,,,,,
"S """"",S_ece0f9d9,我知道您不会这样做的，对吗？,,,,,
"""""",narrator_c03a6b1f,女王放开了萨拉，从头到脚打量着她。似乎莎拉身上有某种，有某种她需要的东西。,,,,,
"Q """"",Q_d732ec5d,你真的了解自己吗？,,,,,
"Q """"",Q_97e25255,我可以预言到你的未来，如果你按照我们指引你的路，一直向前走，你甚至有能力征服整个宇宙，星星会被你的力量征服，我看到整个文明因听到你的名字而颤抖，我看到其他文明把你当作神来崇拜，我可以预知这一切。,,,,,
"Q """"",Q_9582d7f6,但是你必须舍弃一些东西，那就是你的身体，这糟糕的人类肉体，根本不能发挥你的全部潜能！,,,,,
"Q """"",Q_08040b95,所以，你必须舍弃它，我们会为你创造一个全新的身体！,,,,,
"S """"",S_6ab365b2,按照，你的要求，我的身体会怎么样？,,,,,
"Q """"",Q_ab0b95d8,这么跟你说吧！你将进化成一个更先进，更强大的个体,,,,,
"S """"",S_f49cbcbe,但是，这种力量对我来说，是个负担…,,,,,
"Q """"",Q_d9538c53,不要害怕，这并不可怕。 相反，它是完美的！ 你将像一只从毛毛虫变成更美的蝴蝶！,,,,,
"Q """"",Q_bae6d8c0,我相信没人会拒绝变得更强吧！,,,,,
