location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_d31debdc,,,,,,
"L """"",L_effa9a5c,,,,,,
"S1 """"",S1_4a2abc74,,,,,,
"S1 """"",S1_86ce93c8,,,,,,
"L """"",L_730f3d2e,,,,,,
"L """"",L_0120d84e,,,,,,
"S1 """"",S1_36424010,,,,,,
"S1 """"",S1_830839f5,,,,,,
"L """"",L_0f734aa9,,,,,,
"S1 """"",S1_350c8356,,,,,,
"""""",narrator_a1a1067d,,,,,,
"S1 """"",S1_cde75fc3,,,,,,
"""""",narrator_31d1514e,,,,,,
"S1 """"",S1_71b7ef0e,,,,,,
"""""",narrator_4fe359b7,,,,,,
"S1 """"",S1_6ad925f0,,,,,,
"L """"",L_b1d3ebd8,,,,,,
"L """"",L_53eb4d2e,,,,,,
"""""",narrator_94af4ae3,,,,,,
"S1 """"",S1_cb0e11c9,,,,,,
"L """"",L_3f90ef13,,,,,,
"S1 """"",S1_b248e71f,,,,,,
"S1 """"",S1_4b91e16f,,,,,,
"L """"",L_c9180a0a,,,,,,
"L """"",L_19578add,,,,,,
"""""",narrator_ab85f518,,,,,,
"S1 """"",S1_6d055306,,,,,,
"""""",narrator_17eb16b5,,,,,,
"S1 """"",S1_a8331b64,,,,,,
"L """"",L_7814cf13,,,,,,
"S1 """"",S1_22bc0c5b,,,,,,
"S1 """"",S1_2365008d,,,,,,
"L """"",L_672fca6e,(！！！),,,,,
"L """"",L_4fb5e77a,,,,,,
"S1 """"",S1_572ae439,,,,,,
"L """"",L_41bfc799,,,,,,
"S1 """"",S1_78e133fb,,,,,,
"L """"",L_29d1ec36,,,,,,
"S1 """"",S1_84895023,,,,,,
"S1 """"",S1_dc62e5d9,,,,,,
"S1 """"",S1_0f98343c,,,,,,
"L """"",L_84174a45,,,,,,
"S1 """"",S1_e7e7b2e5,,,,,,
"L """"",L_a89d4396,,,,,,
"S1 """"",S1_a9d4b210,不错...,,,,,
"""""",narrator_2f481e26,,,,,,
"L """"",L_c04933e9,,,,,,
"S1 """"",S1_869e2837,,,,,,
"""""",narrator_05b743db,,,,,,
"L """"",L_7079dde9,,,,,,
"S1 """"",S1_d55afe0d,,,,,,
"L """"",L_2fe3b69a,,,,,,
"L """"",L_5b1c189d,,,,,,
"S1 """"",S1_8b467249,,,,,,
"L """"",L_44569161,,,,,,
"""""",narrator_f74cc6a4,,,,,,
"""""",narrator_2ac4804b,,,,,,
"S1 """"",S1_f74cb1dc,,,,,,
"""""",narrator_0416ab4b,,,,,,
"S1 """"",S1_f515d40b,,,,,,
"S1 """"",S1_587dd701,,,,,,
"""""",narrator_3e96dc2a,,,,,,
"S1 """"",S1_2b5fa271,,,,,,
"S1 """"",S1_59de9758,,,,,,
"L """"",L_6d535553,,,,,,
"""""",narrator_517ba8b6,,,,,,
"S1 """"",S1_aa784dfa,,,,,,
"""""",narrator_4ad4537a,*喷射*,,,,,
"L """"",L_cde05002,,,,,,
"""""",narrator_7f3f38b3,,,,,,
"S1 """"",S1_c01258ce,,,,,,
"""""",narrator_02a3df6e,,,,,,
"S1 """"",S1_ea11bc76,,,,,,
"L """"",L_9937b2b4,,,,,,
"S1 """"",S1_dc0cd8c8,,,,,,
"""""",narrator_6c78bb2e,,,,,,
"L """"",L_427433bb,,,,,,
"S1 """"",S1_d5d666fb,,,,,,
"L """"",L_4dec3cbf,,,,,,
"S1 """"",S1_a7614d08,,,,,,
"L """"",L_672fca6e_1,(！！！),,,,,
"""""",narrator_64a3f386,,,,,,
"""""",narrator_b0958f69,,,,,,
"L """"",L_1bb3447c,,,,,,
"S1 """"",S1_9a53b769,,,,,,
"""""",narrator_179641e5,,,,,,
"S1 """"",S1_198eaafe,,,,,,
"S1 """"",S1_83b0c78d,,,,,,
"L """"",L_c3066fa0,,,,,,
"S1 """"",S1_aa5df3e6,,,,,,
"""""",narrator_64a3f386_1,,,,,,
"L """"",L_76633531,,,,,,
"""""",narrator_cea83208,,,,,,
"L """"",L_a2f6136f,,,,,,
"S1 """"",S1_b6128563,,,,,,
"S1 """"",S1_f61d8605,,,,,,
"S1 """"",S1_203b036e,,,,,,
"S1 """"",S1_ea180131,,,,,,
"L """"",L_b6a7b218,,,,,,
"S1 """"",S1_fc7019eb,,,,,,
"L """"",L_112423cc,,,,,,
"S1 """"",S1_89822e19,,,,,,
"S1 """"",S1_e3e77283,,,,,,
"""""",narrator_f982d887,,,,,,
"L """"",L_f450acc9,,,,,,
"L """"",L_23264894,,,,,,
"L """"",L_341d8738,,,,,,
"L """"",L_d6ccc77c,,,,,,
"""""",narrator_8b66ad0a,,,,,,
"L """"",L_3952da5b,,,,,,
"S1 """"",S1_390ee324,,,,,,
"L """"",L_8982ab40,,,,,,
"S1 """"",S1_9cb8fc23,,,,,,
"S1 """"",S1_650ed021,,,,,,
"S1 """"",S1_81374e9c,,,,,,
"L """"",L_ce9d7073,,,,,,
"S1 """"",S1_867bbb5e,,,,,,
"L """"",L_371b057f,,,,,,
"S1 """"",S1_8516bdea,,,,,,
"S1 """"",S1_850c9991,,,,,,
"""""",narrator_fff4b8ed,,,,,,
"L """"",L_329d1efb,,,,,,
"L """"",L_2af726e9,,,,,,
"S1 """"",S1_42d8c7b0,,,,,,
"""""",narrator_0243f2f6,*摩擦* *摩擦* *摩擦*,,,,,
"L """"",L_0ce5d716,,,,,,
"S1 """"",S1_1b0dfcda,,,,,,
"L """"",L_60e619f0,,,,,,
"S1 """"",S1_e6b7d5dd,,,,,,
"S1 """"",S1_6ad9816b,,,,,,
"S1 """"",S1_f24deb85,,,,,,
"""""",narrator_e8b7e194,,,,,,
"L """"",L_7b935351,,,,,,
"S1 """"",S1_e6f3a341,,,,,,
"S1 """"",S1_43497fe6,,,,,,
"""""",narrator_2b70c653,,,,,,
"L """"",L_74132458,,,,,,
"S1 """"",S1_d4ae523e,,,,,,
"L """"",L_76cb7c62,,,,,,
"S1 """"",S1_6b826c68,,,,,,
"S1 """"",S1_585e82a5,,,,,,
"""""",narrator_149fe44f,,,,,,
"L """"",L_b74b84d7,,,,,,
"S1 """"",S1_d9679362,,,,,,
"S1 """"",S1_1c7825f5,,,,,,
"L """"",L_7c18c500,,,,,,
"S1 """"",S1_db9b1821,,,,,,
"L """"",L_75d0cfb2,(是的...),,,,,
"L """"",L_52729565,,,,,,
"S1 """"",S1_60771556,,,,,,
"S1 """"",S1_247a4cd2,,,,,,
"L """"",L_f670b047,,,,,,
