"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","""Вы уверены, что хотите выйти в главное меню?\n Весь несохраненный прогресс будет утерян.""","Are you","","False","","",""
"""""","""Вы уверены, что хотите выйти?""","Are you sure you want to quit?","","","","",""
"""""","""Загрузка приведет к потере текущего прогресса.\n Вы уверены, что хотите это сделать?""","Loading will lose unsaved progress.\nAre you sure you want to do this?","","","","",""
"""""","""Уловки""","Tricks","","","","",""
"""""","""никогда""","are","","","","",""
"""""","""не бывают""","never","","","","",""
"""""","""честными""","fair","","","","",""
"""""","""хе-хе""","hehe","","","","",""
"""""","""поддайся""","submit","","","","",""
"""""","""не сопротивляйся""","don't resist","","","","",""
"""""","""сдайся""","give up","","","","",""
"""""","""не борись""","don't resist","","","","",""
"""""","""не бойся""","don't be afraid","","","","",""
"""""","""бесполезно""","useless","","","","",""
"""""","""Посмотреть на лицо""","Look at the face","","","","",""
"""""","""Посмотреть на грудь""","Look at the chest","","","","",""
"""""","""Посмотреть на вагину""","Look at the vagina","","","","",""
"""""","""Использовать""","Use","","","","",""
"""""","""Осмотреть (cooming soon)""","Inspect (cooming soon)","","","","",""
"""""","""Заглянуть""","Look inside","","","","",""
"""""","""Попробовать пролезть""","Try to climb through","","","","",""
"""""","""Ударить посильнее""","Hit harder","","","","",""
"""""","""Взаимодействия (частично доступы)""","Interactions (partially available)","","","","",""
"""""","""Поиграться (не доступно)""","Play (unavailable)","","","","",""
"""""","""Погладить (не доступно)""","Pet (unavailable)","","","","",""
"""""","""Удовлетворить потребности""","Satisfy his needs","","","","",""
"""""","""Наладить связь (не доступно)""","Establish communications (unavailable)","","","","",""
"""""","""Искупать""","Wash","","","","",""
"""""","""Дней в плену:""","Days in captivity:","","","","",""
"""""","""Сколько раз показывала тело Стукову:""","Times shown her body to Stukov:","","","","",""
"""""","""Сколько раз была облапана Стуковым:""","Times Stukov touched her body:","","","","",""
"""""","""Сколько раз была материалом для дрочки:""","Times had been used as fap material:","","","","",""
"""""","""Сколько проглочено спермы:""","Sperm swallowed:","","","","",""
"""""","""Сколько проглочено 'еды':""","'Food' ingested:","","","","",""
"""""","""Сколько раз кончила, из них:""","Times came:","","","","",""
"""""","""Орально:""","From oral:","","","","",""
"""""","""Клиторально:""","From clitoris:","","","","",""
"""""","""Вагинально:""","From vaginal:","","","","",""
"""""","""Анально:""","From anal:","","","","",""
"""""","""Сколько раз тренировалась, из них:""","Trainings:","","","","",""
"""""","""Тренировок пси-способностей:""","Psy-trainings:","","","","",""
"""""","""Тренировок физических:""","Physical trainings:","","","","",""
"""""","""Отношения со Стуковым:""","Relationship with Stukov:","","","","",""
"""""","""Отношения с Сай'моном:""","Relationship with Sai'mon:","","","","",""
"""""","""Pulling Sarah's hair - more speed""","Pulling Sarah's hair - more speed","","","","",""
"""""","""Drowns Sarah - more deep""","Drowns Sarah - more deep","","","","",""
"""""","""Returns Sarah to a neutral position""","Returns Sarah to a neutral position","","","","",""
"""""","""Cancels Sarah\""s handjob""","Cancels Sarah\""s handjob","","","","",""
"""""","""Help""","Help","","","","",""
"""""","""Hide interface""","Hide interface","","","","",""
"""""","""Как только шкала эякуляции заполнится - Стуков сможет кончить.""","As soon as the ejaculation bar fills, Stukoiv will be able to cum.","","","","",""
"""""","""Чем выше темп и глубина, тем быстрее заполнится шкала эякуляции.""","The faster the tempo and the deeper the movements, the faster it fills.","","","","",""
"""""","""Подними Сару за волосы, чтобы повысить темп. Осторожно - глубина начнет падать.""","Pull on Sarah's hair to go faster. But that will reduce the depth of penetration.","","","","",""
"""""","""Окуни Сару в воду, чтобы повысить глубину. Осторожно - темп начнет падать.""","Dunk Sarah's head into the liquid to go deeper. That will reduce the tempo.","","","","",""
"""""","""Отпусти Сару, чтобы заморозить темп. Если она не сможет держаться - она будет тонуть!""","Release Sarah's head to keep the current tempo. If she can't keep up, she will start drowning!","","","","",""
"""""","""Если темп выше половины, то глубина начнет падать.""","If the tempo is above half its maximum, the depth of the penetration will decrease.","","","","",""
"""""","""Если темп ниже половины, то глубина продолжит расти.""","If the tempo is below half its maximum, the depth of the penetration will increase.","","","","",""
"""""","""Шлепни Сару по заднице, если она будет вести себя неожиданно!""","Slap Sarah's ass if she is too disobedient!","","","","",""
