"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_a96f11ed","Ah, damn, a nightmare again...","","","","",""
"""""","narrator_9230c63e","Not yet fully awake, Sarah looked at the entrance to her cell. To her complete and utter surprise, she found it open wide.","","","","",""
"S """"","S_b4fdd8bd","(W-what? Seriously?)","","","","",""
"S """"","S_aca4216a","(Is this a dream? Doesn't feel so...)","","","","",""
"S """"","S_7bc8914d","(Then this is my chance!)","","","","",""
"""""","narrator_617b6042","Sarah jumped from her bed, which made her feel a little dizzy. Staggering forward, she finally found her balance.","","","","",""
"S """"","S_f6790eec","(Fuck, I shouldn't have jumped so quickly...)","","","","",""
"C """"","C_3f30c31d","(Are you going to try to escape?)","","","","",""
"S """"","S_6e054d6b","(Of course, since I have a chance now. And don't even try to stop me!)","","","","",""
"C """"","C_4f1f74af","(I wasn't going to.)","","","","",""
"S """"","S_6391a6a1","(Huh??? You're odd lately and I do not like that.)","","","","",""
"C """"","C_4bc37c7e","(Not really. I'm still the same.)","","","","",""
"""""","narrator_2c6bdf63","Sarah paused for a moment.","","","","",""
"S """"","S_d9b5b736","(Doesn't matter now, I don't think I'll have such an opportunity ever again if I don't act now!)","","","","",""
"""""","narrator_4373e2c5","Sarah warily left her cell and inspected the hallway that her room was connected to.","","","","",""
"S """"","S_6ab3e605","(Yuck, disgusting... I've not seen a zerg base like this, where am I?)","","","","",""
"S """"","S_0e725139","(I have to carefully think all of this through. What do I do when I get out of the base? I'll have to contact somebody... But who exactly?)","","","","",""
"S """"","S_67f43639","(Mengsk is a traitor, so Sons of Korhal aren't trustworthy. If they gather that I'm alive, they'll do everything to ensure I don't return.)","","","","",""
"S """"","S_e1bd7c92","(But maybe I'll be able to contact Raynor. He's my only chance!)","","","","",""
"S """"","S_8263f93b","...","","","","",""
"S """"","S_27566fde","(Fuck, I don't have time for pondering right now. I have to get out and then plan.)","","","","",""
"S """"","S_07e6be0f","(But I've got no idea where the escape is.)","","","","",""
"S """"","S_b3a7cb52","This is my cell.","","","","",""
"S """"","S_75601a36","I believe I should head right.","","","","",""
"S """"","S_7e11a3b3","I think I should head left.","","","","",""
"""""","narrator_fb25fee5","A couple of minutes later Sarah reached a fork.","","","","",""
"S """"","S_9e50610e","...","","","","",""
"S """"","S_f6859279","(Looks like a labyrinth... What do I do? Maybe I should ask Sai'mon?)","","","","",""
"S """"","S_ebba1651","(I've been here before. Where do I go now?)","","","","",""
"S """"","S_0d2fc5a4","(Sai'mon, do you know where I should go?)","","","","",""
"C """"","C_db0c0bcc","(Are you actually asking me?)","","","","",""
"S """"","S_09dc5bbc","(Definitely. You know how to get out of here. Which means you can tell me where to go.)","","","","",""
"C """"","C_050f2d01","(This is your escape, not mine.)","","","","",""
"S """"","S_673ce2ba","(...)","","","","",""
"S """"","S_80469f7d","(I knew this was a stupid idea...)","","","","",""
"S """"","S_2b1cb6c9","I believe I should head right.","","","","",""
"S """"","S_e46595b6","I think I should head left.","","","","",""
"S """"","S_79d3f39c","I think I've missed something. I should head back.","","","","",""
"S """"","S_b571b85d","I'm quite far from my room already but still haven't found anything useful.","","","","",""
"S """"","S_f8985d02","I believe I should head right.","","","","",""
"S """"","S_622e977b","I think I should head left.","","","","",""
"S """"","S_d3e75033","Blisters and spikes, nothing to see here. Right, Sai'mon?","","","","",""
"C """"","C_404c538d","(Well, you're not a connoisseur of beauty, that's obvious. It's just as pretty here as in any other room.)","","","","",""
"S """"","S_4eb82e5f","Pretty?! No thanks!","","","","",""
"S """"","S_74f215e4","I think I've missed something. I should head back.","","","","",""
"S """"","S_513e9123","Another fork. How many are there?","","","","",""
"S """"","S_f99933d1","Sai'mon, where should I go?","","","","",""
"C """"","C_52e3022d","(That's a difficult question. Where do you want to get?)","","","","",""
"S """"","S_f94f9b54","I want to get out of here!","","","","",""
"C """"","C_1ceb8065","(Then you should search for the exit.)","","","","",""
"S """"","S_d899e996","Are you kidding me?! Useless...","","","","",""
"S """"","S_898299f4","I believe I should head right.","","","","",""
"S """"","S_bdb1e8fa","I think I should head left.","","","","",""
"S """"","S_e61b7264","I think I've missed something. I should head back.","","","","",""
"S """"","S_24ea49f9","I'm quite far already. When will I find the exit already?","","","","",""
"S """"","S_157e45ed","I believe I should head right.","","","","",""
"S """"","S_f8abe2cf","I think I should head left.","","","","",""
"S """"","S_aa1654d6","I think I've missed something. I should head back.","","","","",""
"""""","narrator_5134b2f8","Sarah reached another fork, but this one looked different from others. The right turn led to a set of stairs going up.","","","","",""
"S """"","S_b6bd45a5","I think I'm on the right path. This stairway may lead me to the exit!","","","","",""
"S """"","S_a34a3ca8","This fork again. Maybe the exit is up there?","","","","",""
"S """"","S_b87a94e3","Let's see where this will lead me","","","","",""
"S """"","S_b6bd45a5_1","I think I'm on the right path. This stairway may lead me to the exit!","","","","",""
"S """"","S_238fa3b9","I think I should head left.","","","","",""
"S """"","S_9ca82089","I think I've missed something. I should head back.","","","","",""
"S """"","S_9b9f2506","Well, I should have expected that this wouldn't lead me right to the exit...","","","","",""
"S """"","S_1ea383d9","Another fork. Where do I go now?","","","","",""
"S """"","S_a8afcfff","I believe I should head right.","","","","",""
"S """"","S_e620a17e","I think I should head left.","","","","",""
"S """"","S_5a7d68bf","I think I've missed something. I should head back.","","","","",""
"""""","narrator_79befb42","After a couple minutes of walking through a long hallway, Sarah reached another fork.","","","","",""
"S """"","S_4df17d33","I believe I should head right.","","","","",""
"S """"","S_e96d0713","I think I should head left.","","","","",""
"S """"","S_a3d8383c","I think I've missed something. I should head back.","","","","",""
"S """"","S_89f91320","I've spent quite a lot of time searching already. When will I finally escape?","","","","",""
"""""","narrator_ca6eee45","After some more walking, Sarah noticed a strange door.","","","","",""
"S """"","S_b1572041","This door looks like the door to my cell, but it's much bigger.","","","","",""
"S """"","S_33ddbe42","This weird door again...","","","","",""
"S """"","S_8f94713a","Maybe this is the exit?","","","","",""
"""""","narrator_47fc663c","Sarah spends some time inspecting the unusual door, but for nothing. She can't discover anything useful on it.","","","","",""
"S """"","S_e87b3553","Doesn't seem so.","","","","",""
"S """"","S_eaee87a1","Pff...Wasted my time.","","","","",""
"S """"","S_687f34ac","(Maybe Sai'mon can tell me something?)","","","","",""
"S """"","S_585d4ff7","(Sai'mon.)","","","","",""
"C """"","C_ca2437ab","(Yes?)","","","","",""
"S """"","S_81e8000d","(What can you tell me about this?)","","","","",""
"C """"","C_1c2750d8","(About what?)","","","","",""
"S """"","S_0f6fe0f4","...","","","","",""
"S """"","S_fb2e8473","(You know perfectly well what I am talking about. Why ask?)","","","","",""
"C """"","C_cb9460de","(I want you to ask me specific questions. Aren't you the one who told me you didn't like me 'spying' on you all the time?)","","","","",""
"S """"","S_0f6fe0f4_1","...","","","","",""
"S """"","S_20996cb7","(What's behind this door?)","","","","",""
"C """"","C_893c03b9","(The Hall of Evolution.)","","","","",""
"S """"","S_d5c3c2cb","(!!!)","","","","",""
"S """"","S_93913779","(Hall of Evolution? What is is?)","","","","",""
"C """"","C_c7f67b80","(Are you sure you want to know? There's no exit there, that's for sure.)","","","","",""
"S """"","S_48264c60","Tell me more.","","","","",""
"C """"","C_75f72bfa","(Hall of Evolution where the master of mutations Abathur conducts his research in the evolution of the Swarm.)","","","","",""
"S """"","S_296fc8a4","(Abathur? Who or what is that? Another unique being?)","","","","",""
"C """"","C_cf6c2877","(Overmind created a single evolution master so that they would guide the evolution process of the Swarm. Abathur helps the Swarm become the weapon able to destroy everything it encounters.)","","","","",""
"S """"","S_7775d448","(Why would it want that?)","","","","",""
"C """"","C_1b668e58","(Isn't that obvious? The Overmind needs a Swarm that can adapt to any situation, to any enemy in its path. And the Swarm needs something that will control what features it will assimilate and what features the brood will receive.)","","","","",""
"C """"","C_1a528f7c","(And the Hall of Evolution is the place where Abathur conducts his experiments.)","","","","",""
"S """"","S_7634512c","(We don't know so much about the Swarm...)","","","","",""
"S """"","S_e1d18b3f","(And that creature, Abathur, is there right now?)","","","","",""
"C """"","C_ed5ccb3b","(No, the Hall is empty except for Abathur's experiments.)","","","","",""
"C """"","C_b34a2f47","(But Mistress expects him to arrive soon.)","","","","",""
"S """"","S_d5c3c2cb_1","(!!!)","","","","",""
"S """"","S_48075d99","(Fuck, I have to get out of here. I've got absolutly no desire to meet that monster.)","","","","",""
"S """"","S_002ee7a0","(That's enough. If there's no exit in there, I'm not interested in it.)","","","","",""
"S """"","S_435b1c47","I've already found everything I could in here.","","","","",""
"S """"","S_36cc1c66","There's nothing here but this giant door.","","","","",""
"S """"","S_afb1d430","Maybe I should inspect it more carefully?","","","","",""
"S """"","S_22dee7b0","I've got no time, I should keep moving.","","","","",""
