"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_c68dcafd","","","False","","",""
"A """"","A_d64ee27a","","","False","","",""
"S """"","S_78a4d054","","","False","","",""
"S """"","S_d8d532ce","","","False","","",""
"A """"","A_f3e4f40a","","","False","","",""
"A """"","A_9f7523ef","","","False","","",""
"S """"","S_78a4d054_1","","","False","","",""
"S """"","S_32d58977","","","False","","",""
"A """"","A_b159e327","","","False","","",""
"""""","narrator_78ab9eae","","","False","","",""
"Aside10 """"","Aside10_a2ca05a7","","","False","","",""
"S """"","S_061f5442","","","False","","",""
"S """"","S_09cffa61","","","False","","",""
"Aside10 """"","Aside10_fdc8701a","","","False","","",""
"S """"","S_7c33d014","","","False","","",""
"S """"","S_766f29c2","","","False","","",""
"C """"","C_89235d99","","","False","","",""
"Aside2 """"","Aside2_a8e41f10","","","False","","",""
"S """"","S_8f237882","","","False","","",""
"""""","narrator_e39409b7","","","False","","",""
"""""","narrator_20dcf49a","","","False","","",""
"S """"","S_78a4d054_2","","","False","","",""
"Aside11 """"","Aside11_6887af72","","","False","","",""
"S """"","S_78a4d054_3","","","False","","",""
"S """"","S_ab3dc132","","","False","","",""
"Aside4 """"","Aside4_f584680d","","","False","","",""
"Aside11 """"","Aside11_ff75304c","","","False","","",""
"S """"","S_44c55eaf","","","False","","",""
"S """"","S_65a21cbf","","","False","","",""
"Aside10 """"","Aside10_a78ad56f","","","False","","",""
"S """"","S_ae5b7317","","","False","","",""
"S """"","S_c87fa946","","","False","","",""
"S """"","S_7ad5e608","","","False","","",""
"Aside8 """"","Aside8_79ac6726","","","False","","",""
"Aside9 """"","Aside9_3a728684","","","False","","",""
"Aside8 """"","Aside8_ef40ce45","","","False","","",""
"Aside8 """"","Aside8_fa033b14","","","False","","",""
"Aside1 """"","Aside1_714941ff","","","False","","",""
"Aside1 """"","Aside1_61a9bcc9","","","False","","",""
"S """"","S_78a4d054_4","","","False","","",""
"""""","narrator_26a794f2","","","False","","",""
"""""","narrator_f2d29b75","","","False","","",""
"Aside10 """"","Aside10_245b200e","","","False","","",""
"S """"","S_ab8b5d89","","","False","","",""
"S """"","S_a6f4cc10","","","False","","",""
"S """"","S_34c0b6ec","","","False","","",""
"S """"","S_07874bdc","","","False","","",""
