location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_ae9f2ff4,Sector: Koprulu. \n Planet: Tarsonis.,,,,,
"""""",narrator_6e9a5c01,Unknown zerg base.\n Time: ХХ-ХХ.,,,,,
"""""",narrator_cb0964e0,Two massive hydralisks dragged Sarah through a long hallway.,,,,,
"""""",narrator_18b63fd3,"The passage was dark and slimy, filled with lots of disgusting smells, they made her feel nauseous.",,,,,
"""""",narrator_97e2fc5d,She tried to break out of their firm grasp but with no success.,,,,,
"S """"",S_eee8e842,"Let me go, you disgusting beasts! Let me go!",,,,,
"""""",narrator_1e3ead92,Sarah was dragged into a strange room with a few more hydralisks inside.,,,,,
"""""",narrator_00c30dbb,She couldn't even bat an eye before tentacles appeared from the wall and grabbed her.,,,,,
"S """"",S_9b747270,"Aah! No, stop it! What are you doing?!",,,,,
"""""",narrator_2de7900d,"Tentacles tightly bound her to the wall, leaving no chance to escape.",,,,,
"HYside1 """"",HYside1_4b9689d4,*Grr*,,,,,
"HYside2 """"",HYside2_f4f7d89a,*Grrr-grrrrr*,,,,,
"""""",narrator_196d041a,"The hydralisk let out a piercing howl, and another tentacle appeared from the wall. This one was different from the others: it contained a cavity with fluid in which an unknown creature resided.",,,,,
"""""",narrator_8fb6dd4c,He brought the hollow tentacle to Sarah's face.,,,,,
"S """"",S_41611622,What is that?!,,,,,
"""""",narrator_028cf4be,Sarah notices that something inside it is moving. She is very scared.,,,,,
"S """"",S_5e86c5f8,No! Noooo!,,,,,
"""""",narrator_5f558b8e,"Sarah resisted, preventing the zerg from fulfilling their plans.",,,,,
"HYside1 """"",HYside1_4311f2c6,*Gr*,,,,,
"HYside2 """"",HYside2_fdda0640,*GRRRR-GRR*,,,,,
"HYside1 """"",HYside1_a89691d0,*Grrrr*,,,,,
"""""",narrator_44482fc1,"For a couple of seconds the zerg just froze in place, but immediately after that...",,,,,
"""""",narrator_14920a65,A hydralisk let out another high-pitched howl.,,,,,
"S """"",S_706c0efe,!!!,,,,,
"""""",narrator_bf73d343,They must've found a way to deal with their prisoner.,,,,,
"HYside1 """"",HYside1_359f22f6,*Gr-grr*,,,,,
"HYside2 """"",HYside2_7495d89e,*GRRR*,,,,,
"HYside1 """"",HYside1_34cf8541,*Grrr-grr*,,,,,
"HYside1 """"",HYside1_6f78a74a,*Grrr*,,,,,
"""""",narrator_6e166c11,"She tries to move her head away, but to no avail.",,,,,
"S """"",S_5dd9092a,Mmm!!,,,,,
"S """"",S_6b7627e4,"Hey, don't touch my mouth!",,,,,
"S """"",S_d529e839,W-what are you going to do???,,,,,
"S """"",S_6a855982,Mph!!!,,,,,
"""""",narrator_5d959d42,Instead of an answer to her question Sarah had a tentacle forcibly shoved in her mouth.,,,,,
"S """"",S_706c0efe_1,!!!,,,,,
"S """"",S_3110118e,(W-what is that?!),,,,,
"""""",narrator_43d2d2cc,Sarah felt an unknown liquid began to flow through the appendage.,,,,,
"S """"",S_1a4d36ff,(What are they doing to me...),,,,,
"S """"",S_06889c0b,(I can't do anything! It's stuck in my mouth!),,,,,
"S """"",S_53a21a5d,*Gulp*,,,,,
"extend """"",extend_d59d9bc6,*Gulp*,,,,,
"S """"",S_cff8a7e6,(Something's coming!),,,,,
"S """"",S_e15a8ae2,"(Let me go, I refuse to drink this!)",,,,,
"""""",narrator_752db4ce,"Sarah tried to escape once again, but the attempt ended in utter failure. Meanwhile, the tentacle continued to fill Sarah with a bitter and viscous liquid.",,,,,
"S """"",S_53a21a5d_1,*Gulp*,,,,,
"extend """"",extend_d59d9bc6_1,*Gulp*,,,,,
"S """"",S_557aa767,"Shit, it's closer. Let me go!",,,,,
"S """"",S_497a7daa,MMMP!!!,,,,,
"S """"",S_f6cd41b2,(I feel it in my mouth. Oh no!!!),,,,,
"S """"",S_6a855982_1,Mph!!!,,,,,
"S """"",S_8b4580ff,"(It's moving, it's moving in my mouth!!!)",,,,,
"S """"",S_f8f373ad,*Gulp*,,,,,
"""""",narrator_ce8356fd,"As soon as Sarah swallowed all of the unknown liquid, the tentacle released her mouth and head.",,,,,
"S """"",S_b2a88588,"(Ahh... s-shit, my head... W-what did I just swallow... everything's spinning...)",,,,,
"S """"",S_3b0f2030,*Cough* *cough*,,,,,
"S """"",S_fbe0580d,Mph!!! *cough*,,,,,
"""""",narrator_c6b3b2e6,The zerg succeded.,,,,,
"HYside1 """"",HYside1_a2768539,*GRRRR-GRR*,,,,,
"HYside2 """"",HYside2_3772f560,*Gr-grr-grr*,,,,,
"""""",narrator_1860b0ed,Sarah swallows the last drops of the liquid and begins to feel dizzy.,,,,,
"""""",narrator_685a4a58,"The zerg around her started making some strange sounds. But Sarah was already beyond caring about that, the room spun before her eyes. She lost consciousness.",,,,,
"""""",narrator_08fc8e7b,"Sarah opened her eyes. She found herself in the same room as before and still strapped in, but her mouth was now free. The tentacles, which held it, were gone.",,,,,
"S """"",S_260b05e6,(Huh? What happened to me?),,,,,
"S """"",S_79eed4f3,(Ouch... My head hurts so much...),,,,,
"C1 """"",C1_7c657f0d,(Hi.),,,,,
"S """"",S_bc753a0a,A!!!!,,,,,
"""""",narrator_b7a5a723,She heard the voice but there was no one in the room.,,,,,
"S """"",S_c9cc672b,Who is there?,,,,,
"S """"",S_4b17a095,"I can't see you. Show yourself, whoever you are!",,,,,
"C1 """"",C1_ebadb031,"(Calm down, I'm here.)",,,,,
"""""",narrator_a8910f0c,Sarah still couldn't see anyone. She was still alone in the room.,,,,,
"S """"",S_5d59afaa,Where? I don't see anyone!,,,,,
"C1 """"",C1_7d42b952,(Inside you.),,,,,
"C1 """"",C1_da160f70,(Close your eyes.),,,,,
"S """"",S_53602009,What? Why?,,,,,
"S """"",S_d5e066da,(Where's this voice coming from?),,,,,
"C1 """"",C1_1cc3aec0,(You'll be able to see me if you do that.),,,,,
"S """"",S_2737ec08,...,,,,,
"""""",narrator_34a3ef8c,Sarah complied and shut her eyelids.,,,,,
"""""",narrator_87b03254,But nothing happened. She didn't see anything but darkness.,,,,,
"S """"",S_9c3df6bd,So?,,,,,
"C1 """"",C1_4f205ebc,(Focus on my voice.),,,,,
"S """"",S_b8906dad,What are you saying?,,,,,
"C1 """"",C1_8aa4407b,(Just do it.),,,,,
"""""",narrator_7a3ffa7d,Sarah did as she was told. She tried to focus and listen closely to her surroundings.,,,,,
"""""",narrator_db175699,"Moments later, she saw... Something new... A {b}creature{/b} she has never seen before.",,,,,
