"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_ce46f2b4","","","False","","",""
"S """"","S_c211d0e1","","","False","","",""
"C """"","C_ab7999b3","","","False","","",""
"S """"","S_c1969b03","","","False","","",""
"S """"","S_dd0c5c4e","","","False","","",""
"C """"","C_9aafd837","","","False","","",""
"S """"","S_55d741ff","","","False","","",""
"S """"","S_28a13cca","","","False","","",""
"C """"","C_0133bdae","","","False","","",""
"S """"","S_78f41f1a","","","False","","",""
"C """"","C_b5f099dc","","","False","","",""
"S """"","S_22c542db","","","False","","",""
"C """"","C_05e0a29a","","","False","","",""
"S """"","S_a0589725","","","False","","",""
"C """"","C_d24af550","","","False","","",""
"S """"","S_458fd6f1","","","False","","",""
"S """"","S_a22caf15","","","False","","",""
"C """"","C_10e1046e","","","False","","",""
"S """"","S_9f341cbd","","","False","","",""
"C """"","C_9c9a2472","","","False","","",""
"S """"","S_534012eb","","","False","","",""
"S """"","S_5f6c106f","","","False","","",""
"C """"","C_a0dc26f8","","","False","","",""
"S """"","S_c69851ab","","","False","","",""
"""""","narrator_1aee571a","","","False","","",""
"S """"","S_c8be1fc6","","","False","","",""
"S """"","S_ebd72d2b","","","False","","",""
"C """"","C_ddca2c69","","","False","","",""
"S """"","S_30e46d57","","","False","","",""
"C """"","C_b044b4a0","","","False","","",""
"S """"","S_62c8f5b1","","","False","","",""
"S """"","S_c741687f","","","False","","",""
"S """"","S_76ac349b","","","False","","",""
"C """"","C_41249fe2","","","False","","",""
"""""","narrator_669a1be9","","","False","","",""
"S """"","S_fe57f2b9","","","False","","",""
"""""","narrator_274dffe6","","","False","","",""
"S """"","S_21f1bcdc","","","False","","",""
"S """"","S_229178dc","","","False","","",""
"S """"","S_19b78ced","","","False","","",""
"""""","narrator_3a61971d","","","False","","",""
"S """"","S_75f46a77","","","False","","",""
"S """"","S_7e765412","","","False","","",""
"""""","narrator_e5b0150d","","","False","","",""
"S """"","S_8fad836f","","","False","","",""
"S """"","S_640e91ce","","","False","","",""
"C """"","C_b54bd9f8","","","False","","",""
"S """"","S_0a5ab80c","","","False","","",""
"S """"","S_2543a1a5","","","False","","",""
"S """"","S_5339c338","","","False","","",""
"S """"","S_9b4777c2","","","False","","",""
"C """"","C_79701469","","","False","","",""
"S """"","S_8eebbdb0","","","False","","",""
"""""","narrator_eda7cb26","","","False","","",""
"S """"","S_c19ee220","","","False","","",""
"S """"","S_54e63d43","","","False","","",""
"""""","narrator_4c2eb168","","","False","","",""
"""""","narrator_cbe5b3c4","","","False","","",""
"S """"","S_505184ad","","","False","","",""
"S """"","S_d4228356","","","False","","",""
"S """"","S_72b042f4","","","False","","",""
"S """"","S_3bc94827","","","False","","",""
"""""","narrator_1391b416","","","False","","",""
"S """"","S_d9cc0ab9","","","False","","",""
"S """"","S_753879fc","","","False","","",""
"S """"","S_055d6e16","","","False","","",""
"C """"","C_7a8ac4f6","","","False","","",""
"S """"","S_a5f58150","","","False","","",""
"C """"","C_f67fe8cf","","","False","","",""
"S """"","S_7a1b99fe","","","False","","",""
"""""","narrator_698c2bb9","","","False","","",""
"S """"","S_83d8983b","","","False","","",""
"C """"","C_5d87a09c","","","False","","",""
"S """"","S_ef7ad3dd","","","False","","",""
"C """"","C_eee64a3d","","","False","","",""
"S """"","S_d27c2f49","","","False","","",""
"""""","narrator_08fc3d54","","","False","","",""
"S """"","S_6cdda6eb","","","False","","",""
"S """"","S_3e1d4d5c","","","False","","",""
"""""","narrator_2469d59d","","","False","","",""
"S """"","S_35ff4dbd","","","False","","",""
"C """"","C_88718960","","","False","","",""
"S """"","S_1c8314af","","","False","","",""
"C """"","C_30d6c2ec","","","False","","",""
"""""","narrator_5501b8e4","","","False","","",""
"S """"","S_a0ba642c","","","False","","",""
"C """"","C_ba7889a1","","","False","","",""
"S """"","S_27c99e97","","","False","","",""
"C """"","C_f0aec115","","","False","","",""
"S """"","S_63517391","","","False","","",""
"C """"","C_37063dcf","","","False","","",""
"S """"","S_e2e3615b","","","False","","",""
"S """"","S_de98c112","","","False","","",""
"S """"","S_e63df44c","","","False","","",""
"S """"","S_4964e51a","","","False","","",""
"""""","narrator_7edc4f4a","","","False","","",""
"""""","narrator_cdcc95c8","","","False","","",""
"S """"","S_07086b68","","","False","","",""
"S """"","S_b9bba416","","","False","","",""
"S """"","S_72deba51","","","False","","",""
"C """"","C_7bb6ed53","","","False","","",""
"S """"","S_da2e24da","","","False","","",""
"S """"","S_fe5a66d2","","","False","","",""
"""""","narrator_73021d72","","","False","","",""
"""""","narrator_7d65cc86","","","False","","",""
"C """"","C_02c12cab","","","False","","",""
"S """"","S_f1c3141b","","","False","","",""
"S """"","S_afc7850e","","","False","","",""
"""""","narrator_e4e72e77","","","False","","",""
"S """"","S_076595f8","","","False","","",""
"""""","narrator_32ce713b","","","False","","",""
"S """"","S_b786830c","","","False","","",""
"S """"","S_59cf492f","","","False","","",""
"C """"","C_81e30e2d","","","False","","",""
"""""","narrator_3a019fc0","","","False","","",""
"S """"","S_ef1c4a7d","","","False","","",""
"C """"","C_6e26e70d","","","False","","",""
"S """"","S_56502fdc","","","False","","",""
"""""","narrator_dcda5eac","","","False","","",""
"S """"","S_5efdb698","","","False","","",""
"S """"","S_80c3ddf4","","","False","","",""
"C """"","C_4ac73fdd","","","False","","",""
"S """"","S_8516ea10","","","False","","",""
"S """"","S_e538cdea","","","False","","",""
"""""","narrator_e0e45b60","","","False","","",""
"S """"","S_b7bc6155","","","False","","",""
"C """"","C_11ee95c8","","","False","","",""
"S """"","S_243afa7f","","","False","","",""
"C """"","C_e2d3c62a","","","False","","",""
"S """"","S_fa984517","","","False","","",""
"S """"","S_8474af17","","","False","","",""
"C """"","C_fdabba25","","","False","","",""
"C """"","C_2156583b","","","False","","",""
"S """"","S_099750ec","","","False","","",""
"C """"","C_9410ad44","","","False","","",""
"S """"","S_f68a6eee","","","False","","",""
"S """"","S_61b40c82","","","False","","",""
"S """"","S_f984138c","","","False","","",""
"S """"","S_eb67cbc6","","","False","","",""
"C """"","C_2dae5570","","","False","","",""
"S """"","S_4b1c900f","","","False","","",""
"C """"","C_484be2d5","","","False","","",""
"S """"","S_2a906c57","","","False","","",""
"C """"","C_dd94a8d5","","","False","","",""
"S """"","S_41a6f698","","","False","","",""
"S """"","S_f8256b91","","","False","","",""
"C """"","C_b5e7fc22","","","False","","",""
"S """"","S_52149e8f","","","False","","",""
"S """"","S_90c61dac","","","False","","",""
"C """"","C_faa78dcb","","","False","","",""
"S """"","S_0fe2ad85","","","False","","",""
"""""","narrator_8fc51ddf","","","False","","",""
"S """"","S_cf208c88","","","False","","",""
"S """"","S_34f19c12","","","False","","",""
"S """"","S_83a24845","","","False","","",""
"C """"","C_47f5c290","","","False","","",""
"S """"","S_4eb4da1e","","","False","","",""
"C """"","C_d33cbe29","","","False","","",""
"S """"","S_4dd98019","","","False","","",""
"C """"","C_064031d8","","","False","","",""
"""""","narrator_26a90d50","","","False","","",""
"S """"","S_45212c4f","","","False","","",""
"S """"","S_c02cd545","","","False","","",""
"""""","narrator_92c8d507","","","False","","",""
"S """"","S_7be78f9a","","","False","","",""
"""""","narrator_e315ec1d","","","False","","",""
"S """"","S_83ab66aa","","","False","","",""
"S """"","S_9696f4b6","","","False","","",""
"""""","narrator_053cdce2","","","False","","",""
"S """"","S_4af3e51b","","","False","","",""
"C """"","C_f70f0475","","","False","","",""
"S """"","S_2d7b8f43","","","False","","",""
"""""","narrator_91c3a463","","","False","","",""
"S """"","S_98e393e4","","","False","","",""
"C """"","C_82802fb7","","","False","","",""
"S """"","S_0d95e8d9","","","False","","",""
"S """"","S_78ff764c","","","False","","",""
"""""","narrator_3c170dfe","","","False","","",""
"""""","narrator_e7b707f1","","","False","","",""
"""""","narrator_b900d8a7","","","False","","",""
"""""","narrator_a8911bd1","","","False","","",""
"S """"","S_8e51ea6b","","","False","","",""
"S """"","S_3392342f","","","False","","",""
"S """"","S_834ad7e6","","","False","","",""
"""""","narrator_66e9c470","","","False","","",""
"""""","narrator_5c54db5b","","","False","","",""
"S """"","S_9ea2bea5","","","False","","",""
"""""","narrator_174355d7","","","False","","",""
"S """"","S_0ae848e5","","","False","","",""
"S """"","S_dd97d536","","","False","","",""
"""""","narrator_b952e57d","","","False","","",""
"S """"","S_14f6277e","","","False","","",""
"C """"","C_3db74aca","","","False","","",""
"S """"","S_1581f434","","","False","","",""
