"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_140fe528","...","","","","",""
"S """"","S_9cee525c","Sai'mon, is it just me, or has the tentacle actually changed?","","","","",""
"C """"","C_60deadd0","(Hm, I don't see any differences.)","","","","",""
"S """"","S_8ba481ca","Are you serious? It is definitely different!","","","","",""
"C """"","C_82bd7d95","(Well, you're the tentacle expert here, so you know better.)","","","","",""
"S """"","S_8fed1152","Sai'mon, I can feel you're not telling the whole truth! You've not been totally honest before, but you have told me how it works.","","","","",""
"C """"","C_b204f903","(...)","","","","",""
"C """"","C_2d6b3cc5","(Well, alright. It has changed.)","","","","",""
"S """"","S_a1ad192a","Knew it! Hm, so that must mean the way I get food has changed too.","","","","",""
"C """"","C_15e73586","(Another case solved by the great detective Sarah.)","","","","",""
"S """"","S_7de3c414","Stop that, I need to focus.","","","","",""
"S """"","S_155cfcad","(So, to get food I need to... 'surprise' it once more, find a new way to feed myself.)","","","","",""
"S """"","S_046bdf0e","I've got a couple of ideas that require testing.","","","","",""
"""""","narrator_53fa61a0","Sarah, after a brief thinking break, removed her armor and grabbed the tentacle.","","","","",""
"C """"","C_439e8dca","(You're making good progress, ehehe.)","","","","",""
"S """"","S_4c4803fe","(I have to do what I have to do.)","","","","",""
"""""","narrator_7fdfa1ca","Sarah examined the appendage from every side, comparing each to every other one.","","","","",""
"S """"","S_8d7b8503","It's so hard and big!","","","","",""
"C """"","C_c958f342","(Am I imagining things, or are you admiring it?)","","","","",""
"S """"","S_8b6728ed","S-stop it! I'm just stating the obvious.","","","","",""
"S """"","S_6a7ca00e","And it has gotten bigger since last time. I'm not even sure it'll fit in my little mouth now...","","","","",""
"C """"","C_407ee0f0","(Only one way to find out.)","","","","",""
"S """"","S_2aa40032","(Just thinking about it... feels nice...)","","","","",""
"S """"","S_c0ebce6e","(I'm shaking from just thinking about putting this thing in my throat... Ah, this surely can't be that good...)","","","","",""
"S """"","S_6781c14b","*Slurp* Mmh... *glump*","","","","",""
"S """"","S_ac678de2","(S-shit, it is definitely bigger... Even its small part barely fits in my mouth...)","","","","",""
"S """"","S_57021da7","Ghh... slurp... nngh","","","","",""
"S """"","S_7a859c0c","(Ahhh... it's pushing against the back of my throat... So good!)","","","","",""
"S """"","S_89d83580","(I have to try harder, I have to do it. I can't go without food!)","","","","",""
"S """"","S_6f03651e","(I've seen girls in films successfully take even bigger things... ahh... I'll do it.)","","","","",""
"S """"","S_c8ad3e87","Mmh... *slurp* ahh.. *slurp* mmmh...","","","","",""
"S """"","S_6ee0ab88","(Fuck... it's just violating my throat, but it's not going deeper... ahhh...)","","","","",""
"S """"","S_03789275","(C-come on... go deeper... mmh... so good...)","","","","",""
"S """"","S_809d73c2","!!!","","","","",""
"S """"","S_32618502","MMMMMNNGH!!!","","","","",""
"S """"","S_74a5e5d8","(F-finally! It's all in...)","","","","",""
"S """"","S_e17a036d","(Ahh... but it's still putting pressure on the back of my throat... it's rubbing against it, it's maddening...)","","","","",""
"S """"","S_4bc9ee89","*Slurp* *slurp*","","","","",""
"S """"","S_819f052a","(!!!)","","","","",""
"""""","narrator_af5db634","Sarah didn't have time to enjoy her success before the tentacle engorged, meaning she finally got what she wanted in the first place.","","","","",""
"S """"","S_bb1cc3b3","(This feels... it can't be... so soon? It just fit moments ago!)","","","","",""
"""""","narrator_5f2edccc","PSSSSSHH!!!","","","","",""
"S """"","S_42e606c0","MMMMMMMMMMMMGH!!!","","","","",""
"S """"","S_507ba414","(No-no-no, I'm not prepared!!!)","","","","",""
"S """"","S_137732de","(But I love the feeling of this liquid going down my esophagus...)","","","","",""
