"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_63a41a8c","Stukov entered the room with a satisfied smirk on his face, drawing Sarah's attention with a loud cough.","","","","",""
"A """"","A_f139fde1","Good morning, sleeping... beauty!","","","","",""
"S """"","S_4cc45d6b","This morning had the chance to be good, until you came.","","","","",""
"A """"","A_a3799ab8","How rude... Ahem, I have, actually, joyful news for you!","","","","",""
"S """"","S_d1077381","How can news be joyful? Especially in the morning?","","","","",""
"A """"","A_1c33fe6f","If you are summoned by Mistress, the news must be good. She never calls for no reason, hehe.","","","","",""
"S """"","S_9f94605b","Mistress? Why would she call me?","","","","",""
"S """"","S_80c16769","Unless you told her something. Only in this case she would want to see me... right?","","","","",""
"A """"","A_faaf28c1","Of course, I was complimenting you! Told about your recent... achievements.","","","","",""
"S """"","S_3cebdd6c","Seems like a very interesting conversation awaits me...","","","","",""
"Q """"","Q_87fd2080","Hello again, terran! I am glad to see you.","","","","",""
"""""","narrator_575ae123","Mistress's gaze made Sarah shiver.","","","","",""
"S """"","S_2524659e","That's mutual..?","","","","",""
"""""","narrator_439168cf","Sarah hesitantly looked down, trying to evade eye contact with Mistress. Her gaze was no longer threatening to her, but its intensity still made her uncomfortable.","","","","",""
"""""","narrator_e19e5b85","Mistress silently beckoned Sarah to approach her, not giving her a chance to resist. Her eyes glowed red, not allowing even to think about resisting.","","","","",""
"S """"","S_e8623821","(Damn... She's trying to control me again! I can't give in!)","","","","",""
"""""","narrator_b653f68c","With great effort, Sarah was able to stop a couple of steps in front of Mistress, looking her straight in the eye. Her eyes returned to normal color.","","","","",""
"Q """"","Q_d26aee0b","Well... That is impressive! Mmm, maybe even better than I could have imagined!","","","","",""
"Q """"","Q_efbe58aa","Now, incredible perseverance is imbued with power! Ah, what a crazy cocktail.","","","","",""
"Q """"","Q_7c423de1","Since we last met, you have changed... This new twinkle in your eyes could not fail to please me!","","","","",""
"""""","narrator_5eb82323","The longer the lady looked at Sarah, the wider her smile grew. She treated the girl like she was an artful creation that just came from under her pen.","","","","",""
"""""","narrator_cae59833","Mistress raised Sarah's head by the chin, examining her face again and again.","","","","",""
