"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"C """"","C_d9037846","(Decided to start training? Very well.)","","","","",""
"S """"","S_06205f29","No, I just wanted to get naked! What a stupid question!","","","","",""
"C """"","C_e83a7023","(Wisecracking, aren't we? So you're fine. I'm satisfied with that.)","","","","",""
"S """"","S_c75e2324","(In fact, this exercise is not so terrible. The body needs to breathe sometimes anyway. Or did you think this would stop my progress???)","","","","",""
"C """"","C_d4a19a2c","(On the contrary, I knew that you wouldn't mind this trifle.)","","","","",""
"S """"","S_62b2ee38","Exactly!","","","","",""
"C """"","C_e2eb235d","(It even makes me curious what lengths you're ready to go to for power.)","","","","",""
"S """"","S_41bb882a","I hope this was said without any vulgarity in mind, right?","","","","",""
"C """"","C_14c6af64","(Of course, without them.)","","","","",""
"S """"","S_c3c2955d","I still don't believe you, you know.","","","","",""
"C """"","C_0b039f8c","(And rightly so.)","","","","",""
"S """"","S_9a4828c7","(Though I have been here for a long time, it's still so weird... and I'm not gonna lie... the idea that I'll have to go all this time without clothes kinda arouses me...)","","","","",""
"C """"","C_c73a575b","(This is good. This novelty will help us overcome your mental barriers that really hinder us.)","","","","",""
"S """"","S_ae6a3933","In fact, I'd like you to leave my barriers alone... but if it's the only way to get better...","","","","",""
"""""","narrator_245ad45d","Buried in his tablet, Stukov walked into the room.","","","","",""
"Aside9 """"","Aside9_5c98b122","Well, well, well, I'm in a wonderful mood today and I just finished all my work, so now we can...","","","","",""
"""""","narrator_fac0682f","Stukov finally spotted Sara standing without clothes in the middle of the room. He slightly squinted in joyful surprise.","","","","",""
"A """"","A_5ab188ce","...make good use of our time, heh-heh-heh.","","","","",""
"S """"","S_40a1beff","(Fuck, his timing is as terrible as ever!)","","","","",""
"A """"","A_dc4d3067","I see you don't waste time here. That's, of course, very commendable. But what exactly are you doing? I don't remember giving you such instructions.","","","","",""
"S """"","S_bb0c7833","It's... well, this is a new exercise...","","","","",""
"S """"","S_6f4968b0","So I'm training!","","","","",""
"A """"","A_63daa6a5","Is this some kind of special ghost training? Hahaha, I like it!","","","","",""
"S """"","S_fb44a4d7","Obviously it's not! This was Sai'Mon's idea.","","","","",""
"C """"","C_e2f6a987","(I have absolutely nothing to do with this. Apparently, our little Sarah decided to seduce you with her body.)","","","","",""
"A """"","A_819d3ca1","Heh-heh-heh, she succeeded!","","","","",""
"S """"","S_bbf1bed0","(You idiot, stop talking nonsense, you know this idiot will believe it...).","","","","",""
"C """"","C_94ff50d4","(Okay, okay, I gave her a task.)","","","","",""
"C """"","C_f2ea7f14","(And for some reason she decided to take off all her bargs, and claimed she won't wear them for three days.)","","","","",""
"S """"","S_f5e724c2","You're lying again!","","","","",""
"A """"","A_c18f8146","Attaboy, Sai'mon, you know a thing or two about training, heh-heh-heh.","","","","",""
"A """"","A_09e3b192","You managed to surprise me.","","","","",""
"S """"","S_d5760b6a","!!!","","","","",""
"S """"","S_75e8e13d","(Damn... His dick seems to be taking decisions faster than its owner! It looks like it's staring right at me and Stukov is just dangling from its other end...)","","","","",""
"""""","narrator_2d9ca1e3","These thoughts amused Sarah and she smiled.","","","","",""
"A """"","A_b8554494","I see you like the exercises Sai'mon prepared for you too.","","","","",""
"S """"","S_648d3bc8","I would not say that I like them. But I tolerate them. Who knows what Abathur would have in store for me.","","","","",""
"A """"","A_ac8743db","So, what exactly is the purpose of this exercise?","","","","",""
"S """"","S_355d9441","That's a good question... all Sai'mon said was that I should merge with the local fauna...","","","","",""
"A """"","A_4684fc08","Mmm, that's actually a very good thought that's sure to help you.","","","","",""
"A """"","A_220f38b8","You need to loosen up, to relax, you're too uptight.","","","","",""
"S """"","S_4f4fe391","If you weren't eating me with your eyes and your 'friend' wasn't broadcasting that it's noon in his little world, I would have much less trouble with that.","","","","",""
"A """"","A_df5d4053","Heh-heh-heh, my 'friend', on the contrary, should motivate you. What better compliment is there for a girl than a hard cock. Aren't I right?","","","","",""
"S """"","S_a4311dba","Not yours though. I'm sure you'd get hard from looking at a cow! Seeing a tit is enough to get you worked up!","","","","",""
"A """"","A_15d6d27c","Hahaha, that was a great jab. But you are a little mistaken. Your body causes a particularly strong boner. If you want to check just how strong, we can grab a bucket of water right now.","","","","",""
"S """"","S_4347a523","Bucket of water?... W-what? Why?..","","","","",""
"A """"","A_0fc57fa0","Hahaha, back on Earth, it was a common thing. You could easily test the strength of your boner with great accuracy this way.","","","","",""
"S """"","S_82df977a","What kind of idiot do you have to be to come up with that??? And what's even the point???","","","","",""
"A """"","A_be37447d","Well, actually... I always won... and that was one of my virtues...","","","","",""
"S """"","S_30bb84a5","(Is he that sick in the head?..)","","","","",""
"A """"","A_27b8c25b","Heh heh heh, and you know how many litres I could lift???","","","","",""
"S """"","S_a88d5ce9","I don't want to know!!!","","","","",""
"A """"","A_b67e9779","Fourteen liters of water! But I'm pretty sure that now I'd easily lift three buckets ten litres each!","","","","",""
"A """"","A_ab271953","Where are my buckets?!","","","","",""
"S """"","S_68edfa6a","What buckets? Are you insane? You don't have to measure anyhting! I believe you word, thirty litres it is!","","","","",""
"A """"","A_52be9907","...","","","","",""
"A """"","A_626d985a","Ehh... the good old times... anyways... what were we talking about...","","","","",""
"A """"","A_52be9907_1","...","","","","",""
"A """"","A_e4cf38cd","Right...","","","","",""
"A """"","A_78511cfb","Come on, straighten your back, pull your shoulders back, puff out your huge milkers and spread your cheeks.","","","","",""
"A """"","A_c87d971a","I know what can help you! It is a really good idea.","","","","",""
"""""","narrator_796fb00e","Stukov proudly began undressing, unceremoniously scattering his clothes all over the room.","","","","",""
"S """"","S_d5760b6a_1","!!!","","","","",""
"S """"","S_c1512d4a","What have you got into your head now?! Hey, put your stuff back on!... Wait, don't throw them like this...!","","","","",""
"A """"","A_85664d53","Oh... So waaayyyy better. Damn it, I hate these rags! Have I told you that?","","","","",""
"S """"","S_188c8aba","Yes... more than once...","","","","",""
"A """"","A_9758a0c6","Well... I hate clothes...","","","","",""
"A """"","A_128e9089","Well, do you feel confident now? You should feel better. Now you're not alone.","","","","",""
"S """"","S_2bf74ed2","No! This is much worse!","","","","",""
"S """"","S_4f846723","(Oh... he's so close! His cock is so close, and so excited and probably very hard... If he comes closer I'll be able to feel its aroma...)","","","","",""
"S """"","S_b5197431","(Damn! I almost want this! What's wrong with me?!)","","","","",""
"A """"","A_d1a0ed0c","Don't worry, it takes but time, our bodies will get used to each other.","","","","",""
"A """"","A_8f73c053","So, where do you wanna go?","","","","",""
"S """"","S_3cc950ec","Huh??? Go? W-what are you talking about???","","","","",""
"A """"","A_69e99cfe","Heh-heh-heh, you have nothing to worry about, it will be just a simple walk. Also, I'll always be close and support you.","","","","",""
"S """"","S_18352566","Support me by staring at me and wagging your dick? Put you clothes back on!","","","","",""
"S """"","S_78c3bbdd","I don't want to go anywhere! Especially with you... And especially with either of us naked!","","","","",""
"A """"","A_06e55976","Don't pay it so much attention. Just imagine the clothes.","","","","",""
"S """"","S_10d34220","...","","","","",""
"S """"","S_5454947e","You're doing it again!!!","","","","",""
"A """"","A_00bef693","Well, I'm glad you agreed. Let's go.","","","","",""
"A """"","A_98eab60d","*Inhaled a lungful of air*","","","","",""
"A """"","A_a7a025b8","*Exhaled*","","","","",""
"A """"","A_a52909a7","Glorious, isn't it? Fresh air, freedom and no restrictions... do whatever the hell you want.","","","","",""
"S """"","S_a69bbcb6","There's no fresh air here...","","","","",""
"A """"","A_c0900c2f","Have you chosen where we are going yet?","","","","",""
"S """"","S_b363b8b9","Chosen? This was your idea! And now you want me to choose where we will go?","","","","",""
"A """"","A_bf8cac5b","Indeed.","","","","",""
"A """"","A_71edcf80","You wanted to get out so much! You've climbed into the wall again and again. Now you've got a great opportunity to learn something new about the ship. Who knows, maybe you'll even will find a way out?","","","","",""
"S """"","S_5bf855f9","... are you serious? We're in space... even if I find out, what's next? That doesn't make any sense.","","","","",""
"A """"","A_8479bf65","Have you tried asking yourselves those questions when you climbed into the wall? Hahaha.","","","","",""
"S """"","S_10d34220_1","...","","","","",""
"S """"","S_abc5bb84","Okay, you win. I think nothing bad should happen from these walks.","","","","",""
"""""","narrator_b7336142","*Fap-fap-fap*","","","","",""
"""""","narrator_86bfa3c9","Sarah barely opened her eyes when she saw a naked Stukov. The half-zerg-half-pervert was looking at her with a nasty smile while slowly stroking his hard dick.","","","","",""
"A """"","A_20b42d77","Hehe... Good morning.","","","","",""
"S """"","S_050cc4d6","Who said it is good? What's good when there's a man with a hardon staring at me in my room?","","","","",""
"A """"","A_4fedf61e","That's why it's good. Any other girl would dream about this, heh-heh-heh.","","","","",""
"S """"","S_1c0b869c","No normal girl would even imagine this!","","","","",""
"A """"","A_d381761a","There's as many opinions as there are people. So, are you ready for today's walk?","","","","",""
"S """"","S_83b5471d","What, are we going right now? Can't I at least eat first?","","","","",""
"A """"","A_2fe67d17","Heh, actually I'd love to watch this process, last time was very exciting. And you, probably, have gained some experience since then. Enough to please me, for sure, heh-heh-heh.","","","","",""
"S """"","S_7640462c","Dream on. Okay. I think I'll survive without breakfast. Well, let's get a move on!","","","","",""
"A """"","A_96eefe09","You have time to think twice about this, waiting's not a problem.","","","","",""
"S """"","S_caeee25d","Argh, can you even control that thing?","","","","",""
"A """"","A_6b4b9c2f","He's just trying to help you make the right choice. Apparently, he's quite invested in it.","","","","",""
"S """"","S_20b801b2","No, we need to end this as fast as possible! Go.","","","","",""
"A """"","A_63510460","You look quite energetic today. So, where are we going? Have you decided?","","","","",""
"""""","narrator_89dcb10f","Sarah woke up, and without getting out of bed looked around the room. Stukov wasn't present. The girl happily jumped up.","","","","",""
"S """"","S_04e825c1","Has that pervert finally forgotten about me?!","","","","",""
"S """"","S_c991ed82","(That is unlikely. Maybe he had urgent business to attend to. Then I'm saved. And I won't have to go with him anywhere!)","","","","",""
"S """"","S_45b943f1","(Although, I must admit, it was more fun than I expected.)","","","","",""
"C """"","C_eb84d8a5","(And training is quicker if you like what you're doing.)","","","","",""
"S """"","S_23b7a0fb","I didn't say I liked it. I admit though that it is quite exciting.","","","","",""
"S """"","S_d931dbce","Hmm, what to do now...","","","","",""
"A """"","A_e0ed9b69","My dear Sarah, I am oh so surprised by this call! By the way, I was just thinking about you!","","","","",""
"""""","narrator_d92dd7ef","Sarah pointed at Stukov's wiggling bolt.","","","","",""
"S """"","S_28cf41ae","I see.","","","","",""
"A """"","A_b87eabf2","This is my compliment to you, hehe. So, you've decided to have a walk today too, right?","","","","",""
"S """"","S_af30ecb4","You didn't come today, so I had to call you!","","","","",""
"A """"","A_9fb9d77e","This is quite a surprise for me, hehe. You weren't really all that eager to go with me previously.","","","","",""
"S """"","S_fd63bc28","Yes, but since you've decided to help, you need to follow through. You cannot just your own words.","","","","",""
"A """"","A_22dfd565","It seems to me that someone here is just looking for a reason to wander around the ship, which is full of different creatures, heh-heh-heh.","","","","",""
"S """"","S_69b5f597","Call it what it is - an exercise!","","","","",""
"S """"","S_0db10a96","I must not flee from such hardships and look them right in the face.","","","","",""
