"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_5a5274cc","Sarah pressed the button to call Stukov.","","","","",""
"""""","narrator_da8d6fc3","Some time later, he appeared in the room.","","","","",""
"A """"","A_f4869590","You've not wasted any time, I see. A little too eager to try my little present, aren't you?","","","","",""
"A """"","A_e8898b7b","Ahahahaha.","","","","",""
"S """"","S_014bae9d","S-stop...","","","","",""
"A """"","A_122c8838","Well, you're much sexier like this.","","","","",""
"S """"","S_fe799e12","!!!","","","","",""
"S """"","S_1cd23da6","W-what are you talking about... Th... That's impossible...","","","","",""
"A """"","A_aa5bbfa3","Definitely. You are definitely hotter.","","","","",""
"S """"","S_8dcc2708","You are lying... You're just saying this to...","","","","",""
"S """"","S_a52129fd","L-let's get to the point. You've said I was ready for the next test, so what will it be?","","","","",""
"A """"","A_84f4c825","Oh, now that's my girl, getting straight to the point, just like I taught her...","","","","",""
"S """"","S_260600fe","...","","","","",""
"S """"","S_26f6615f","D-don't get the wrong impression... I just want this to be over as soon as possible.","","","","",""
"A """"","A_954d76ec","Alright, but do not be hasty with this test. Patience is key.","","","","",""
"S """"","S_260600fe_1","...","","","","",""
"S """"","S_6b4eeaa4","A-alright...","","","","",""
"A """"","A_d553f33d","You won't have to do almost nothing.","","","","",""
"A """"","A_db040010","Follow me.","","","","",""
"""""","narrator_f8806100","Stukov headed to Sarah's bed.","","","","",""
"A """"","A_5d725fbc","Stand in front of me.","","","","",""
"S """"","S_44a67c4e","R-right...","","","","",""
"""""","narrator_afdb6345","Sarah obediently but hesitantly followed Stukov's order.","","","","",""
"S """"","S_692f7da8","W-what's next?","","","","",""
"A """"","A_f3d0c2e6","Ahem.","","","","",""
"A """"","A_946d7550","Your next test is to learn to entice men and... generally be good fap material.","","","","",""
"S """"","S_e9d77aeb","WHAT?","","","","",""
"A """"","A_7c046553","Don't worry, I'll help you with it.","","","","",""
"S """"","S_1dab0bfd","Are you crazy?","","","","",""
"A """"","A_415db089","No. I'm absolutely serious.","","","","",""
"S """"","S_8c9080bd","I'm not gonna do something like that!","","","","",""
"A """"","A_e5ba39c1","You should've thought about that before letting me take a holo of you.","","","","",""
"S """"","S_fe799e12_1","!!!","","","","",""
"S """"","S_beb9e106","I-I... I didn't have a choice... You didn't even ask me!","","","","",""
"A """"","A_989b3027","Yeah? Your body spoke something else. It was begging to be wanked to.","","","","",""
"A """"","A_ccc0e90d","Ahahahaha!","","","","",""
"S """"","S_0f0db9a2","S-stop... Don't say that... That's a lie...","","","","",""
"A """"","A_5012ef6a","I'm sure even all this talking made you quite horny.","","","","",""
"S """"","S_fe799e12_2","!!!","","","","",""
"S """"","S_0d52ff34","N-no...","","","","",""
"A """"","A_461f6784","Ahem.","","","","",""
"A """"","A_e78c8f27","Well, I'm not gonna force you or anything, you can refuse and keep on rotting in this cell. You also can do what you're told to and eventually get out of here.","","","","",""
"A """"","A_658eff8f","And believe me, girl, you will prefer me over anyone else you get handed over to.","","","","",""
"S """"","S_5c62e5d8","(Damn it, it's just as I thought. Another perversion...)","","","","",""
"S """"","S_43d995c3","(How could I even imagine something else from that freak?)","","","","",""
"S """"","S_8a11c309","(Anyway... I'm not in a position to argue currently.)","","","","",""
"S """"","S_f15e905c","(I've already decided I will pass all his tests and nothing will stop me!)","","","","",""
"S """"","S_b0394f71","A-alright, I agree.","","","","",""
"""""","narrator_db45ec75","Stukov's face lit up immediately.","","","","",""
"A """"","A_36e646e0","Well then, let's start.","","","","",""
"""""","narrator_42252806","Stukov takes off all of his clothes.","","","","",""
"S """"","S_fe799e12_3","!!!","","","","",""
"A """"","A_d528971d","Hate this clothing...","","","","",""
"S """"","S_e3692048","Why did you get naked?","","","","",""
"A """"","A_d9cb0615","Why???","","","","",""
"A """"","A_078e43d9","You're my fap material for today and your job is to make me cum as soon and as hard as possible!","","","","",""
"S """"","S_019a9222","Stop saying those things...","","","","",""
"S """"","S_0172aff1","(Damn... Why is he showing me his... I don't want to look at it!)","","","","",""
"A """"","A_1a7d8b89","Ahaha! If you want this to end soon, you'll have to get used to dirty talk.","","","","",""
"S """"","S_fe799e12_4","!!!","","","","",""
"S """"","S_46ae8234","It's wrong.","","","","",""
"A """"","A_0df776bb","Oh, believe me, girl, you'll thank me for these lessons later.","","","","",""
"A """"","A_ce6cb58f","Ahaha!","","","","",""
"A """"","A_2b945d5b","Alright, I want you to...","","","","",""
"A """"","A_78bb834f","Start removing your clothes one by one. We've lots of time and I want to enjoy you as much as possible.","","","","",""
"S """"","S_260600fe_2","...","","","","",""
"S """"","S_0400a67a","(I did this before already, why is it so hard now?)","","","","",""
"""""","narrator_eebcad3b","Sarah slowly starts removing her clothes, starting from her upper armor.","","","","",""
"""""","narrator_41d6277e","She tries to make it look sexy, but her shyness and inexperience ruin her attempts.","","","","",""
"A """"","A_789f2b3f","Am I seeing something, or are you starting to like this? You even move differently.","","","","",""
"S """"","S_18009cb5","Y-you're hallucinating!","","","","",""
"S """"","S_7281020f","(He noticed... I'm only doing this to escape this place!)","","","","",""
"A """"","A_ced1a9ab","I see that previous training sessions are finally starting to pay off.","","","","",""
"A """"","A_7762e921","Ha-ha-ha-ha.","","","","",""
"S """"","S_7c4c305b","I just don't want this to take a while...","","","","",""
"A """"","A_60bac32e","Good thinking.","","","","",""
"S """"","S_fe799e12_5","!!!","","","","",""
"S """"","S_2d513617","(This is so... So perverted!)","","","","",""
"S """"","S_1d5a9221","(Fuck-fuck-fuck!)","","","","",""
"A """"","A_135e0303","Maybe you would stop covering yourself up???!","","","","",""
"S """"","S_260600fe_3","...","","","","",""
"A """"","A_69907515","Agrhh!!!","","","","",""
"A """"","A_9bed89a1","You know what, I changed my mind, take off everything right now!","","","","",""
"S """"","S_fe799e12_6","!!!","","","","",""
"""""","narrator_8029b07a","Sarah took every piece of her clothing beside undergarments off.","","","","",""
"A """"","A_7b2c3f11","Take all your clothes off right now and get to the exciting part!","","","","",""
"S """"","S_0400a67a_1","(I did this before already, why is it so hard now?)","","","","",""
"S """"","S_260600fe_4","...","","","","",""
"""""","narrator_804d929c","Sarah hesitantly starts removing her attire.","","","","",""
"""""","narrator_41d6277e_1","She tries to make it look sexy, but her shyness and inexperience ruin her attempts.","","","","",""
"""""","narrator_584dd1ad","Meanwhile, Stukov already got hard and started slowly stroking it.","","","","",""
"""""","narrator_0c8f54ad","After removing her clothes Sarah covered herself up, but soon her hands were down by her sides, her body only covered by the underwear Stukov gave her.","","","","",""
"A """"","A_69907515_1","Agrhh!!!","","","","",""
"""""","narrator_84d98092","She could've never imagined she would once be wearing something as perverted as this.","","","","",""
"A """"","A_4432ca7e","Ohoho! It looks quite good on you, I must say.","","","","",""
"S """"","S_260600fe_5","...","","","","",""
"A """"","A_45bd2a94","You were born to be an erotic underwear model.","","","","",""
"""""","narrator_6824a52d","After seeing Sarah almost naked Stukov's member immediately became rock-hard.","","","","",""
"S """"","S_fe799e12_7","!!!","","","","",""
