location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_6555ed55,I think we should start with the kissing training today.,,,,,
"A """"",A_3d1f840f,"Kissing, hm... Nice!",,,,,
"S """"",S_94b882b6,What will I have to do?,,,,,
"A """"",A_eace249e,Just relax and do what I tell you.,,,,,
"S """"",S_2cdda037,"(Yeah, relax... here...)",,,,,
"A """"",A_e8996031,"So, ready to begin?",,,,,
"S """"",S_3fddfa6f,Y-yes...,,,,,
"A """"",A_7dcf0bc7,"I get it, the first kiss is always... hard. But do not worry.",,,,,
"S """"",S_4761d59d,W-what? Stop. You're talking about what happens when people really like each other... This... this's nothing like a first kiss...,,,,,
"S """"",S_50e68454,"(But shit, my heart's beating so fast...)",,,,,
"S """"",S_48c02598,It's just a kiss...,,,,,
"A """"",A_7aa84288,"Just a single kiss, like in the fairytales! Ahaha. And then, our story will write itself.",,,,,
"""""",narrator_449b3d86,Stukov stepped towards Sarah.,,,,,
"""""",narrator_ea05e587,"He approached her, then put one hand around her and pressed her against him.",,,,,
"A """"",A_42a7cb33,"Mmh, you smell so nice.",,,,,
"S """"",S_75754b47,W-what are you on about... lier...,,,,,
"A """"",A_2363fcbd,"No, it's true. You smell... like a woman...",,,,,
"S """"",S_fc1a5ccd,...,,,,,
"S """"",S_c9a2e3f0,I can't say I like what I'm smelling...,,,,,
"A """"",A_32a32f24,"Hah, that's the smell of a man. You'll come round soon enough.",,,,,
"S """"",S_9d6dd84c,Ah...,,,,,
"A """"",A_90d3ef94,I can not wait to find out the taste of your lips.,,,,,
"S """"",S_be877315,"(Shit, this isn't my first kiss... but why am I so nervous?)",,,,,
"A """"",A_268b7517,"Baby, haven't I told you? Relax, that's the main thing you have to do. You're wound like a spring!",,,,,
"S """"",S_7e983358,Y-you're too close to me...,,,,,
"A """"",A_91503bdb,"Well, this kiss'll help deal with that, you'll be feelling great in no time!",,,,,
"S """"",S_16e99acb,(Shit-shit-shit... I have to make it through! I will make it through!),,,,,
"A """"",A_683faea8,"So, time to start.",,,,,
"S """"",S_f03285ff,Mmmmmnph!!!!!!!! mnph...mmnnnnn.... nfu...,,,,,
"""""",narrator_3468a8ac,Stukov sinked into Sarah's lips and so their first kiss started.,,,,,
"S """"",S_cde6bb70,Aaaaamhh...,,,,,
"S """"",S_4d5e3f1d,"(Ah, we're kissing... I'm kissing a man I don't feel anything towards...)",,,,,
"S """"",S_8eaa462c,Mmhh... mh... mmmf...,,,,,
