location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_7c043648,I think I should start training now.,,,,,
"C """"",C_f37ab85e,"(Finally, I thought you've forgotten about that.)",,,,,
"C """"",C_199e9885,(Would you like to get some advice?),,,,,
"S """"",S_bac23984,(Mind your own business. This isn't something I need help with.),,,,,
"S """"",S_34fcc3c7,(I know what to do well enough.),,,,,
"C """"",C_c9fffdba,(Alright then...),,,,,
"S """"",S_44a28fc7,(I know what to do and do not need your help!),,,,,
"S """"",S_9cfe81fc,(Although a couple problems might come up because of you...),,,,,
"C """"",C_7a7c82a3,(What? Why?),,,,,
"S """"",S_02bd0978,"(Like you don't know already... Hey, can you... turn off for some time?)",,,,,
"C """"",C_f492bc65,(...),,,,,
"C """"",C_8dce8baf,(Don't tell me you're being serious... What do you even mean by 'turn off'?),,,,,
"S """"",S_0c8fd864,(Well... I don't know... maybe you can do something...),,,,,
"C """"",C_53a0fba9,"(...Of course I can't. I can just not interrupt you. If you don't want me to help you, that is.)",,,,,
"S """"",S_6b3fa351,"(Shit, just my luck... But I do want you to know that I wish for you to be completely inactive, understood?)",,,,,
"C """"",C_83a29676,(Alright.),,,,,
"S """"",S_e21e932f,Time to get this over with!,,,,,
"""""",narrator_e0846416,"Sarah slowly undressed, then dropped onto her bed, squirming a little to find a comfortable position. Well, not exatly her bed... The thing that imitated a bed in her room.",,,,,
"S """"",S_e4136a13,(At least I'm alone this time.),,,,,
"""""",narrator_71cb58fe,"Sarah carefully put her hand in front of her crotch, then lowered it. She found the feeling of skin to skin contact unusually pleasurable.",,,,,
"S """"",S_445a3fdb,(Mmmmh... I've not done this for such a long time...),,,,,
"""""",narrator_70945e06,She slowly started feeling her pussy with her hand.,,,,,
"S """"",S_9f913ae8,(Mmh... it's so warm... and nice...),,,,,
"""""",narrator_a59347be,"Sarah continued playing with herself, carefully and cautiously. Slowly, her breath hastened.",,,,,
"""""",narrator_222a63bf,"Eventually, quiet moans filled the air around her.",,,,,
"S """"",S_ac8354f4,(So good...),,,,,
"""""",narrator_b1298a38,"Sarah's second hand reached her bossom, slightly squeezing it.",,,,,
"S """"",S_ca8d053b,(Ah... my chest...),,,,,
"C """"",C_740c2f7b,(Are you always so tense when you are doing this?),,,,,
"S """"",S_0d4ab3e3,(S-shit!.. I knew you were peeking...),,,,,
"S """"",S_389f8f5d,(I told you not to interrupt me!),,,,,
"C """"",C_7d717598,"(I'm not peeking, I'm literally seeing through your own eyes. And I wasn't interrupting, I was going to help.)",,,,,
"S """"",S_9c7a760b,(I've told you before I didn't need your help...),,,,,
"S """"",S_1b210d08,(And this is why I can't relax!),,,,,
"S """"",S_3be79d59,"(This room, this... bed, you! Everything's distracting me here...)",,,,,
"S """"",S_345ce048,...,,,,,
"""""",narrator_95727786,Sarah tried to ignore the little interruption and resumed the process.,,,,,
"S """"",S_c2dac653,(Mmh... I need something inside me...),,,,,
"""""",narrator_47d29c6c,Sarah slowly inserted two fingers into herself.,,,,,
"S """"",S_34683199,(Ahh... mmh... so good... my pussy... is so warm and feels so good...),,,,,
"""""",narrator_4e12621d,"Sarah pulled the two fingers out and then put them back in, over and over.",,,,,
"S """"",S_24842c46,Ahh... it's useless...,,,,,
"S """"",S_dff18b53,Shit... nothing's coming to mind... I have to think about something... nice... and relaxing...,,,,,
"S """"",S_48f453b3,Mmh... I think Raynor might be able to help me out...,,,,,
