"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"Aside2 """"","Aside2_8731de84","Does she feel what's happening to her? How excited she would be if she knew that someone was watching her, hehe.","","","","",""
"Aside3 """"","Aside3_f47fc2fc","Nevertheless, I adore them... What a pity I can’t touch them right now. This separation will be painful for me...","","","","",""
"Aside2 """"","Aside2_d6fe85b3","Oh, I already miss those milkers.","","","","",""
"Aside2 """"","Aside2_0026f5d4","She looks so inviting... And so inaccessible... What an injustice.","","","","",""
"Aside3 """"","Aside3_fcc8adb2","I see you without chitin for the last time. It’s good that I managed to enjoy you before the transformation, hehe.","","","","",""
"Aside2 """"","Aside2_e214cfcf","By the way, will it actually be covered with chitin... I also went through something similar, and I did not get chitin. Ah, why guess, soon we will see everything for ourselves.","","","","",""
"centered """"","centered_f72f4cd6","Some time later.","","","","",""
"A """"","A_1398bc17","Hmm... I wonder if everything is okay with Sarah?","","","","",""
"A """"","A_eb2ffcf3","I should've gone with her. You never know what that little devil can do.","","","","",""
"A """"","A_15cca007","I'll go check it out, see how she's doing, hehe.","","","","",""
"""""","narrator_eaf30289","Stukov headed in the familiar direction.","","","","",""
"Aside9 """"","Aside9_a8a0d2d7","*Deep breath* The atmosphere here is... fitting.","","","","",""
"Aside3 """"","Aside3_44cce2cf","Hah, but I'm not here for it. I'd rather find out how Sarah is doing.","","","","",""
"""""","narrator_05d324cf","Stukov quickly approached the chrysalis, being impatient to see what was happening to the girl.","","","","",""
"Aside11 """"","Aside11_4f647a69","Damn, can’t see anything... although I'd recognize those milkers with my eyes closed.","","","","",""
"Aside10 """"","Aside10_e02eddc1","Hm, if you look closely, you can see very interesting things, hehe.","","","","",""
"Aside1 """"","Aside1_ae16cf6f","And if I wipe the surface a bit?..","","","","",""
"""""","narrator_3131e63d","Stukov could finally observe the big picture.","","","","",""
"Aside2 """"","Aside2_4c040df2","Hah, all the charms in one place.","","","","",""
"Aside3 """"","Aside3_88ab4152","Damn, I would love to enjoy such a sight every day, but this opportunity is extremely rare... Such a beauty surrounded by tentacles, hehe.","","","","",""
"Aside10 """"","Aside10_c2c8ec3a","How I'd love to wake up and see a naked and accessible girl in front of me... Oh, what sweet dreams.","","","","",""
"Aside1 """"","Aside1_c827236e","(Hmm... if I think about it, I was changed a long time ago...)","","","","",""
"Aside8 """"","Aside8_aba72f4a","(Her process is very different from mine... Nobody's cutting her, for once. Everything is quiet and calm.)","","","","",""
"Aside8 """"","Aside8_bd00afed","I definitely wouldn't enjoy watching her go through the same things I did.","","","","",""
"""""","narrator_fb85b695","A slight chill went down Stukov’s spine immediately after he recalled the old days.","","","","",""
"Aside5 """"","Aside5_a5bc9899","Gr... no...","","","","",""
"Aside8 """"","Aside8_d00b96f3","So much time has passed... Have the zerg become more humane? It's just strange that nothing's happening.","","","","",""
"Aside7 """"","Aside7_1338ac9b","The body is completely calm. There are no outward signs that something is happening to her. Doesn't look like a rebirth at all... Maybe this thing broke? Or I don’t understand something.","","","","",""
"""""","narrator_0a3306d8","Stukov examined Sarah's body from top to bottom, stopping at the most attractive parts.","","","","",""
"Aside2 """"","Aside2_009f44c4","Although what difference does it make when you can stare calmly and not be distract by anything?","","","","",""
"Aside3 """"","Aside3_e0e2c570","What interesting thoughts come to mind when you remember what she can do with her breasts...","","","","",""
"""""","narrator_c96e1141","Stukov lowered his gaze, stopping on a tense belly.","","","","",""
"Aside3 """"","Aside3_30f6aba7","How much power does she really have? But now she is in such a helpless position.","","","","",""
"Aside2 """"","Aside2_c6ef3d60","What a pity that I can only capture this beautiful moment in my memory... What a wonderful collection of holograms would I have...","","","","",""
"""""","narrator_d999ef58","Stukov's inspection was interrupted by tentacles appearing from different sides, touching the bare parts of the girl’s skin","","","","",""
"Aside10 """"","Aside10_36ba0802","Ooh! Looks like something incredibly interesting is about to begin, hehe.","","","","",""
"Aside3 """"","Aside3_c9864db0","Apparently, I arrived on time... I would never forgive myself for missing such fun!","","","","",""
"""""","narrator_ac254e30","More and more tentacles appeared. They glided along Sarah, reaching the most sensitive places.","","","","",""
"Aside3 """"","Aside3_0d824793","I see you're not wasting your time in vain, having fun with new friends!","","","","",""
"Aside11 """"","Aside11_f716aeb4","(Abathur exceeded all my expectations... But I would not limit myself to just excitement.)","","","","",""
"Aside2 """"","Aside2_f0b41491","Damn, can I participate too? Maybe there’s a hole somewhere...","","","","",""
"Aside5 """"","Aside5_d235febf","Gr... Damn Abathur, how can anyone call him a genius after that??? He cannot even implement elementary things!","","","","",""
"Aside1 """"","Aside1_403b00f9","Oh, these amateurs...","","","","",""
"""""","narrator_c7284453","Tentacles began moving more actively near Sarah's nipples and pussy, only slightly touching them. Sarah began to react, trying to give them easier access. But nothing came of it because of the tentacles restraining her arms and legs.","","","","",""
"Aside3 """"","Aside3_3b4c224a","No wonder... Sensitive, as always. Even in a chrysalis, she also responds violently to foreplay, huh. I hope this doesn't end here.","","","","",""
"Aside10 """"","Aside10_c0120f21","It's so strange not to hear her ooh and aah. I really miss that.","","","","",""
"""""","narrator_8a9b7a19","Tentacles started clasping and releasing the hardening nipples and rubbing against the excited clitoris. Large tentacles, which Stukov didn't notice at first, were approaching the girl's vagina and anus.","","","","",""
"Aside11 """"","Aside11_0619ea1e","And here is the dessert itself... How huge. Hah, I don't feel so bad I was changed in a different way anymore.","","","","",""
"Aside2 """"","Aside2_2ed9a88a","(But she will accept everything... Yes, today she will certainly be the most obedient. It was worth all those persuasions and trainings, hehe.)","","","","",""
"""""","narrator_d951c365","The huge tentacles just rubbed themselves against Sarah, not hurrying to get inside. Stukov was unsure whether he or Sarah was the most impatient right now. He could not take his eyes off the sight, but Sarah actively tried to get the tentacles inside her.","","","","",""
"Aside3 """"","Aside3_048f6d06","Hey Sarah, wake up. A huge tentacle wants to enter you. If you do nothing, it will tear your pussy!","","","","",""
"Aside10 """"","Aside10_4b8ff951","If they come in at the same time... Ugh, what sensations that should bring. Only Sarah's mouth is busy. I would love to listen to how loudly she moaned from that.","","","","",""
"""""","narrator_94f8a9ec","Instead of sounds and groans, only small air bubbles came out. The emotions on Sarah's face changed every second. She was shaking from constant excitement, her body demanded discharge, but she wasn't nearly there.","","","","",""
"Aside3 """"","Aside3_7b98ae55","If you don’t wake up right now, they will rip your pussy, hehehehe.","","","","",""
"""""","narrator_0e9ab9bf","But her response was silence, Stukov understood that his words did not reach her, she was crammed with unknown substances which absorbed into her skin and which she inhaled.","","","","",""
"""""","narrator_5db8756f","The tentacles shook with her, irritating her delicate skin. Huge tentacles stopped pressing on her entrances.","","","","",""
"Aside3 """"","Aside3_2eb04c54","Huh? You don't mind?.. You Sure? You should think carefully, because these are much bigger than my dick.","","","","",""
"""""","narrator_7b6a0b5d","The tentacles did not stop for a second, continuing to stimulate Sarah's body.","","","","",""
"Aside2 """"","Aside2_47f600e3","Well, I just wanted to warn you... That your pussy will be stuffed with tentacles any minute now.","","","","",""
"""""","narrator_1354ac3e","Sarah's body froze, taking in two tentacles at once. Her face displayed a mixture of pain and pleasure. The girl finally felt full, but there was too little space inside. Tentacles tried to move on, but Sarah was too tense.","","","","",""
"Aside10 """"","Aside10_60b31273","Apparently, you are not completely against it, hehe hehe.","","","","",""
"Aside11 """"","Aside11_d800dd5e","(Heh heh heh, it's so funny to watch: her body is giving way while her consciousness is far away from here.)","","","","",""
"""""","narrator_a385113a","Tentacles began to more actively stimulate the clitoris and nipples so that Sarah relaxed and became more aroused. The tentacles in her armpits also began to move, distracting the girl from the sensations below.","","","","",""
"Aside2 """"","Aside2_6d1c81c6","This is beautiful... I can almost imagine how it feels.","","","","",""
"Aside3 """"","Aside3_af5ed885","Ahem... Not from Sarah's side, of course. I would not want to imagine it that way.","","","","",""
"Aside10 """"","Aside10_026da68a","But it would be very nice not only to imagine it, but also to realize it.","","","","",""
"""""","narrator_d3439c97","Sarah relaxed enough so that the huge tentacles could gradually begin to move. At first they moved little, allowing Sarah to get used to them and not strain her muscles too much. Then they began making their way further, deforming Sarah's stomach.","","","","",""
"Aside10 """"","Aside10_3cc5f5cb","(Wow, that's deep... I can literally see her belly bulge with every push.)","","","","",""
