"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_c88f53de","*Rustling*","","","","",""
"""""","narrator_c88f53de_1","*Rustling*","","","","",""
"""""","narrator_c88f53de_2","*Rustling*","","","","",""
"S """"","S_8f9f8819","*Slurred speech*","","","","",""
"""""","narrator_c88f53de_3","*Rustling*","","","","",""
"S """"","S_46f229cc","I... I want to sleep... don't touch me.","","","","",""
"""""","narrator_c88f53de_4","*Rustling*","","","","",""
"Z """"","Z_08fd9db4","*Skri-skri-skri!*","","","","",""
"""""","narrator_c88f53de_5","*Rustling*","","","","",""
"S """"","S_da3c456d","!!!","","","","",""
"""""","narrator_091e7cc4","Sarah came to her senses, when she heard a rather familiar sound.","","","","",""
"S """"","S_27d55755","W-what are you doing here? -Get off me now!","","","","",""
"Z """"","Z_85c38d1c","*Skr*","","","","",""
"""""","narrator_c88f53de_6","*Rustling*","","","","",""
"S """"","S_c320ff29","Y-you shouldn't be here! Don't walk on me!","","","","",""
"S """"","S_be4803bb","(Damn, he's pretty heavy...)","","","","",""
"S """"","S_a9f223af","W-what are you going to do?","","","","",""
"Z """"","Z_08fd9db4_1","*Skri-skri-skri!*","","","","",""
"""""","narrator_f6c8f830","Sarah wiped her eyes, still not fully understanding what was happening and what the little zerglings was up to.","","","","",""
"S """"","S_da3c456d_1","!!!","","","","",""
"S """"","S_19985a58","W-what are you doing??? Hey, stop it now.","","","","",""
"Z """"","Z_85c38d1c_1","*Skr*","","","","",""
"S """"","S_814e8a74","Q-quit moving on me... you're not that light!","","","","",""
"S """"","S_da3c456d_2","!!!","","","","",""
"""""","narrator_1e4ed9d4","But the zergling didn't pay much attention to Sarah's words, he was focused on his job.","","","","",""
"S """"","S_f8827c3a","Hey... ahh.. p-please stop, what are you doing!","","","","",""
"Z """"","Z_85c38d1c_2","*Skr*","","","","",""
"S """"","S_e44650ad","(Shit, he isn't listening to me... ahh... he put his thing between my legs...)","","","","",""
"S """"","S_ee5498e4","Ahhh... n-no, stop... you can't use me...","","","","",""
"S """"","S_3e73a2fc","(How nimble he is... he's doing it at such a speed... ahhh...)","","","","",""
"Z """"","Z_cbaa9583","*Skr-skr-skr*","","","","",""
