"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_3ddc364a","","","False","","",""
"A """"","A_2ec6b9b4","","","False","","",""
"""""","narrator_cca8752a","","","False","","",""
"S """"","S_52317230","","","False","","",""
"Aside8 """"","Aside8_72731c7b","","","False","","",""
"S """"","S_b6ad03a4","","","False","","",""
"Aside3 """"","Aside3_6bd138c9","","","False","","",""
"S """"","S_75cc25af","","","False","","",""
"S """"","S_d10af909","","","False","","",""
"A """"","A_986111f5","","","False","","",""
"S """"","S_781fd6db","","","False","","",""
"A """"","A_0df8d721","","","False","","",""
"S """"","S_934f44a6","","","False","","",""
"A """"","A_7a5bf057","","","False","","",""
"S """"","S_792d00eb","","","False","","",""
"A """"","A_452b3ff6","","","False","","",""
"S """"","S_91d4fb95","","","False","","",""
"A """"","A_db4a9f40","","","False","","",""
"S """"","S_23a3130b","","","False","","",""
"S """"","S_a62fc576","","","False","","",""
"""""","narrator_90b3e6cf","","","False","","",""
"Aside8 """"","Aside8_d9b85a6c","","","False","","",""
"S """"","S_3f32666e","","","False","","",""
"Aside8 """"","Aside8_8f82ac3c","","","False","","",""
"Aside9 """"","Aside9_b792ae4c","","","False","","",""
"""""","narrator_74a84bf2","","","False","","",""
"Aside10 """"","Aside10_275f7454","","","False","","",""
"S """"","S_7a3be9d6","","","False","","",""
"S """"","S_059460ca","","","False","","",""
"Aside3 """"","Aside3_5cbafa16","","","False","","",""
"S """"","S_7d97a6e9","","","False","","",""
"""""","narrator_d9e99ce2","","","False","","",""
"A1side11 """"","A1side11_99ec7b08","","","False","","",""
"S """"","S_bbd0523b","","","False","","",""
"A1side4 """"","A1side4_0c36c87c","","","False","","",""
"""""","narrator_e8587a19","","","False","","",""
"""""","narrator_678a70f4","","","False","","",""
"A """"","A_807c00be","","","False","","",""
"S """"","S_68d189cc","","","False","","",""
"S """"","S_9f407277","","","False","","",""
"A """"","A_e7789a4c","","","False","","",""
"S """"","S_92c9bbb9","","","False","","",""
"A """"","A_ffb16e9f","","","False","","",""
"A """"","A_c982790d","","","False","","",""
"S """"","S_ccc5f243","","","False","","",""
"S """"","S_9a800a2b","","","False","","",""
"A """"","A_371f0a5b","","","False","","",""
"S """"","S_d9763815","","","False","","",""
"A """"","A_55cacc91","","","False","","",""
"""""","narrator_8b62a8b8","","","False","","",""
"S """"","S_b5623092","","","False","","",""
"A """"","A_5fccca73","","","False","","",""
"S """"","S_514f4f6c","","","False","","",""
"A """"","A_a57e44d1","","","False","","",""
"S """"","S_95b54bba","","","False","","",""
"A """"","A_f14f2615","","","False","","",""
"S """"","S_5f968664","","","False","","",""
"A """"","A_50ccda27","","","False","","",""
"S """"","S_6cb0d88e","","","False","","",""
"S """"","S_a2c4011c","","","False","","",""
"A """"","A_a153c84a","","","False","","",""
"S """"","S_ef6f3de3","","","False","","",""
"A """"","A_bbfbc92d","","","False","","",""
