location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_65da0ca3,"The surprise attack was repelled. The enemies had to flee, leaving one of the crew members on the ship.",,,,,
"""""",narrator_cac4e85a,"But in spite of unforeseen circumstances, the time was right for the beginning of the transformation. It was the inevitable that Sarah was waiting and avoiding at the same time.",,,,,
"A """"",A_dc8ac92b,"Well, here we are. Important matters await you, important matters await me.",,,,,
"S """"",S_1b29d8ef,"And that's all? No parting words or vulgar jokes? You're losing your grip, Stukov.",,,,,
"A """"",A_07c6286a,I’m not sending you to war. Too little chance that something might go wrong.,,,,,
"S """"",S_b89069b1,Too little? It sounds like you're upset by that.,,,,,
"A """"",A_26b69f38,"Hmm... I would be sorry to say goodbye to such a, hmm... A wonderful specimen like you, Sarah. Don’t worry, I’ll try to find time and visit you, hehe.",,,,,
"S """"",S_b67f2636,"You know, that sounds very suspicious... Will you be able to see anyething? Otherwise, I see no other reason for you to come here while I... how to put it, am transforming.",,,,,
"S """"",S_f192ba65,Don't even try to hide behind phrases like 'I miss you'. I won’t believe you if you swore on your life.,,,,,
"A """"",A_3ce53d4c,"Maybe, hehe. You should hurry up. Transformation is an important process, better not to joke about it. Just go inside Sai'mon will tell you what to do.",,,,,
"S """"",S_abfb241e,Is that all? Just go there?,,,,,
"A """"",A_c230c770,"Well, yes. Hey, I've got an equally important task, to satisfy the Mistress's hunger, and that's not done by just going into her chambers, I will need to use my entire arsenal. You'll manage somehow.",,,,,
"S """"",S_c8a50c5c,"Yeah right, tell me you're not happy about it.",,,,,
"A """"",A_ff3bf099,"Heh, I am, but if I had a choice between you two, I would have dealt with your mutation properly.",,,,,
"S """"",S_39efb69e,"...Idiot, get out of here already...",,,,,
"A """"",A_7d1064c2,Do you want to know what I'd change first?,,,,,
"S """"",S_49356610,No!,,,,,
"A """"",A_579bba31,"Well, okay, I have to go. Don't waste time.",,,,,
"""""",narrator_49c22c0b,"Stukov joyfully headed in the other direction, leaving Sarah in splendid isolation.",,,,,
"C """"",C_8e15d15e,(He was talking about your boobs.),,,,,
"S """"",S_d502cbc9,I already know him well enough to understand this myself.,,,,,
"S """"",S_c612cca5,"(Listen, doesn’t it bother you at all, what they want to do with me?)",,,,,
"C """"",C_78226639,"(If you are talking about fear, then I do not feel anything in this vein. If you have not forgotten, I am not burdened with emotions, and not just me. Many in the Swarm do not feel fear or other feelings.)",,,,,
"C """"",C_4656620e,"(But I can feel what you are experiencing, only how to put it, I perceive it differently, not as you do.)",,,,,
"S """"",S_02475efc,"OK, then let's approach this differently. Does it really bother you that I can change?",,,,,
"C """"",C_09fc6cd2,"(As far as I know, nobody is going to touch your mind and consciousness, those are you most valuable traits, by the standards of the Swarm, of course. I don’t take boobs into account.)",,,,,
