"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_3cf4a301","Mistress didn't waste time and made Stukov undress faster. There was no point in resisting her, that dangerous fire of excitement shone in her eyes. She was ready to do anything to satisfy herself.","","","","",""
"""""","narrator_f2dbf16d","Stukov didn't see her face when a tentacle entered him on her orders, but the wet sounds behind him made it obvious she enjoyed the show.","","","","",""
"A """"","A_8f70a9b9","I knew that you excited you a lot, but that was an interesting outcome...","","","","",""
"Q """"","Q_bc96a1a8","You can never know what will happen next time... You should get ready, because you're not going to be the predator today.","","","","",""
"""""","narrator_4c40851f","Stukov's muscles tightened though otherwise he didn't betray any emotion.","","","","",""
"Q """"","Q_b47f6fd4","Wow, Stukov. You're grasping the mood on the fly.","","","","",""
"Q """"","Q_f3f1fcdd","But you better relax...","","","","",""
"A """"","A_021c6799","You know I never mind playing. What are you up to this time?","","","","",""
"""""","narrator_8628294b","Stukov relaxed as soon as Mistress's eyes squezzed his penis.","","","","",""
"Q """"","Q_f4ade5ac","Oh, very good... You'll find out soon enough.","","","","",""
"A """"","A_1ce089a8","(Sounds... Tempting.)","","","","",""
"Q """"","Q_37eadd2d","But you're definitely not leaving me today until I've completely devastated you.","","","","",""
"A """"","A_f75d236b","You are more active than ever today.","","","","",""
"A """"","A_4d9de1d5","When I came here, I didn't think working meant... This. You must be very excited.","","","","",""
"Q """"","Q_f2373a50","What makes you think of that?","","","","",""
"A """"","A_32af0107","...","","","","",""
"A """"","A_fdb5deff","My body is completely immobilized, so you decided to play properly. Roughly and without any questions.","","","","",""
"Q """"","Q_49f1b459","Hah, that seems to be the truth...","","","","",""
"Q """"","Q_5dcb27fe","But it's better to shut up and cum well while you're allowed.","","","","",""
"Q """"","Q_9d35665d","As long as you, and especially your dick, are wholly mine.","","","","",""
"""""","narrator_029928ed","The tentacles started moving even faster, making Stukov's penis even harder.","","","","",""
"Q """"","Q_b8f9b005","Additional stimulation was a great idea...","","","","",""
"Q """"","Q_fb4d266c","With this little help, your penis is even harder than usual. I'll have to have to take note of this method if you're going to cum as hard as you're reacting now.","","","","",""
"A """"","A_4f8f863e","If you want me to finish harder, then why procrastinate?","","","","",""
"Q """"","Q_9e8e5aaa","You should know yourself that abstinence works wonders, Stukov.","","","","",""
