"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_6d409d59","","","False","","",""
"C """"","C_cb67bfa9","","","False","","",""
"S """"","S_43b0c2c5","","","False","","",""
"C """"","C_06a95de9","","","False","","",""
"S """"","S_6237c055","","","False","","",""
"C """"","C_2d94fd89","","","False","","",""
"S """"","S_b7ea4226","","","False","","",""
"C """"","C_7c658f78","","","False","","",""
"C """"","C_450cde06","","","False","","",""
"S """"","S_65fe8ded","","","False","","",""
"C """"","C_6a4f113a","","","False","","",""
"C """"","C_31e364e5","","","False","","",""
"S """"","S_297dbe80","","","False","","",""
"C """"","C_b1950e5c","","","False","","",""
"S """"","S_842305d7","","","False","","",""
"C """"","C_33ae2e3d","","","False","","",""
"S """"","S_e28e4bb0","","","False","","",""
"C """"","C_2bce80e2","","","False","","",""
"S """"","S_a2d84fda","","","False","","",""
"C """"","C_91032714","","","False","","",""
"S """"","S_e027bab7","","","False","","",""
"C """"","C_631a967d","","","False","","",""
"S """"","S_382188bb","","","False","","",""
"C """"","C_9c217513","","","False","","",""
"C """"","C_2cb51ab2","","","False","","",""
"C """"","C_a7cc3745","","","False","","",""
"S """"","S_f74a49f6","","","False","","",""
"C """"","C_aa32d2ec","","","False","","",""
"C """"","C_47caf2c8","","","False","","",""
"C """"","C_7c04b044","","","False","","",""
"S """"","S_50a27d70","","","False","","",""
"C """"","C_6fb5d51e","","","False","","",""
"C """"","C_5f34e759","","","False","","",""
"S """"","S_1b705a96","","","False","","",""
"S """"","S_0ae904bb","","","False","","",""
"C """"","C_1da454d7","","","False","","",""
"C """"","C_f125d38c","","","False","","",""
"S """"","S_7d9cae1a","","","False","","",""
"C """"","C_0ff8d992","","","False","","",""
"S """"","S_400baa78","","","False","","",""
"C """"","C_9ac40c63","","","False","","",""
"S """"","S_de2d9748","","","False","","",""
"S """"","S_b4ad79e2","","","False","","",""
"C """"","C_ff47be77","","","False","","",""
"S """"","S_34df62c4","","","False","","",""
"C """"","C_981939d2","","","False","","",""
"S """"","S_1b705a96_1","","","False","","",""
"C """"","C_8991b22f","","","False","","",""
"S """"","S_54c9ebfb","","","False","","",""
"C """"","C_57876dbe","","","False","","",""
"S """"","S_63eb67f8","","","False","","",""
"C """"","C_349599a1","","","False","","",""
"S """"","S_f93f4c91","","","False","","",""
"C """"","C_05825921","","","False","","",""
"S """"","S_1b705a96_2","","","False","","",""
"S """"","S_dddd2993","","","False","","",""
"C """"","C_d4527756","","","False","","",""
"S """"","S_37e75eb6","","","False","","",""
"C """"","C_e5001966","","","False","","",""
"""""","narrator_d588c5f2","","","False","","",""
"""""","narrator_7685acd6","","","False","","",""
"""""","narrator_66ec5516","","","False","","",""
"S """"","S_ec2426e2","","","False","","",""
"""""","narrator_4384e867","","","False","","",""
"C """"","C_6273fbe8","","","False","","",""
"S """"","S_18731fc3","","","False","","",""
"C """"","C_61700e23","","","False","","",""
"S """"","S_1b705a96_3","","","False","","",""
"S """"","S_9a21b0ed","","","False","","",""
"C """"","C_b027f044","","","False","","",""
"S """"","S_f4aa07d8","","","False","","",""
"S """"","S_92a31744","","","False","","",""
"C """"","C_4a095cb3","","","False","","",""
"""""","narrator_ddac9f27","","","False","","",""
"S """"","S_1b705a96_4","","","False","","",""
"S """"","S_ec2426e2_1","","","False","","",""
"S """"","S_bf40b4a8","","","False","","",""
"""""","narrator_9eacfd8f","","","False","","",""
"S """"","S_73d814cb","","","False","","",""
"S """"","S_9515d672","","","False","","",""
"C """"","C_690392d1","","","False","","",""
"S """"","S_c0f3d284","","","False","","",""
"C """"","C_1939580b","","","False","","",""
"S """"","S_7a8df9b7","","","False","","",""
"C """"","C_81498996","","","False","","",""
"C """"","C_60cc968e","","","False","","",""
"S """"","S_eddd875f","","","False","","",""
"C """"","C_40c99901","","","False","","",""
"S """"","S_d7c776d1","","","False","","",""
"S """"","S_5a66ba84","","","False","","",""
"S """"","S_f6634bec","","","False","","",""
"C """"","C_44bc593c","","","False","","",""
"S """"","S_1e7d35c2","","","False","","",""
"S """"","S_07a418a6","","","False","","",""
"S """"","S_7f0c5065","","","False","","",""
"S """"","S_dcbf925e","","","False","","",""
"C """"","C_4c820000","","","False","","",""
"S """"","S_7f0f6d35","","","False","","",""
"S """"","S_27632de1","","","False","","",""
"S """"","S_4c5508c5","","","False","","",""
"S """"","S_ec2426e2_2","","","False","","",""
"S """"","S_f727f3b5","","","False","","",""
"S """"","S_69fe779a","","","False","","",""
"""""","narrator_053bc8f9","","","False","","",""
