location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_fd11714a,"The chrysalis began to pulsate more actively, hiding from view what was happening inside. It was no longer possible to look at the naked Sarah, to the disappointment of someone in particular.",,,,,
"""""",narrator_39f8795a,"No one on the whole ship could have imagined what was going on in the tiny chrysalis universe. History was born in a body formerly weak and composed of just flesh and blood, but change, after all, is only a matter of time. Everything led to this, and nothing could prevent it, only delay it.",,,,,
"S """"",S_6a59484f,Mmmh...,,,,,
"""""",narrator_00350cd5,To Sarah it seemed like she was in a thick fog. All her experiences took a back seat - she could not comprehend any of them. Her head was filled only with her own groans or excerpts of training which were especially memorable.,,,,,
"S """"",S_7b1da4f4,Argh... Stop it!,,,,,
"S """"",S_10db85c1,I can't... Endure more...,,,,,
"""""",narrator_41d97678,Millions and millions of pictures. Ungraspable. Where is the reality and where is the illusion? But everything felt so clear.,,,,,
"""""",narrator_7c2771c1,"The desire to touch her own body and stop this torture constantly popped up in her mind, but she could only afford tiny moans.",,,,,
"S """"",S_9348cdf2,Mmm... Please!,,,,,
"""""",narrator_1daf9fd7,"Misty fantasies only inflamed the desire, forcing Kerrigan to blush and shudder with renewed vigor. For her, the concept of time and feelings has disappeared. Only sometimes when the tentacles relented for short periods of time did clearer fantasies visit her head.",,,,,
"S """"",S_8f20c1b4,"Jim! Ah, Jimmy...",,,,,
"""""",narrator_2ed02224,"Sarah lost count of who she's been calling all this time. Even the dreams she always rejected as too wild seemed tame now. Any borders disappeared in her head during the transformation, plunging Kerrigan into eternal pleasure.",,,,,
"""""",narrator_b7b53e2b,"But there were moments of special enlightenment, when Mengsk would appear in Sarah's fantasies.",,,,,
"""""",narrator_9ee67ade,Anyone nearby could now feel the boiling anger that radiated from the chrysalis. At first it was barely perceptible and so distant that Kerrigan herself didn't feel it.,,,,,
"""""",narrator_e2fbde5f,"This anger was like an obsession. Like a little parasite inside that slowly devoured all the good things, but was too imperceptible to see.",,,,,
"""""",narrator_953cfe96,"But it grew, grew together with the Kerrigan's power. It fed on her thirst for vengeance, her pain and fears. It grew so much that anyone would fall on their knees from its pressure.",,,,,
"S """"",S_364ebf1f,Mengsk... Hate!,,,,,
"S """"",S_5a058075,I hate you so much!!!,,,,,
"""""",narrator_5f936344,"A special power woke inside Sarah. She reveled in his pain and suffering, not realizing that it all was just a mirage. In those brief moments, Sarah could feel something a little bit like the pleasure the chrysalis prevented her from feeling.",,,,,
"S """"",S_62773e49,No... You are not worthy of death...,,,,,
"S """"",S_50bda6e5,Eternal hell would be a blessing to you!,,,,,
"S """"",S_05663364,I'm not going to let you exist! I won't!,,,,,
"S """"",S_e0091ea4,Mmmh...,,,,,
"""""",narrator_6a3b2306,"But because of such activity, the tentacles would move more actively, wandering around the naked body, finding new sensitive spots.",,,,,
"S """"",S_ea8f8fc1,AAahh! Mmmm...,,,,,
"S """"",S_f08792c5,Damn!,,,,,
