"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_ZUd7J33Q","","","False","","",""
"S """"","S_8D34RXfk","","","False","","",""
"S """"","S_d8LTX2WU","","","False","","",""
"S """"","S_8v8iqSHM","","","False","","",""
"""""","narrator_YZt4Brr3","","","False","","",""
"Os """"","Os_EkRiDC2i","","","False","","",""
"S """"","S_kmesd8pF","","","False","","",""
"S """"","S_VRp8LWTp","","","False","","",""
"""""","narrator_hFPufhuK","","","False","","",""
"""""","narrator_MhYVrB89","","","False","","",""
"Os """"","Os_oi87jtAi","","","False","","",""
"S """"","S_Pp2jHdbT","","","False","","",""
"Os """"","Os_MRHwebWx","","","False","","",""
"S """"","S_YNddv9Ud","","","False","","",""
"S """"","S_TrGWkGTx","","","False","","",""
"Os """"","Os_odU6LrKi","","","False","","",""
"S """"","S_tSoH5iY3","","","False","","",""
"Os """"","Os_aKhi2ABV","","","False","","",""
"Os """"","Os_sqbhnK2G","","","False","","",""
"S """"","S_KwaWMEth","","","False","","",""
"""""","narrator_gRp54UrZ","","","False","","",""
"Os """"","Os_doi8ueeu","","","False","","",""
"""""","narrator_WrDVUpck","","","False","","",""
"S """"","S_QP3bGnMQ","","","False","","",""
"Os """"","Os_aachwCFB","","","False","","",""
"S """"","S_fXrEBUoA","","","False","","",""
"Os """"","Os_n9whraPR","","","False","","",""
"S """"","S_WGfowPTx","","","False","","",""
"S """"","S_sTSMkzMy","","","False","","",""
"S """"","S_4CvCQ9aK","","","False","","",""
"Os """"","Os_SB5YZL8e","","","False","","",""
"S """"","S_mfjdpxof","","","False","","",""
"""""","narrator_h4G9GxQo","","","False","","",""
"Os """"","Os_dxp3gySb","","","False","","",""
"Os """"","Os_kB4aRdDU","","","False","","",""
"S """"","S_6WbBxEfE","","","False","","",""
"""""","narrator_cscjFUhZ","","","False","","",""
"Os """"","Os_PcjQmyho","","","False","","",""
"S """"","S_dE9xwnoJ","","","False","","",""
"Os """"","Os_CfRbhuRC","","","False","","",""
"S """"","S_UFsDRnwN","","","False","","",""
"S """"","S_3XvCafJp","","","False","","",""
"Os """"","Os_9BFyfdtv","","","False","","",""
"S """"","S_dQSCuTGL","","","False","","",""
"Os """"","Os_T7rNCukS","","","False","","",""
"S """"","S_9PyzmASm","","","False","","",""
"Os """"","Os_4YPoQebH","","","False","","",""
"S """"","S_gWwwBRdb","","","False","","",""
"""""","narrator_HHaE7hNf","","","False","","",""
"S """"","S_hxUbW5cF","","","False","","",""
"S """"","S_3jqm78iH","","","False","","",""
"S """"","S_Q4qytXvo","","","False","","",""
"S """"","S_4ssvss7R","","","False","","",""
"S """"","S_d7ducWzz","","","False","","",""
"Os """"","Os_c4AyBio9","","","False","","",""
"S """"","S_F7xtCKKq","","","False","","",""
"Os """"","Os_p9ffPhLr","","","False","","",""
"S """"","S_9pQKUZ3L","","","False","","",""
"Os """"","Os_HkPR2q4P","","","False","","",""
"S """"","S_V8JFbFXz","","","False","","",""
"Os """"","Os_Mo42khkA","","","False","","",""
"""""","narrator_KvHPEJ9f","","","False","","",""
"Os """"","Os_mfNS498P","","","False","","",""
"""""","narrator_LcyDBhEX","","","False","","",""
"Os """"","Os_YP2MwCFd","","","False","","",""
"Os """"","Os_Wo8Ddsx8","","","False","","",""
"S """"","S_HD3nox8a","","","False","","",""
"Os """"","Os_FuASYfgz","","","False","","",""
"S """"","S_oirgi6GD","","","False","","",""
"S """"","S_V9HNfPat","","","False","","",""
"S """"","S_NGdXjHsE","","","False","","",""
"S """"","S_ErSeoPhh","","","False","","",""
"S """"","S_ES67KUMq","","","False","","",""
"""""","narrator_d7n99j8a","","","False","","",""
"S """"","S_RGrS7jhK","","","False","","",""
"S """"","S_iKhFrXQv","","","False","","",""
"S """"","S_jDxL3ZXv","","","False","","",""
