location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"SO """"",SO_bbc675d7,Everything is ready... Leaders are ready.,,,,,
"S """"",S_300727a2,Great. Go... I'll come a bit later.,,,,,
"""""",narrator_918b9db4,"Sarah was not far from the place where all the leaders were supposed to gather on her order, but strange sounds were coming from there.",,,,,
"U """"",U_c5eab20e,GAAAAAH!,,,,,
"Os """"",Os_7c91d0ed,S-slow!!,,,,,
"S """"",S_e2742005,!!!,,,,,
"S """"",S_d3c4572c,A-an earthquake???,,,,,
"""""",narrator_918b9db4_1,"Sarah was not far from the place where all the leaders were supposed to gather on her order, but strange sounds were coming from there.",,,,,
"S """"",S_3c2a4c6c,"It's definitely coming from there, is it them?",,,,,
"Os """"",Os_232797af,What can you do to me? Will you try to crush me again?!,,,,,
"U """"",U_dbeac97a,That's exactly what I'll do! How dare you even come here?!,,,,,
"U """"",U_12b89cef,How many times have I told you? You don't belong here!,,,,,
"U """"",U_480af677,CRUSH YOU!!!,,,,,
"""""",narrator_5d0d2701,The giant creature tried again to deliver a crushing blow that shook more than just the walls.,,,,,
"S """"",S_b3d72936,(So that's what it was...),,,,,
"S """"",S_1974c06a,(...),,,,,
"""""",narrator_3aef211f,Sarah stared at the mess that was going on. She'd expected anything but this.,,,,,
"Os """"",Os_f109abd5,"Everyone is here. I may not want to be around such a fool myself, but I have to...",,,,,
"U """"",U_9dfcff05,I can help you never see me again... I'll smash you!,,,,,
"""""",narrator_04ab023d,The ultralisk let out a deafening roar as it tried to crush the agile defiler.,,,,,
"Os """"",Os_627e2964,I didn't even expect anything more from you!,,,,,
"U """"",U_2d1e8b9b,I should have crushed such a vile creature as you long ago! I'll kill you!,,,,,
"S """"",S_2d17e463,(What the actual...),,,,,
"S """"",S_717aa0cc,(Could they at least restrain themselves now?),,,,,
"""""",narrator_ce73d6d3,"In addition to the fight, Sarah noticed several other creatures that were slightly away from it, carefully watching what was happening.",,,,,
"""""",narrator_c81c33a6,"One of them was a creature with wings that resembled a mutalisk, the other was more familiar to Sarah. She had encountered hydralisks many times before, but this one was different, with a much more sinister aura.",,,,,
"M """"",M_decb41e8,"Mmhmh... Some things change, but some remain constant. Maybe we shouldn't have come?",,,,,
"H """"",H_9bd0bbfb,"Ha-ha-ha, come on, tell me you're not amused!",,,,,
"M """"",M_23f1b32c,(It used to amuse me... but now it's dreadfuly boring...),,,,,
"""""",narrator_0b11b693,"The mutalisk rolled onto its back and looked up, ignoring what was happening below.",,,,,
