location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_cf360ee2,"Sarah continued to follow Stukov, constantly feeling a gaze on her.",,,,,
"S """"",S_c1926d7c,"Watch the road, or you'll crash into something. Or we'll get lost, which is even worse.",,,,,
"""""",narrator_040dc5c3,"Sarah hoped that Stukov would stop staring at her so frankly, but he destroyed her hopes. The man turned to Sarah, looking straight at her.",,,,,
"S """"",S_20a5ded5,Seriously? Aren't you embarrassed even for a second?,,,,,
"A """"",A_eba8b53d,"Is there a reason? In front of me is a sexy girl, it would be a sin to take my eyes off her. Especially since this girl improved so much lately.",,,,,
"""""",narrator_379ff476,"Stukov whistled, barely restraining his hands anymore. In his fantasies he has already studied all the changes that he really wanted to implement in reality.",,,,,
"A """"",A_34716cee,"Have you seen yourself? It was hard to take eyes off you before, but now...",,,,,
"S """"",S_d7753309,"Not off me, but off my breasts, please note.",,,,,
"A """"",A_76df1d82,Your boobs are still a part of you. Improved and very attractive.,,,,,
"S """"",S_481db0eb,I never thought I'd have to go near you after everything I've been through. And naked.,,,,,
"S """"",S_e88241e5,"Besides, you'd be looking even if my body hadn't changed at all.",,,,,
"A """"",A_273f779c,"Well, this outcome would not be so pleasant, had you remained unchanged. But now...",,,,,
"A """"",A_ef7a5afa,I can look at all your charms and make sure you're still my type.,,,,,
"S """"",S_e3e480f1,Why couldn't I dress there? What is the reason to go all this way without clothes?,,,,,
"A """"",A_f2b03590,"You have no reason to be ashamed of your naked body anymore, we've been through this. And there is only one reason. Mistres didn't want to waste your precious time.",,,,,
"A """"",A_777c4814,"That's why, unfortunately for me, will dress there.",,,,,
"A """"",A_e4577e64,"And since there is almost there, I'm asking you to move forward.",,,,,
"A """"",A_d2d05743,"(I simply must appreciate the behind, hehe.)",,,,,
"""""",narrator_b84fca66,"Sarah carefully walked into the new room, looking around.",,,,,
"S """"",S_7f289aad,Wow... It's like something I can live in. It's a lot more spacious here.,,,,,
"""""",narrator_9d120183,"The girl looked around the environment, where there were no more doors that held her back. She could feel free. The room was spacious, so much so that the boundaries could not even be seen.",,,,,
"S """"",S_4ae0ece6,"It's even nicer to be here. I don't feel like a hostage, you know.",,,,,
"A """"",A_417fa05e,"There are many rooms like this. There's no reason to keep you locked up. You've become a full-fledged part of the Swarm, you're supposed to have a better room than you had before. That's for sure.",,,,,
"A """"",A_d37310a2,"Your strength has increased, as has the area of your new home.",,,,,
"S """"",S_bbc0a8e7,"That's good and all, but there is still something wrong... It's... empty?",,,,,
"A """"",A_9fc47229,"That's temporary. You'll soon forget the crampedness of the last room and appreciate the space this one provides. Although I don't think you're really going to care about your place of residence, hehe.",,,,,
"S """"",S_d7a650ab,We've been getting here for a long time. I don't remember being here before.,,,,,
"A """"",A_7cd14bb7,"Yes, these are new places for you. We were only in some parts of the ship...",,,,,
"A """"",A_47ac7490,The ship we are on is so huge that even I hadn't been to most of its parts.,,,,,
"""""",narrator_8138a6a8,"Sarah felt someone's presence in the room, trying to figure out who had decided to disturb their peace.",,,,,
"S """"",S_4c9b9273,Shh! Can you feel it?,,,,,
"A """"",A_5e7ff309,Feel what?,,,,,
"S """"",S_2bc4a59a,There's definitely someone here...,,,,,
"SO """"",SO_72e93073,Don't worry.,,,,,
"""""",narrator_d2bdf73a,A seemingly threatless creature appeared before Sarah.,,,,,
"S """"",S_7d115af0,Who are you?,,,,,
"SO """"",SO_dfbc580a,"I didn't introduce myself, my mistake. I'm Sochus.",,,,,
"""""",narrator_478fab55,"Sarah slowly began to circle the drone, studying his large body.",,,,,
"SO """"",SO_9e55df97,It's been a long time since I've seen guests here... And no one has been in this room for a long time.,,,,,
"""""",narrator_94851901,"Sochus began to make incomprehensible sounds, reacting sharply to the last word said.",,,,,
"S """"",S_3944edb2,(He has a consciousness that is very different from that of an ordinary animal.),,,,,
"SO """"",SO_1b18294a,"I wasn't prepared for anyone to visit me, but I'm ready to accept someone with such strength and sexuality at any time, hehe-he. Especially if the guest has more debauchery than Mistress herself, and can match her in beauty too.",,,,,
"SO """"",SO_2a1b7f91,"I'd love to serve you if you need my help. Any help, if you know what I mean.",,,,,
"S """"",S_85c19697,"(It's strange that a drone has any individuality, but if I can really count on his help, it's even better.)",,,,,
"S """"",S_c333a7e3,Do you know this place well?,,,,,
"SO """"",SO_2da6d2f2,Of course. What exactly are you interested in?,,,,,
"S """"",S_a8ac48ed,What's going on here?,,,,,
"SO """"",SO_334efccf,Disorder. There is no one who would put the whole pack together and lead. Everyone considers themselves too strong to obey.,,,,,
"S """"",S_1b92b66d,Put the pack together? We only discussed the essence with Mistress. She didn't say a word about what was going on here.,,,,,
"SO """"",SO_385e2a20,"Of course, Mistress decided not to tell you that. Maybe she thinks someone as strong as you is just going to take what she needs.",,,,,
"SO """"",SO_f760445d,"But these missions cannot be accomplished separately from each other. Until you subjugate the leaders, you can't get their essence.",,,,,
"""""",narrator_d8d35ccf,Sarah felt the presence of someone else in the room. This time it was a creature that Sarah knew.,,,,,
"S """"",S_8949a8f0,Overseers... And here's our next meeting?,,,,,
"Ov """"",Ov_989bd4c1,(You need help of ours again.),,,,,
"S """"",S_debc74e4,Can you offer it?,,,,,
"Ov """"",Ov_650ddd4c,(That's why we're here. Still wish to help you.),,,,,
"S """"",S_dc9aa615,I didn't regret the first time you offered to help. I won't say no now.,,,,,
"Ov """"",Ov_406351da,(Wisdom has not left you.),,,,,
"S """"",S_71aee3f4,(But I still don't understand what I'm going to have to deal with...),,,,,
"S """"",S_42252abe,Can someone tell me what I'm going to do here???,,,,,
"""""",narrator_2e47fadc,"Sochus appeared before Sarah again, attracting her attention.",,,,,
