"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S1 """"","S1_a7029631","Ah... What a wonderful feeling of satiety!","","","","",""
"S1 """"","S1_cae73ecc","Now there's a little time to fool around, hee-hee-hee. My favorite part!","","","","",""
"""""","narrator_5134c52c","Sitting impressively on the throne, the Queen of Blades was excitedly rubbing her hands, choosing her new victim.","","","","",""
"S1 """"","S1_cc342ebc","What do I want to do today? Poach someone again? Noooo... It's fun, but it gets boring quickly.","","","","",""
"S1 """"","S1_e751d712","Lizzara...","","","","",""
"S1 """"","S1_09c68c91","How could I forget about my beloved baby, hee-hee.","","","","",""
"S1 """"","S1_41b8a964","How mean of me to leave her alone for so long. I need to fix it!","","","","",""
"S1 """"","S1_fed2e387","Ah, what a surprise! I was just looking for you...","","","","",""
"""""","narrator_50496baf","Lizzara froze when she heard the hated voice.","","","","",""
"L """"","L_23001024","I thought you weren't coming anymore...","","","","",""
"S1 """"","S1_fc179685","Did you miss me?","","","","",""
"L """"","L_6ddbb60b","(Not a drop...)","","","","",""
"L """"","L_3b388732","(I hoped I'd never go back to that! Are there few creatures here? I'm not ready for this torture again!)","","","","",""
"L """"","L_ae7e4793","(But she won't be here forever... If she has satisfied her hunger already, she doesn't have much time left...)","","","","",""
"L """"","L_1de5bcde","(Which means that Sarah will be out soon! I'm saved! I just need to stall for time...)","","","","",""
"L """"","L_362b1401","(!!!)","","","","",""
"L """"","L_e60f9953","(Damn it, does she really hear all this, how could I forget...!)","","","","",""
"S1 """"","S1_95148b67","Ha ha ha, not a bad plan. I didn't make a mistake choosing you.","","","","",""
"S1 """"","S1_712ca2bd","Something about you is incorrigible. But we'll try anyway.","","","","",""
"L """"","L_d26264f1","(No!)","","","","",""
"S1 """"","S1_89db6a74","Yep!!","","","","",""
"S1 """"","S1_63260932","Today is the continuation of our training! I know how glad you are. Today will be especially unforgettable.!","","","","",""
"L """"","L_a3cbfd35","(What now...)","","","","",""
"S1 """"","S1_989a7865","Sure, tell you everything and show it to you in advance... Intrique makes life interesting, Lizzara.","","","","",""
"S1 """"","S1_d3bfe8e4","The fact that I left you for so long does not mean that I need to reveal all the cards.","","","","",""
"L """"","L_712b6453","(What a horror... I have to face this test of fate again.)","","","","",""
"S1 """"","S1_01d9534e","Don't be upset. If you behave well – you'll find out everything pretty quickly, hee-hee-hee.","","","","",""
"S1 """"","S1_41e77f4b","You're going to be good, aren't you?","","","","",""
"""""","narrator_5ffb317d","The playful tone of the Queen of Blades quickly changed to oppressive.","","","","",""
"S1 """"","S1_4ec45e92","I won't have to use force again, will I?","","","","",""
"L """"","L_67723834","I... I did as you want. But this pose... Are you really...?","","","","",""
"S1 """"","S1_41436179","Oh-oh-oh... You have no idea what awaits you.","","","","",""
"""""","narrator_2ad19dd6","The Queen of Blades did not let Lizzara come to her senses, shifting all the focus of attention to herself. The girl made herself look theatrically majestic in order to finally involve the protoss in her pranks.","","","","",""
"S1 """"","S1_2f2b7488","It will be something new... Hmm, well, how 'new’. It's probably not that new to me... But it will be for you!","","","","",""
"S1 """"","S1_df89656e","I bet you've never experienced anything like this!","","","","",""
"L """"","L_4fd69542","(N-new? I don't like anything new... Especially from you!)","","","","",""
"""""","narrator_c8d9bc1a","Lizzara's body trembled a little from the overflowing anxiety. The Protoss already knew what the Queen of Blades could give her, and treated her every word with special caution.","","","","",""
"S1 """"","S1_c3ef44af","Let's play a quiz?","","","","",""
"L """"","L_9ce9b9ff","Not the best time for...","","","","",""
"S1 """"","S1_b4ed82d5","Shhh, don't think, but guess!","","","","",""
