location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_a5b20d19,My hunger... It's getting stronger. We can't delay any longer.,,,,,
"S """"",S_577c3240,"Sochus, you must help your mistress with this little problem. It's urgent!",,,,,
"""""",narrator_a8104300,The drone jumped up joyfully when it heard Sarah calling out to him.,,,,,
"S """"",S_1a570732,It is your time to do me a useful service...,,,,,
"SO """"",SO_b1c57a77,"Does mistress need my help? Hee-heh-ha, I can help mistress. We need to get started immediately! I have to give it my all!!!",,,,,
"S """"",S_107c850e,"(So much enthusiasm... It's like his life is at stake, and I'm his only salvation.. Although in this case, the opposite is true. So funny, hee-hee.)",,,,,
"SO """"",SO_98068b0e,"Mistress jumps on me *unintelligible sounds*. HOORAY, I WAITED! It was worth living for!",,,,,
"SO """"",SO_c7bc6e2e,"Let's get started quickly mistress, I'll serve you properly!",,,,,
"""""",narrator_6ee0922c,"The smile quickly faded from Sarah's face. She didn't look so pleased anymore, giving off an intimidating aura.",,,,,
"S """"",S_77be4da4,Watch what you say!,,,,,
"SO """"",SO_46cf909a,I... I didn't mean anything bad!,,,,,
"SO """"",SO_72525ca3,I didn't mean to offend mistress or do anything wrong! Forgive me...,,,,,
"""""",narrator_288c51fc,"Sochus retreated a little, shrinking considerably under the girl's gaze.",,,,,
"SO """"",SO_b3cb8f56,"Can mistress already jump on my... *ahem* He-heh-hah, get her assistance! This is very important and urgent! Mistress said so herself.",,,,,
"S """"",S_c4309808,"Yes, you're right... We're getting a bit distracted. It's time to start!",,,,,
"""""",narrator_07f84538,Sarah leaped up onto Sochus as if she'd done it before.,,,,,
"S """"",S_9d8780b0,"(Ha-ha, it's surprisingly comfortable... Maybe it was worth getting the essence in another way?)",,,,,
"S """"",S_0c1937e3,(...),,,,,
"S """"",S_1ed5d83b,"(No! That would be way too much for him. Let him be glad that he's getting anything now, or else he'll get used to it.)",,,,,
"S """"",S_aaef1d71,"(I'm acquainted with its cocks, but this is going to be very different...)",,,,,
"S """"",S_44f38e3b,(I wonder if this will be like what I fantasized about?),,,,,
"S """"",S_7d340f1e,"(Oh my... I was thinking about his penises. He can't find out about it, or he will definitely keel over from overexcitement.)",,,,,
"S """"",S_5d045a01,"(Okay, this isn't the best time to think about it... I'm too distracted from the main problem!)",,,,,
"""""",narrator_c40c833f,"Sarah snapped back to reality, only now noticing that the drone was making strange noises of impatience again.",,,,,
"S """"",S_c9c21439,"It's your time, Sochus. Use it before I change my mind, hee-hee.",,,,,
"SO """"",SO_96e00cf6,"If the hostess wants it so much, then of course I will do everything that is required.",,,,,
"S """"",S_17da383c,"I don't want to, but I need to do it, it's different things! It's not my whim...",,,,,
