"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S1 """"","S1_809adfca","Who should I have fun with this time... So many choices, hee-hee. But I need to find someone worthy to quench my thirst.","","","","",""
"S1 """"","S1_ce97b969","Precisely! I know one candidate who can amuse me with dignity!","","","","",""
"""""","narrator_02fbe18d","The Queen of Blades' eyes burned with a wild flame as she looked at the hydralisk.","","","","",""
"S1 """"","S1_1cca68a2","It couldn't be better... Hey, do you want to have some fun in the company of such an enviable woman, hee-hee?","","","","",""
"""""","narrator_b054e07c","The girl was getting closer to the Zerg at a leisurely gait. For his part, he continued to openly stare at her boobs.","","","","",""
"H """"","H_fa944330","Depends on the female's tastes. I have... rather perverted ones. Will you be able to keep up?","","","","",""
"S1 """"","S1_0a545336","Match? Heh...","","","","",""
"S1 """"","S1_ff7ce4b9","Believe me, I could gift you things you've never even dreamed of. I know your preferences well. Mammaries... are nice. But let me reveal true bliss to you.","","","","",""
"H """"","H_62a4710c","It's a sin to refuse such a thing... but...","","","","",""
"S1 """"","S1_997223bf","Tsk, you don't know who you're talking to yet. No one is left unsatisfied after an encounter with me.","","","","",""
"S1 """"","S1_bafae301","Let's just say I am very convincing...","","","","",""
"H """"","H_f99dcffc","Maybe because you kill them? I can hear your thirst from afar.","","","","",""
"S1 """"","S1_6206a5e7","Ha-ha-ha, how suspicious! Don't worry, I'm interested in something else right now... hunger. Even so, this is only an additional incentive for you to get the most out of our 'talk'.","","","","",""
"""""","narrator_b578eb4c","The Queen of Blades was as pleased with her choice as possible. The hydralisk only added more fuel to the fire, increasing the degree of tension in the girl's body.","","","","",""
"S1 """"","S1_0d59f5b4","I don't have much time to persuade you.","","","","",""
"H """"","H_c8369225","Then don't waste it, but go find someone else. Just leave your tits here...","","","","",""
"""""","narrator_1f190cb3","The Queen of Blades only smiled wider, amused by such cheeky words aimed at her.","","","","",""
"S1 """"","S1_f0dbde56","Ha ha ha, it's not like I don't have a choice... You're the one in a desperate situation.","","","","",""
"""""","narrator_fbba3ba6","The Queen of Blades leaped as close as possible to the hydralisk.","","","","",""
"S1 """"","S1_ba3f5788","It's time to show you all the charms of the female body, dear.","","","","",""
