"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S1 """"","S1_e4f6cbba","","","False","","",""
"S1 """"","S1_ed5aa8db","","","False","","",""
"""""","narrator_df3323ee","","","False","","",""
"S1 """"","S1_40fa9600","","","False","","",""
"""""","narrator_0c10d136","","","False","","",""
"L """"","L_4a6114e4","","","False","","",""
"S1 """"","S1_61640008","","","False","","",""
"L """"","L_8be86742","","","False","","",""
"S1 """"","S1_1adf74bd","","","False","","",""
"""""","narrator_e3dcea52","","","False","","",""
"L """"","L_840bf463","","","False","","",""
"""""","narrator_ce276408","","","False","","",""
"L """"","L_10fddea0","","","False","","",""
"S1 """"","S1_68995785","","","False","","",""
"""""","narrator_6a557b14","","","False","","",""
"S1 """"","S1_9f022806","","","False","","",""
"""""","narrator_e86956e0","","","False","","",""
"L """"","L_1b42688c","","","False","","",""
"S1 """"","S1_21e5f493","","","False","","",""
"S1 """"","S1_a140901f","","","False","","",""
"S1 """"","S1_8e06744e","","","False","","",""
"""""","narrator_08e07302","","","False","","",""
"L """"","L_6430af2f","","","False","","",""
"S1 """"","S1_cba3fe57","","","False","","",""
"L """"","L_64e39456","","","False","","",""
"""""","narrator_eb54aec9","","","False","","",""
"L """"","L_53901af6","","","False","","",""
"S1 """"","S1_a10e40bf","","","False","","",""
"S1 """"","S1_2dc6d865","","","False","","",""
"L """"","L_0baea2aa","","","False","","",""
"""""","narrator_40b3a434","","","False","","",""
"S1 """"","S1_e20a6f5d","","","False","","",""
"L """"","L_0808eb7d","","","False","","",""
"S1 """"","S1_bf146045","","","False","","",""
"""""","narrator_13a8e708","","","False","","",""
"S1 """"","S1_8440cabc","","","False","","",""
"L """"","L_00d03166","","","False","","",""
"S1 """"","S1_98eb1093","","","False","","",""
"""""","narrator_15110605","","","False","","",""
"S1 """"","S1_d537b320","","","False","","",""
"L """"","L_bc71251d","","","False","","",""
"S1 """"","S1_9a2067f2","","","False","","",""
"L """"","L_2fe712ff","","","False","","",""
"S1 """"","S1_1504f444","","","False","","",""
"S1 """"","S1_19637ab1","","","False","","",""
"L """"","L_e5ad383c","","","False","","",""
"S1 """"","S1_06f080d2","","","False","","",""
"L """"","L_aec54c4e","","","False","","",""
"S1 """"","S1_508b56d9","","","False","","",""
"S1 """"","S1_e69a2337","","","False","","",""
"S1 """"","S1_053a2c86","","","False","","",""
"L """"","L_2b4f1199","","","False","","",""
"L """"","L_ca95bddc","","","False","","",""
"S1 """"","S1_61a57945","","","False","","",""
"extend """"","extend_d33d55e1","","","False","","",""
"L """"","L_1b1b7ce4","","","False","","",""
"L """"","L_235321d3","","","False","","",""
"S1 """"","S1_32239d78","","","False","","",""
"""""","narrator_be6b553c","","","False","","",""
"L """"","L_fad5da56","","","False","","",""
"S1 """"","S1_b084ad64","","","False","","",""
"S1 """"","S1_236afe18","","","False","","",""
"L """"","L_713006ef","","","False","","",""
"""""","narrator_8fde1a80","","","False","","",""
"S1 """"","S1_09cacfbe","","","False","","",""
"L """"","L_ef30efed","","","False","","",""
"L """"","L_8477d63a","","","False","","",""
