location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_eadc5d8a,"Sarah returned to the bridge, heading straight for her throne, allowing herself to finally relax. Her head was aching from constant thoughts about the future and ways to solve the new problems.",,,,,
"S """"",S_2545a3a9,(I hope that all the effort spent will be worth it... * Sigh* So grumpy they are. I didn't think the Zerg could be such a pain in the ass as well as ruthless killers. My head is spinning from all this!),,,,,
"S """"",S_bd2ce85b,"Ahhh!!! I just want to rest, but this damn asshole... I need a vacation right away...",,,,,
"""""",narrator_527fa43a,"Sarah continued to toss and turn on the throne, trying to find a comfortable position.",,,,,
"L """"",L_dc0a7b98,(Mmmh...),,,,,
"S """"",S_8a6e57d7,Huh?,,,,,
"""""",narrator_aaa99aff,"Sarah turned warily at the strange sound, bracing herself for the worst. But in the end, she saw only Lizzara, who was lying exhausted on the ground.",,,,,
"S """"",S_6ef623f0,Lizzara? You look pale as a ghost!,,,,,
"S """"",S_0cc322c9,"(Well, if ghosts were blue... Though who says they aren't?)",,,,,
"S """"",S_da1a64d5,*Ahem* Nevertheless... What happened?,,,,,
"""""",narrator_4d84623b,"The protoss tried to say something, looking around feebly, but she could only make unintelligible sounds.",,,,,
"S """"",S_c92f26bf,"You look positively awful! How are you even still conscious? Come on, you need to get up a little bit.",,,,,
"""""",narrator_ce1efeb2,"The girl rushed to help, but the latter tried with the last of her strength to stand up by herself, pretending that she was all right.",,,,,
"L """"",L_75dd2a83,(N-not necessary...{w} I can...),,,,,
"""""",narrator_889b2ccc,"Lizzara went limp in the girl's arms, sometimes coming to her senses for short periods of time.",,,,,
"S """"",S_06b42b4c,"Lizzara, wake up!",,,,,
"L """"",L_500f9cae,(I...{w} I just rested my eyes. You have nothing to worry about...),,,,,
"S """"",S_886e5748,"You can't even keep it together in my hands! Do you really think I have nothing to worry about? If you manage to find the strength to stand up now, I'm sure you'll collapse right away.",,,,,
"L """"",L_7430c3ae,"(I'm a little tired...{w} Yeah, I'm just tired. I will lie down and everything will pass, I will immediately feel better...)",,,,,
"S """"",S_e164d572,"If you lie down now, you will definitely leave this world, Lizzara. I'm no expert in xeno-medicine, but you look like you're dying, and that's definitely not normal.",,,,,
"S """"",S_0f2ae60f,You'll become just like Kasper the ghost...,,,,,
"S """"",S_32e13565,"(Damn it, Sarah, stop it! What the hell? We've got an emergency here! Hell, it's all these Zerg with their 'serious' conversations... PULL YOURSELF TOGETHER!)",,,,,
"""""",narrator_41ebe39c,"Sarah was aware of the gravity of the situation, but at times strange thoughts visited her head, which she actively tried to filter out.",,,,,
"S """"",S_afb53002,Tell me what happened!,,,,,
"L """"",L_c1cbff52,"(You're exaggerating... Nothing will happen to me, I promise. You have your own things business to attend to, you don't need to pay attention to me.)",,,,,
"L """"",L_9f25740f,(I still haven't left this world...{w} Why would I do that now?),,,,,
"S """"",S_6453fa8e,Until now? How long have you been trying to hide your condition from me? Is this a joke to you?,,,,,
"L """"",L_9996edf1,(I can handle it... You don't need any more trouble...),,,,,
"S """"",S_60318e3d,You won't cause trouble if you don't try to trick me! Who did this to you?,,,,,
"L """"",L_608af90c,(...),,,,,
"S """"",S_cbde6e88,...,,,,,
"S """"",S_5e3ed276,"Fine... Lights out, as Terrans would say...",,,,,
"S """"",S_5e95b7a7,"All right, all right, jokes aside!",,,,,
"""""",narrator_f9ead693,"Sarah examined the protoss carefully, checking for damage or signs of disease.",,,,,
"S """"",S_572f2c61,I definitely don't know anything about Protoss...,,,,,
"S """"",S_1b63ece5,{size=-6}But that doesn't matter!{w=1.} What am I going to do with you now?..{w=1.} Until now. Until now...{/size},,,,,
"S """"",S_d99071d4,"Wait, how long has she been here? And until now, I haven't seen her take anything in her mouth.",,,,,
"S """"",S_71918a09,"Hee-hee-hee, right! Wait, wait a minute!!!",,,,,
"S """"",S_44dd1e08,"Food-food-food, what do Protoss eat... did she eat anything here? Couldn't it be... Precisely! She must've fainted from hunger.",,,,,
"S """"",S_4cc1004e,"There isn't a single place on the ship where sunlight can seep in... Ugh, I should have thought of that earlier!",,,,,
