"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_e5a6582f","","","False","","",""
"S """"","S_2d67b77e","","","False","","",""
"L """"","L_4d7cacdf","","","False","","",""
"S """"","S_6a0ab5eb","","","False","","",""
"L """"","L_03b143e8","","","False","","",""
"""""","narrator_b526fa69","","","False","","",""
"S """"","S_40c08ae2","","","False","","",""
"""""","narrator_20a27709","","","False","","",""
"L """"","L_80d33639","","","False","","",""
"""""","narrator_0a0ce7e8","","","False","","",""
"S """"","S_9bf9cf90","","","False","","",""
"L """"","L_4d7cacdf_1","","","False","","",""
"L """"","L_de99b08e","","","False","","",""
"S """"","S_2a669297","","","False","","",""
"S """"","S_a0ddd76f","","","False","","",""
"S """"","S_f47a7761","","","False","","",""
"S """"","S_882f9c6a","","","False","","",""
"""""","narrator_3583502c","","","False","","",""
"L """"","L_688a97c4","","","False","","",""
"""""","narrator_f5b33873","","","False","","",""
"L """"","L_55b94eb2","","","False","","",""
"S """"","S_e23c4bc5","","","False","","",""
"L """"","L_bcfd51e7","","","False","","",""
"L """"","L_22a1c30d","","","False","","",""
"S """"","S_78903bbe","","","False","","",""
"L """"","L_4d7cacdf_2","","","False","","",""
"S """"","S_aea77f5a","","","False","","",""
"L """"","L_621aaff9","","","False","","",""
"S """"","S_3bc9f208","","","False","","",""
"S """"","S_b9f18276","","","False","","",""
"L """"","L_0a896bfd","","","False","","",""
"""""","narrator_a82acc6a","","","False","","",""
"""""","narrator_ee602162","","","False","","",""
"L """"","L_2d742396","","","False","","",""
"S """"","S_df86f58d","","","False","","",""
"L """"","L_62982534","","","False","","",""
"S """"","S_26b95218","","","False","","",""
"S """"","S_072f309d","","","False","","",""
"S """"","S_7c687312","","","False","","",""
"S """"","S_34782cdc","","","False","","",""
"L """"","L_0fe3f4b3","","","False","","",""
"S """"","S_3dd7b8fc","","","False","","",""
"""""","narrator_55abbfbd","","","False","","",""
"L """"","L_85baae65","","","False","","",""
"""""","narrator_590e3b65","","","False","","",""
"S """"","S_05fa7aa9","","","False","","",""
"S """"","S_dbd17a67","","","False","","",""
"L """"","L_ae189baa","","","False","","",""
"S """"","S_917cd28e","","","False","","",""
"L """"","L_ca6b0962","","","False","","",""
"S """"","S_f16aabab","","","False","","",""
"S """"","S_e70f7bc2","","","False","","",""
"""""","narrator_8c87aae5","","","False","","",""
"S """"","S_2b305723","","","False","","",""
"""""","narrator_464fb246","","","False","","",""
"""""","narrator_449aaa8f","","","False","","",""
"S """"","S_46f5fabb","","","False","","",""
