"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_b232f796","The Queen of Blades threw Lizzara to the floor with a precise and measured movement, fixing her pliant body with her limbs.","","","","",""
"L """"","L_3c430fcd","EEEEEE!","","","","",""
"L """"","L_d8427cdc","(Y-you... What are you doing?)","","","","",""
"L """"","L_af422b08","(It was so fast... her reaction, and before I could blink, she grabbed me... Did you plan this from the beginning?!)","","","","",""
"S1 """"","S1_2063f4de","I'm always one step ahead, Lizzara.","","","","",""
"L """"","L_7d4df61f","(Why are you holding me?)","","","","",""
"S1 """"","S1_c9d31ddf","Honey, haven't you noticed yet? Where are we?","","","","",""
"""""","narrator_d5a82785","The Queen of Blades squeezed the Protoss's buttocks, forcing Lizzara to understand her predicament.","","","","",""
"L """"","L_b285a6fb","!!!","","","","",""
"S1 """"","S1_248a8cb4","It's just a little inspection, nothing more, so you don't have to worry.","","","","",""
"""""","narrator_b1a20967","Lizzara felt her face flush with embarrassment. The Queen of Blades looked at her vagina with a huge appetite.","","","","",""
"S1 """"","S1_c70c6ef5","Mmm, let's get started...","","","","",""
"S1 """"","S1_8c0fdac5","Well, well, well, what do we have here?","","","","",""
"S1 """"","S1_30bd8cf5","What's that? Oh wow! What a pussy... Very impressive, hee-hee. You were hiding such a beauty from me?","","","","",""
"""""","narrator_9ba4bbc5","The girl slightly parted her prisoner's buttocks to get a better look at Lizzara's vagina.","","","","",""
"S1 """"","S1_9b8392e5","So tight and untouched... Perfect! There are so many things to try with you!","","","","",""
"L """"","L_891b8b19","(Hey... W-what are you doing, no, let go!)","","","","",""
"L """"","L_255c8c6a","(Don't look at it!)","","","","",""
"""""","narrator_1d899329","The Protoss tried to pull away and hide her private parts from the Queen of Blades, but the girl held her too tightly.","","","","",""
"L """"","L_1757cce2","(Let go! No! I don't want you to see my... Crotch.)","","","","",""
"S1 """"","S1_0e7a1229","Shhhhhhh!!!","","","","",""
"""""","narrator_0664942a","The girl put her other foot on Lizzara, stopping her attempts to get out completely.","","","","",""
"S1 """"","S1_da2911c3","Hush, hush. Be a good girl and don't kick.","","","","",""
"S1 """"","S1_16691aff","Call things by their names, sweetheart. Your pussy smells stronger... Do you have a kink on immobilization? How lovely.","","","","",""
"L """"","L_4c8ba2fb","(Ah... Me... I can't move!)","","","","",""
"S1 """"","S1_01777292","That's right, that'd only be in the way. And I want to do the best I can, honey.","","","","",""
"S1 """"","S1_bf3625ea","You're in the best hands on this ship... In mine, hee-hee.","","","","",""
"L """"","L_d85e3e7c","(How strong is she? I can't control her grip at all... It's like my body is stuck in a rock! I've never experienced anything like this! Especially from a terran!)","","","","",""
"""""","narrator_72f16301","The Protoss continued to struggle, feeling the hopelessness of the situation inside.","","","","",""
"""""","narrator_383c759c","Lizzara was only partly right. This wasn't just a terran, this was something more, this was a new creation, a fusion of Zerg and humanity.","","","","",""
"L """"","L_7e27a0b3","(No, her body is no longer human. I can't get out this way.)","","","","",""
"""""","narrator_a797f5f0","The Queen of Blades felt the resistance begin to fade, allowing her to return to her task.","","","","",""
"S1 """"","S1_be86c17b","Good girl, let's continue... Have you ever wondered what your vagina looks like? You looked at it anyway, we all do. But now let me take a good look at it, hee-hee.","","","","",""
"L """"","L_46051973","(W-what? No, I don't want you to look at it so closely!)","","","","",""
"S1 """"","S1_57b3c9c8","You have such a neat pussy that would definitely be envied. Very curious... It is almost identical to that of the terrans... But your vagina is such a bright color. Is it the same inside?","","","","",""
"S1 """"","S1_93f61e36","In the wild, a bright color is necessary to attract attention...","","","","",""
"S1 """"","S1_4c4de2b4","You see, Lizzara, nature itself is pushing you to do this!","","","","",""
"S1 """"","S1_4597c4d3","And that smell... I can feel it even more clearly now. It's so sweet that I don't have enough space in my mouth for saliva.","","","","",""
"L """"","L_0565786d","(E-enough! I don't want to hear this! Don't talk about my crotch like that!)","","","","",""
"S1 """"","S1_55d626d7","I haven't said enough about it yet, honey. How do you even live without using such a pussy for good purposes?","","","","",""
"S1 """"","S1_266db1e9","You're so greedy! Live with a pussy like that and not share it? That's the real sin.","","","","",""
"""""","narrator_7e20db87","The Queen of Blades moved closer to Lizzara's vagina, inhaling her scent more deeply.","","","","",""
"L """"","L_a6fab628","(A-a-ah! W-we agreed on an inspection! You're overstepping your bounds! S-stop smelling it, m-m-m-m...)","","","","",""
"S1 """"","S1_1106b981","Nah, there was no agreement.","","","","",""
"S1 """"","S1_dac7fa5d","You were made for this, Lizzara. This smell... I'm barely holding myself back from taking you right here.","","","","",""
"S1 """"","S1_b6158e95","We just don't have the right to stop for at this. We need to study you in more detail!","","","","",""
"S1 """"","S1_dd98b014","Your pussy wants us to know everything about it. Especially if it's as good inside as it is outside.","","","","",""
"""""","narrator_c9b182ee","The Queen of Blades reluctantly pulled away from Lizzara's crotch, swallowing the accumulated saliva, then licked her lips sweetly.","","","","",""
"L """"","L_24847058","(This is beyond reasonable. What's the safe word?)","","","","",""
"S1 """"","S1_6530ee2c","Haha, there's no stopping me. I got to such a delicious pussy... How can I back down? We need to finish what we started.","","","","",""
"L """"","L_c09b3d37","(You're up to something... What are you going to do with me?)","","","","",""
"S1 """"","S1_b97c37ae","I think you know all about it...","","","","",""
"L """"","L_2f1d77a0","(No, I don't know, it makes the situation even worse!)","","","","",""
"""""","narrator_9c5bb83a","At this point, Lizzara knew something was going to happen, but not what exactly. The whole mess was turning her on like hell, and the fact that she was shackled only amplified it. The Queen of Blades sensed this and used it perfectly.","","","","",""
"S1 """"","S1_392ea53a","So, are you ready? You'll definitely like it, believe me, I know what I'm talking about!","","","","",""
"L """"","L_57add02d","(What's wrong with me? I shouldn't react like this... I am in a dangerous situation, there is no place for lust. Oh, what am I turning into?)","","","","",""
"S1 """"","S1_2a0eeced","Hahaha, you're so funny. You react so sharply... You're shaking with excitement!","","","","",""
"L """"","L_71a2cc65","(I... I'm just uncomfortable and scared!)","","","","",""
"S1 """"","S1_920e740e","Really?","","","","",""
"L """"","L_31892db3","(Yes, stop! I was never a lustful Protoss... You're trying to make me like this! Or are you trying to do something mean to Sarah?)","","","","",""
"L """"","L_81f85fe8","(She would never do that to me!!)","","","","",""
"S1 """"","S1_26bdf469","Ha, ha, ha! Are you sure about that? How well do you know Sarah?","","","","",""
"L """"","L_6e768231","(I... W-what??? O-of course I'm sure! I'm sure of it!)","","","","",""
"S1 """"","S1_02848b2a","Ha-ha-ha, you're just lovely!","","","","",""
"L """"","L_1665b459","(Ah-Ah-Ah... D-don't...)","","","","",""
"S1 """"","S1_11a2f6d2","Oh, honey, I haven't started anything yet, and you're already moaning so beautifully. Are the rumors about the sensitivity of the Protoss more than simple hearsay?","","","","",""
"S1 """"","S1_8c62881b","Mmm, just thinking about what a beautiful specimen I got my hands on makes me want to break it...","","","","",""
"""""","narrator_b4e4a19a","Lizzara swallowed nervously, feeling the Queen of Blades ' fingers tighten on her soft skin.","","","","",""
"S1 """"","S1_a80ef16b","Let's see what you've been hiding from me for so long.","","","","",""
"""""","narrator_4ff50928","The girl leaned closer, taking a closer look. Lizzara shivered at the feel of warm breath on her crotch.","","","","",""
"L """"","L_cb644b5b","(T-too close... Mmmm, no one has ever come this close to me, no...)","","","","",""
"S1 """"","S1_cf1b1f6c","Almost nothing to see... You're so narrow. Don't you even play with your fingers?","","","","",""
"L """"","L_b4ea86ca","(D-don't ask me that!)","","","","",""
"S1 """"","S1_b184cb52","This will make our job a little more difficult...","","","","",""
"S1 """"","S1_e228b047","And it smells like, mmm, just divine!","","","","",""
"""""","narrator_0e5846d0","The Queen of Blades couldn't resist being near Lizzara's vagina. Her tongue couldn't stay in her mouth so close to such a pussy for a long time, so after a second, the Protoss could feel the long tongue of the Queen of blades on her crotch.","","","","",""
"L """"","L_c00dab5b","Ahhhh!!! Not there! NO!","","","","",""
"S1 """"","S1_37385c82","Mmm, heavens, what a taste!!!","","","","",""
"""""","narrator_c94e1f4d","The girl ignored her requests, licking her labia and leaving behind an abundance of accumulated saliva.","","","","",""
"L """"","L_9497faa3","E-enough!","","","","",""
"L """"","L_f226f2e8","(M-m-m! S-so wet! The saliva's absorbed... Even there!)","","","","",""
"S1 """"","S1_4418495b","*Lick* *Squish* *Smack*","","","","",""
"""""","narrator_ba1c288f","Lizzara felt the tongue run all over her pussy, sliding easily due to the abundance of lube on it.","","","","",""
