location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_42225baf,"The Queen of Blades was slowly approaching Lizzara, burning with anticipation.",,,,,
"S1 """"",S1_6479db8c,How nice to see you again!,,,,,
"L """"",L_47611823,(It's not mutual...),,,,,
"S1 """"",S1_4a226aa8,"I might be very angry with you for saying that, but there's something so exciting ahead of us that I'm going to let it pass.",,,,,
"L """"",L_9fe859f4,(Exciting? What can a perverted mind take for exciting?),,,,,
"S1 """"",S1_1dbff532,"Don't worry, you'll find out sooner or later. But it won't be so much fun if I reveal all the cards from the beginning.",,,,,
"S1 """"",S1_f56cf277,"I can't wait to get started! Damn, such anticipation can drive you crazy, hee-hee.",,,,,
"L """"",L_53930c75,(I don't like this...),,,,,
"""""",narrator_546beabe,Lizzara felt even more uncomfortable than when they first met. The girl's wild and lustful gaze frightened her. But she was even more afraid of the unknown.,,,,,
"L """"",L_7309a9ff,(Are you... going to hurt me?),,,,,
"S1 """"",S1_824e030a,What?,,,,,
"S1 """"",S1_9b7bfa1c,"No, silly. It's in my best interest not to spoil you.",,,,,
"L """"",L_de8d34a5,(Then what's waiting for me?),,,,,
"S1 """"",S1_8b34530d,"It won't be long now... You'll find out soon enough, hee-hee.",,,,,
"S1 """"",S1_bb3a6679,Well done...,,,,,
"""""",narrator_34459861,"Without thinking, lizzara tried to move, but her body wouldn't listen.",,,,,
"L """"",L_2306fd44,(W-what's going on? Why can't I move?!),,,,,
"""""",narrator_24a26d60,"The Protoss tried her best to wiggle, but her attempts were doomed to failure.",,,,,
"S1 """"",S1_2310f20f,"Stop wasting your energy, it's useless.",,,,,
"L """"",L_e4205be7,"(Stop?! Then tell me, what are you going to do with me?)",,,,,
"S1 """"",S1_2fd84186,Why all these worries? Just a small procedure. It's time to improve your beautiful body a little again.,,,,,
"L """"",L_fb1d0380,(What are you even talking about? Procedures?),,,,,
"S1 """"",S1_41d551c9,"Not procedures, but a procedure. Just one harmless treatment.",,,,,
"S1 """"",S1_8f7da4d9,"You're very curious, Lizzara. Need to know everything... {w}Hm... {w}But since we're already here, I can tell you about my great plans for you.",,,,,
"L """"",L_b94bfc5a,(What's going on in your head? What kind of madness have you come up with this time?),,,,,
"S1 """"",S1_24a56bd6,"Nothing crazy. Your body is beautiful, but... We still have a lot to improve. I want to change something about you.",,,,,
"S1 """"",S1_d166d3cd,"To create an even more perfect being out of you, hee-hee.",,,,,
"L """"",L_2e6e7eca, (C-create?),,,,,
"S1 """"",S1_0d3de4ea,"What's so surprising about that? This body, too, was different before, more fragile and less amenable to change.",,,,,
"S1 """"",S1_51722854,"Hmm, it's still far from ideal, but my improvement isn't over yet. Just like yours, hee-hee.",,,,,
"L """"",L_f46a1988,(I'm a Protoss! The Zerg is amenable to constant... mutations. But we are different! You can't do that to me!!!),,,,,
"""""",narrator_4dfdf666,Lizzara was panicking at the thought of her body being disfigured in some way or someone doing something unacceptable to it.,,,,,
"S1 """"",S1_0d09298f,"Relax, you'll mostly stay the same. There is no need for large-scale changes.",,,,,
"S1 """"",S1_28f332e9,It's just that you're missing something very important for our games. We cannot avoid this issue.,,,,,
