location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"L """"",L_7409269b,(Sarah?),,,,,
"S """"",S_e529eafb,Did you expect to see someone else?,,,,,
"L """"",L_1483b056,(We both know who could be unwelcome here.),,,,,
"S """"",S_561a3986,Are you talking about Stukov?,,,,,
"S """"",S_42b53831,He often allows himself too much. But I hope he behaved himself with you?,,,,,
"L """"",L_0e7078b8,"(He tried. His aura of excitement is hard to ignore and his hands would keep unconsciously reaching for my intimate parts when looking at me, but he restrained himself. He didn't touch me.)",,,,,
"S """"",S_74824b26,(So he kept his word... At least I don't have to worry about that anymore.),,,,,
"L """"",L_2863de9c,(But what's happened to you after all this time? I see a completely different terran before me. You changed.),,,,,
"S """"",S_7a281af6,A lot of things have happened...,,,,,
"L """"",L_ecdecaf4,(And it's not only appearance. That's the least of what changed. I sense something dark inside you.),,,,,
"S """"",S_ab966468,How?.. Sometimes I forget that the protoss see much more than we do. Didn't you feel anything before?,,,,,
"L """"",L_79c1afde,"(No, it means it's hidden itself or was very deep inside. Even we can't see a lot of things.)",,,,,
"S """"",S_08732e20,I don't think she didn't want to be found. It's quite the opposite. She'd love to show herself.,,,,,
"L """"",L_5542942e,(Who are you talking about? You know what's hidden inside you?),,,,,
"L """"",L_14c90766,(Is it related to your changes?),,,,,
"S """"",S_3d75361d,Enough! Too many questions. Forget it.,,,,,
"L """"",L_1c4a498a,(Don't succumb to the games of this dark power. I can help you if you think you need assistance.),,,,,
"S """"",S_082838d1,"I have to go, lets talk later.",,,,,
"""""",narrator_97a63ed9,"Sarah quietly approached the Protoss, noticing her intense fascination with something.",,,,,
"S """"",S_504090b0,(Strange... What was it that interested her so much?),,,,,
"L """"",L_f2947235,Mmmmm ... Maa...,,,,,
"""""",narrator_026ba0b7,"There were strange sounds coming from Lizzara, like mumbling.",,,,,
"L """"",L_b932dab5,"(This is too complicated... I thought I would be better at it, but I don't know how to use this thing at all... It's like I'm learning to live again.)",,,,,
"L """"",L_77c32195,Mmmh...,,,,,
"L """"",L_d936bea1,(It is useless... Why am I so hopeless about this?),,,,,
"S """"",S_54a4af46,"Lizzara, what are you doing? Who's making such strange noises?",,,,,
"L """"",L_990924a1,(S-Sarah??),,,,,
"L """"",L_c269332b,"(Oh, shit... Why now?.. This is a very bad time...)",,,,,
"S """"",S_faa7e995,!!!,,,,,
"""""",narrator_c2313114,"Lizzara noticed Sarah's surprised and slightly frightened look on her face, immediately remembering the hated mouth.",,,,,
"S """"",S_74754ed1,W-what is that???...,,,,,
"L """"",L_8ab56b7a,(NO! Don't look...),,,,,
"S """"",S_f2789a72,"(Y-you have... Lizzara, what happened while I was gone?)",,,,,
"L """"",L_f91cb7ca,"(F-forget what you saw... Close your eyes and don't look! There was nothing... No, nothing...)",,,,,
"S """"",S_406dab7a,I definitely saw something strange...,,,,,
"L """"",L_1372bfcb,(Strange? Well yes... Of course it's strange.),,,,,
"""""",narrator_879cfb7d,"Sarah sensed Lizzara's sad tone, knowing she'd said too much.",,,,,
"S """"",S_69112a26,"I-I didn't say that. It's... strange, but in the sense that it is not usual. It's not bad. I just didn't expect it...",,,,,
"S """"",S_db1c1c8c,"And... hah, it's not every day you see a Protoss with a mouth... And that's a pity!",,,,,
"L """"",L_b9543fe3,(Really? You don't think it is... terrible?),,,,,
"S """"",S_5fa9e5aa,"Of course not! Now that I've had a good look at you, you know, the other Protoss must be jealous of you. You look beautiful!",,,,,
"L """"",L_ad695f8d,(You... Do you think so?),,,,,
"""""",narrator_af4f7443,Lizzara perked up at Sarah's positive reaction. The girl tried to cheer up the Protoss as much as possible.,,,,,
"S """"",S_25997af8,"Of course! You know, I have one, too, so how can I feel bad about it? Especially since it looks very neat, and not like some terrible muzzle with fangs.",,,,,
"L """"",L_68fb918c,(And true... It's probably not that bad... you're right!),,,,,
