location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S1 """"",S1_a31e2cb3,"Who's my victim for today... That's right, the pawn of our mutual friend. How interesting...",,,,,
"""""",narrator_e0e08852,"The Queen of Blades quickly identified her new target, already anticipating how Sochus would resist her and try to resist temptation.",,,,,
"S1 """"",S1_b1eb4572,Why are you twitching like that? Are you afraid?,,,,,
"""""",narrator_32e17aca,"The girl circled nonstop around the alert drone, exerting more and more pressure on it.",,,,,
"S1 """"",S1_a4dc4d30,"You need to be friends with your friends' friends, Sochus. Where are your manners?",,,,,
"SO """"",SO_05af557f,"Even if Sarah talked about you, it was nothing positive.",,,,,
"S1 """"",S1_534388ae,"Come on, she's exaggerating. She just can't realize yet what kind of help I'm giving her! And you have a great opportunity to understand it right now.",,,,,
"""""",narrator_90b417c3,"The Queen of Blades playfully tapped on Sochus's shell, watching as he tried to dodge her hands.",,,,,
"S1 """"",S1_c1850c22,"Hmm, this thing looks pretty solid... Hee, that's funny.",,,,,
"S1 """"",S1_5a038c0c,Maybe this will be the best acquaintance of your life! And you want to miss it?,,,,,
"SO """"",SO_8390dc1a,I believe Sarah and... And I am faithful to her to the last!,,,,,
"S1 """"",S1_3d7edb79,"How can such a cowardly dunce be so loyal to someone? Ah, my girlfriend is so lucky, hee-hee-hee.",,,,,
"""""",narrator_f0da6ed9,"The girl did not lag behind the retreating drone, constantly staying next to him. The shadow of the Queen of Blades stalking at his heels was driving Sochus into a corner.",,,,,
"SO """"",SO_7d535b70,I'm not going to fail Sarah! She will be very unhappy if she finds out about our communication!,,,,,
"S1 """"",S1_8dfe65cf,"We'll just get to know each other a little bit, mmm... closer. I have to know who Sarah keeps by her side, hee-hee-hee.",,,,,
"SO """"",SO_3da466fc,It doesn't look like just an introduction!,,,,,
"""""",narrator_38af77f7,Sochus tried not to look at the grinning Queen of Blades. It only turned her on more that the drone understood everything and tried to avoid the inevitable.,,,,,
"S1 """"",S1_a1d97844,"Really? It's all your inflamed fantasy, Sochus. But if you insist so much...",,,,,
"SO """"",SO_2a432a59,I-I need to work!,,,,,
"S1 """"",S1_0cfe187c,"And you'll leave a lady alone? That won't do, Sochus...",,,,,
