location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"Q """"",Q_5e2d1695,Oh look who came to see me...,,,,,
"""""",narrator_b80b86c6,The Mistress lazily shifted her gaze to where the Queen of Blades would appear.,,,,,
"S1 """"",S1_fce777ba,"Oh, you ruined such a surprise!",,,,,
"Q """"",Q_b0bcf77c,It's hard not to feel you from afar. Come for a rematch?,,,,,
"""""",narrator_6e048eef,The lady looked haughtily at the girl who was slowly approaching her.,,,,,
"S1 """"",S1_809246d2,We both value our time. I've not gained complete control of this body yet and can't fully contend with you. And you know that...,,,,,
"Q """"",Q_201196a6,I do...,,,,,
"""""",narrator_823b78be,"The Queen of Blades struggled to contain herself, trying not to react to the mockery from Mistress. But it still got an eyetwitch out of her.",,,,,
"S1 """"",S1_f6ca1157,But that doesn't mean I gave up!,,,,,
"Q """"",Q_3125196d,{size=-4}I'd be surprised if you did...{/size},,,,,
"""""",narrator_89e66034,"Mistress continued to sit on her throne, towering majestically over her guest.",,,,,
"S1 """"",S1_8c9e17d5,I would love to destroy you right here. And I'll take care of it... A little bit later.,,,,,
"S1 """"",S1_fe5f6e28,But I hope you didn't think I came to you for nothing?,,,,,
"""""",narrator_3d6e8fbf,"Mistress leaned forward in interest, her eyes never leaving the girl.",,,,,
"Q """"",Q_4e09126e,I can't even imagine what you came to me for.,,,,,
"S1 """"",S1_38934e03,"I have a different way of resolving our conflict. I have an idea how to show the conceited bitch her place and of course identify a real leader. And you'll definitely like it, hee-hee.",,,,,
"""""",narrator_dbb3b65d,"Of course, Mistress could not hide her interest, this proposal captivated her. Perhaps something very interesting was brewing, something that would be able to enliven the local life.",,,,,
"S1 """"",S1_1e58504f,I'm offering you a different kind of fight.,,,,,
"S1 """"",S1_b1efeffb,"I will trample you into the dirt first mentally, and then physically!",,,,,
"S1 """"",S1_135821dc,Are you ready to try to prove that you're not so useless?,,,,,
"Q """"",Q_12a041a3,"Ha-ha-ha, are you giving me such a great opportunity to lower your inflated self-esteem voluntarily?",,,,,
"Q """"",Q_0c8b26b4,How could I refuse a prey that has put itself on a platter and garnished itself with a cherry on top?,,,,,
"Q """"",Q_96cad49e,"Playing with you will give me a great opportunity to stretch myself properly, so that I can finally enslave you. Everything working out in the best possible way.",,,,,
"Q """"",Q_fd5065e4,Give me everything you have. I can't wait to start my dessert...,,,,,
"""""",narrator_91f44aca,"Mistress writhed with impatience, imagining in her mind the Queen of Blades giving up and falling to her knees in defeat.",,,,,
"S1 """"",S1_ce3b5d2c,(Let's see which one of us gets this cherished cherry...),,,,,
"S1 """"",S1_fb0163c5,I have a better idea!,,,,,
"""""",narrator_617c8c9e,"The Queen of Blades swooped down on Mistress, taking advantage of her superior position. The former could feel something pressing against her crotch.",,,,,
"S1 """"",S1_644a3df9,"I need to teach you this pose properly. Dogs need to be trained, right?",,,,,
"Q """"",Q_8b6b4650,Argh...,,,,,
"""""",narrator_4e0bc02a,"The girl grabbed Mistress's chin, and stared her in the eyes.",,,,,
"S1 """"",S1_ec59d942,"In the meantime, I'll give you a chance to be on an equal footing with me. Otherwise, this won't be that interesting...",,,,,
"""""",narrator_d1d15f2e,"The Queen of Blades grabbed the Lady around the neck to gradually get closer, allowing her to clearly feel the huge cock that was almost entering her.",,,,,
"S1 """"",S1_9f1ecf84,"Hee-hee, can you feel it? I will not simply claim you, even though I really want to... It will be a contest!",,,,,
"""""",narrator_bf61e6cd,"A wild light played in the Mistress's eyes, which was fueled by the excitement of the girl.",,,,,
"Q """"",Q_bf5181e7,"A contest... Mmm, oh-very interesting.",,,,,
"S1 """"",S1_892f3c65,This is the perfect way to put an end to our confrontation. Just until I have the strength to humiliate you completely.,,,,,
"Q """"",Q_fa3e0f29,I'm too good for someone like you to beat me! You can admit defeat before it's too late...,,,,,
"Q """"",Q_cdf9b052,AAAAAAAHH!!!,,,,,
"S1 """"",S1_ec9debf8,"(Mh? Really now... She likes spanking? How lovely, hee-hee.)",,,,,
"S1 """"",S1_9d8e638d,"(She doesn't know the rules yet, but she's already screwed up so badly. Victory will be mine!)",,,,,
"S1 """"",S1_e79cafea,"Your playfulness only serves me right. The rules of this competition are very simple. The one who finishes the most loses. You're already one step ahead in this, hee-hee.",,,,,
"S1 """"",S1_f7051d21,And we will sum up the results when the first of us will lose consciousness from the pleasure received.,,,,,
"S1 """"",S1_c90aeb0e,"Don't worry, I'll catch your body.",,,,,
"Q """"",Q_21381a3d,How interesting... I can't promise you the same.,,,,,
