"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"centered_history """"","centered_history_20e59fb7","Sarah Kerrigan, responsible completing her mission, would never have guessed that she would be captured. \n\n Arcturus Mengsk, who preached forgival of past sins, suddenly decided to withdraw the troops, thus repaying his old grievances with her. \n\n He counted on her elimination by the hordes of the hostile race, but his plans were destined to fail. The things which attracted the attention of the Confederation also attracted the attention of the Zerg. \n\n Kerrigan did not consider this outcome, so she continued to believe she would successfuly evacuate Tarsonis.","","","","",""
"S """"","S_808e294c","Commander, I need evacuation. I'm surrounded. I repeat: I am surrounded. There are Zerg everywhere and I don't know how much longer I can hold out.","","","","",""
"centered_history """"","centered_history_3a57a105","Waiting for her own death, Sarah Kerrigan tried to fight off the Zerg to the last, even unarmed. But the girl was yet to find out what kind of life was prepared for her in the yet unknown place of detention. \n\n Kerrigan was captured, but not broken. She was in for an unpleasant surprise in the form of infection by an alien parasite that introduced itself to her as a Sai'mon. According to the Mistress of this place, Sai'mon was implanted in the girl's head to aid her in the upcoming trials. But that wasn't the end of unpleasant surprises. \n\n Stukov, who had been resurrected by the Zerg and started working for them, briefly brought Sarah up to speed, telling her about the parasite and its purpose to provide control over Kerrigan's body.","","","","",""
"centered_history """"","centered_history_c1ed148d","Stukov faced fierce opposition during the first test, which consisted of completely getting rid of clothes. They never managed to reach an agreement, which led to the involvement of Sai'mon. \n\n But even after the girl was paralyzed and completely immobilized with tentacles, Stukov did not manage to make much progress. \n\n Because of the whole situation, Sarah's psi powers were awakened, which the parasite had to suppress for everyone's safety.","","","","",""
"centered_history """"","centered_history_aac34e72","Sarah Kerrigan continued to follow the path of the rebel, but after a long time in the tentacles embrace, she had to partially accept her fate. But that didn't mean she'd given up. She steadfastly tried to withstand the presence of another man's hand on her chest, but this time she was not ready to go all the way.","","","","",""
"centered_history """"","centered_history_65bbb47d","The local version of food didn't sit well with Sarah either. 'Vile thing' was what Kerrigan called the tentacle that released the nutrient mixture, it disgusted her. For as long as she wasn't hungry that is. Despite how good it felt, due to the specific taste and smell, Sarah did not swallow all the food. \n\n After the first successful test, Kerrigan was not left alone. This was only preparation for her long journey in the ranks of the Zerg. The girl was urged to admit her excitement and desire, but Sarah Kerrigan held fast to her morals, which were slowly giving way.","","","","",""
"centered_history """"","centered_history_3eb511d7","One of the reasons was the experience of arousing men, which revealed to Sarah previously hidden features of their personality. For the girl, it was a difficult discovery that she could behave vulgarly and dirty of her own free will, this was one of the stages of her formation. \n\n Sarah fell into a trap planned by the Mistress, meeting her face-to-face in an attempt to escape. Mistress and the one she proudly called HE had Grand plans for the Terran, so Sarah was told what her fate was.","","","","",""
"centered_history """"","centered_history_b9443ba6","Mistress knew all of Sarah's vulnerabilities. Despite all the girl's tenacity, she was able to convince the Terran that she could not cope without their help. Using her power, she showed her the future, the possible future, all the outcomes of her attempts, where she refused the Zerg's help. \n\n Sarah was shocked, but resigned. Not only did Sarah need the Swarm, but the Swarm also needed Sarah. The girl was on a new path.","","","","",""
"centered_history """"","centered_history_873f1d1a","From that moment, the real training began...","","","","",""
"centered_history """"","centered_history_ec022c8c","Sarah didn't even suspect that Stukov would combine sports and his perversions. The gradual immersion in the world of debauchery made itself felt. \n\n Sarah was more and more willing to accept new experiments, training naked even without Stukov. Stukov's creativity was vast, corrupting not only the girl's body, but also her mind.","","","","",""
