"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_1d487d48","*Sigh* ... ah ... damn, that's it. I thought I'd last longer...","","","","",""
"S """"","S_728697d8","M-my body is so hot, it's definitely because of her... before, this feeling was not so strong. It probably increases over time... until... damn.","","","","",""
"S """"","S_2abf9a3f","(At first, everything seemed more rosy... And the Queen of Blades hadn't made herself known in a long time. At one point, ha, I even thought she wouldn't give me any trouble, the fool.)","","","","",""
"S """"","S_531a35e7","(Still waters run deep it seems...)","","","","",""
"""""","narrator_9b1aa754","No matter how much Sarah wanted to endure this 'hunger', it persistently reminded her of itself and became more and more intrusive with each passing moment.","","","","",""
"S """"","S_4dd5d9af","Even the hunger on arrival here was not so strong... It wasn't like that at all! As much as I hate to admit it, she'd done her best...","","","","",""
"""""","narrator_753407df","She let out a shuddering breath, trying to regain her senses and clear her mind.","","","","",""
"S """"","S_45492c35","Ah-ah-ah... it only gets worse...","","","","",""
"S """"","S_aac02502","It... doesn't let me concentrate on anything at all... If I don't do something about it, she'll take advantage of my weakness.","","","","",""
"""""","narrator_931111b9","All attempts to concentrate failed one by one, even touches, which had previously caused no unusual reaction, now felt like someone else's. Sarah's body responded to every touch, sending a wave of intense arousal through her nerves and straight to her brain.","","","","",""
"S """"","S_34c12609","It's too much... Right now, even I am a threat to myself, damn it...","","","","",""
"""""","narrator_0d91000f","Sarah abruptly pulled her hands away from her, hoping it would clear her mind, but her legs only buckled more from the sudden movements.","","","","",""
"S """"","S_ecfff1f2","W-what should I do?.. It's not fair play. Although I doubt she even knows the meaning of honesty, huh.","","","","",""
"S """"","S_5615ed5d","I need to look for help... As soon as possible.","","","","",""
"S """"","S_6360f5e6","Good... Self help will be of no help this time, it seems, I need the heavy artillery... Otherwise, so much time would have been wasted, and she would still break out.","","","","",""
"S """"","S_43ef098c","Sometimes her pride doesn't play in her favor, hee-hee...","","","","",""
"S """"","S_ebea5237","I'm already so wet down there... I won't last long, I need to get, mmmm... assistance.","","","","",""
"""""","narrator_97692f05","Although her head was full of vulgarities, she was trying to analyze and come up with a plan that would be able to get her out of this situation.","","","","",""
"S """"","S_3e86aa54","Um... I think there's someone... Who I have already helped out with a similar problem. He definitely can't say no to me...","","","","",""
"S """"","S_5b0a8c9a","It's time to act, I've done it before, so it won't be a problem now.","","","","",""
"S """"","S_de993297","(Did you think I'd hesitate? You can't compete with me in determination. Your stupid games are just entertainment for me. Ha, it's definitely not something that would break my will...)","","","","",""
"S """"","S_50cb4029","(Is that all you can do? Ha-ha-ha!)","","","","",""
"S """"","S_d92a9a05","(After all I've been through... something like that is childish babble. You should try harder next time and come up with more difficult conditions, hee-hee. Or I will be the one setting the rules.)","","","","",""
"S """"","S_bd895027","(And I will not restrain my imagination... It's been too long since we've seen each other for you to know exactly where to push. The power changed hands long ago.)","","","","",""
"S """"","S_c1b0e146","(And it's definitely not yours, hee-hee. I won't let you just walk out.)","","","","",""
"S """"","S_d323a0f4","And now the main guest of this party... [zergling_s_name!t]~♥","","","","",""
"Z """"","Z_70a56d43","*Skir?*","","","","",""
"""""","narrator_828c55d9","The Zerg responded very quickly to Sarah's call, guided by the smell of her juices.","","","","",""
"Z """"","Z_62cb26fe","*Skr-skr-skr*","","","","",""
"S """"","S_6bc0a06e","(So much zeal... Although we haven't even started yet.)","","","","",""
"S """"","S_189330d0","(Ha, I can understand him... I'm on the edge myself, but that's... Oh, to hell with it. I don't want to wait any longer!)","","","","",""
"S """"","S_db90cf45","Come on, baby, you want to help me, don't you?","","","","",""
"""""","narrator_aa24a056","Sarah's flirtation was not in vain, she clearly saw [zergling_s_name!t] trembling in excitement, without taking his eyes off her. His cock also didn't keep her waiting long, it was hard not to notice, as was his desire. As always.","","","","",""
"S """"","S_69b073b8","Mmm... I need some proper relaxation. You can't say no to me after all I've done for you. Now it's your turn!","","","","",""
"S """"","S_61127870","Oh... how impatient... I know what you want... And our needs are now more similar than ever. We can help each other, I'm sure of it.","","","","",""
"S """"","S_8144d5d3","You just need to try as hard as I tried for you back then. I need your cock now and not a second later.","","","","",""
"""""","narrator_c35d33fc","Sarah's voice became more languid and low with excitement. It turned her on as much as it did the Zergling, whose cock was quivering with anticipation.","","","","",""
"""""","narrator_20599b6a","Sarah no longer tried to control her thoughts, knowing that it was useless. She could afford to imagine what [zergling_s_name!t] would do with her body.","","","","",""
"S """"","S_99910f59","(As if it was different before... Hee-hee...)","","","","",""
"""""","narrator_e9d7a604","The girl was getting more and more turned on by the second, as her partner was on the verge, They were both in anticipation. And all the lust that flowed through her body, only added fuel to the fire.","","","","",""
"S """"","S_b106e93e","(But it feels like... I want it myself. Stronger than before...)","","","","",""
"S """"","S_b76dae45","(This changed everything... I don't have the patience, huh.)","","","","",""
"""""","narrator_db47d681","The girl shifted her hips impatiently, moaning softly at the reaction of her body to such simple movements.","","","","",""
"S """"","S_afb7c440","(My whole body is now... ah, one erogenous zone... It feels so unbearably pleasant!)","","","","",""
"Z """"","Z_3922547c","*Skr-skr!*","","","","",""
"""""","narrator_68f71305","She no longer had even the slightest desire to control anything. The desire for hard sex overcame all common sense. The girl's thoughts were becoming more and more like those of a lustful zerg.","","","","",""
"S """"","S_e71716ef","(I want that big juicy cock so bad... Mmm, in myself... For him to come inside me, ah...)","","","","",""
"""""","narrator_ce1767ad","The Queen of Blades' hunger has completely changed Sarah's perception of sex. Her body became much more sensitive to any sources of arousal. It was as if she was always at the peak of arousal, and even a small touch could give her an orgasm.","","","","",""
"""""","narrator_6a3388e2","All these thoughts turned Sarah on even more, she could no longer stand it, everything seemed to be in a fog. Her head not thinking straight, she had one thing on her mind: lust. She'd never been so hungry for cum.","","","","",""
"S """"","S_c41b6c26","(God... What am I thinking? What lustful thoughts.. mmm.. The Queen of Blades is trying to make me the ultimate pervert!)","","","","",""
"""""","narrator_27c33a21","The thought that it was all the fault of the Queen of Blades calmed her down and allowed her to relax and give in to vulgar thoughts.","","","","",""
"Z """"","Z_131957df","*Skr-skr*","","","","",""
"S """"","S_47fa0278","Come on, baby, you've kept me waiting too long. Mmmm, I can't do it anymore... It's vital that we start mating as soon as possible!","","","","",""
"""""","narrator_af5a5c72","But instead, [zergling_s_name!t] froze, not moving, no matter what.","","","","",""
"S """"","S_c2663d36","W-why are you procrastinating?","","","","",""
"S """"","S_d65dba2d","(This... This is strange... Was this the Queen of Blades' plotting again? But it can't be, she's not that smart!)","","","","",""
"S """"","S_589bfed2","(She wanted to humiliate me... This animal desire. She wouldn't have ruined her own plan... Then what's the matter?!)","","","","",""
"""""","narrator_00d15772","Sarah's body began to ache from the long wait. The girl wanted to lash out at the zerg, but she could still restrain himself.","","","","",""
"S """"","S_345283b4","Well, baby? Come on, let's start, there's not much time, don't hesitate now!","","","","",""
