location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_7ed1a731,The Queen of Blades walked slowly but surely towards the defiler.,,,,,
"S1 """"",S1_26ddff3d,There's no one on the bridge... It's for the best.,,,,,
"S1 """"",S1_954f80d5,"Fewer witnesses... better surprise, hee-hee-hee.",,,,,
"""""",narrator_f97f768c,"The girl already felt a slight tingling in her lower abdomen, anticipating what was waiting for her.",,,,,
"S1 """"",S1_61ee369d,If everything goes as he told her... This will be my best performance in forever!,,,,,
"S1 """"",S1_673dc1bf,"And I'm not going to miss such a chance, as some do.",,,,,
"""""",narrator_d3ea1a3f,The defiler was already looking towards the girl when the Queen of Blades began to approach him.,,,,,
"Os """"",Os_1e7d9399,What an unexpected visit... Your presence was noticeable even before your appearance.,,,,,
"S1 """"",S1_daaa33cb,You bet. I'm burning with impatience!,,,,,
"S1 """"",S1_ce8586a8,"I've heard about your requirements and I'm personally satisfied with everything. This is quite a good chance to have fun. New sensations, mmm...",,,,,
"S1 """"",S1_3053b5c1,Easy essence.,,,,,
"""""",narrator_b62aa021,The girl's body began to tremble when she remembered with what fervor the defiler spoke about the process of fertilization.,,,,,
"Os """"",Os_089ccc8c,And I said it was hard to resist...,,,,,
"S1 """"",S1_d1d07c22,"Sarah is such a fool. As always, she refuses all the most interesting things! She doesn't understand such important things at all... The power of debauchery.",,,,,
"S1 """"",S1_3462bc06,You need to have fun. To know all the happiness of motherhood... For a higher purpose! To become stronger!,,,,,
"""""",narrator_5561f620,"The Defiler watched with undisguised interest the heated tirade of the Queen of Blades, who was even more excited by her own words.",,,,,
"S1 """"",S1_01b05e5c,These feelings... It's like I'm already filled with your balls. Excellent...,,,,,
"S1 """"",S1_5c8245f0,But Sarah would never agree...,,,,,
"S1 """"",S1_ead0a654,"And lose the essence because of it? No, I can't let that happen.",,,,,
"S1 """"",S1_75a5a72f,I'm not going to let Sarah's principles hurt my idea. Fill me up immediately!,,,,,
"S1 """"",S1_460471c0,I want to feel your babies... inside...,,,,,
"Os """"",Os_4d83cd3a,O-o-o-o-o-f co-o-o-o-urse... such enthusiasm...,,,,,
"Os """"",Os_29856d0c,But first I have to ask about your fertility. This is very impo-o-rtant...,,,,,
"S1 """"",S1_40d49c0f,...,,,,,
"S1 """"",S1_0eae4b54,Look at me.,,,,,
"""""",narrator_8e74624f,"The Queen of Blades ran her hands over her body, ostentatiously swaying her hips.",,,,,
"S1 """"",S1_74ba5797,Look at THESE thighs... And THESE breasts can feed at least ten children!,,,,,
"S1 """"",S1_8036f146,Do you still have doubts? Are you really wondering about my abilities?,,,,,
"""""",narrator_53cd31b0,"The defiler followed the girl's hands, assessing her figure.",,,,,
"Os """"",Os_f4d775df,"Yes, indeed. The sha-a-pes... I've never seen one these good. Good stuff.",,,,,
"S1 """"",S1_0178e943,"You bet... And these curves really need to be properly filled out. I didn't break free for nothing, did I, hee-hee-hee.",,,,,
"""""",narrator_84e72188,"The Queen of Blades spread her legs in front of the defiler without any hesitation, giving him access to her most intimate place.",,,,,
"Os """"",Os_f19b91ce,"I think you understand what's go-o-ing to happen... I'll put the eggs right inside yo-o-u. For some, it can be unpleasant.",,,,,
"Os """"",Os_631c27ec,But they begin to mo-o-ve and vibrate gradually. This hinders any discomfort.,,,,,
"Os """"",Os_11251b55,"I will enter o-o-ne at a time until they fill you. Over time, they will start to grow and spread you even mo-o-re. This is a special moment...",,,,,
"""""",narrator_49982afa,"The defiler looked expectantly at the girl, but she only excitedly bit her lip, wanting to speed up the beginning of the process.",,,,,
"S1 """"",S1_6284c46d,Mmm... stop teasing me...,,,,,
"Os """"",Os_a9d457ad,"We will happily bypass the fertility increasing fluid. My tenta-acles will warm you up and when you get wet enough, I can...",,,,,
"S1 """"",S1_9807eeee,"Faster! Damn, just insert them into me already!",,,,,
"Os """"",Os_8b977a12,...,,,,,
"Os """"",Os_35a394ff,"Weird... Usually, when I talk about the process, the girls are always ho-o-rrified and try to escape. After all, I will inject my eggs directly into the uterus.",,,,,
"S1 """"",S1_d9947886,I've never been... 'ordinary'.,,,,,
"Os """"",Os_23bfcd3e,Everyone is so-o-o afraid of the pain that they completely forget the pleasure they can get.,,,,,
"Os """"",Os_3d174251,"But you're determined... Inspired even, I wo-o-uld say.",,,,,
"S1 """"",S1_4c736cca,Yes... Yes! Because I want those damn eggs no matter what! If you only knew how much effort it took to escape... I've been waiting for this moment more than ever!,,,,,
"S1 """"",S1_b1c91bdf,I love experimenting more than anything.,,,,,
"S1 """"",S1_a381b202,"You have such perverted desires and thoughts... They shake my mind, I liked you right away. And now... very soon I will experience them for myself. Finally!",,,,,
"S1 """"",S1_618534fa,So shut up and start already!,,,,,
"""""",narrator_dec67f5e,"The defiler was very inspired by the girl's desire. Even, one might say, her desire infected him more and more with each request.",,,,,
"""""",narrator_6f5e71a3,"Two tentacles parted the labia of the Queen of Blades, opening access to the entrance. The others were pawing the girl's hips and stomach, trying to excite her even more.",,,,,
