"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_32e9b35a","","","False","","",""
"S """"","S_b6659278","","","False","","",""
"""""","narrator_7961b033","","","False","","",""
"S """"","S_81c4da60","","","False","","",""
"Gside1 """"","Gside1_bf2a998f","","","False","","",""
"S """"","S_6635692e","","","False","","",""
"Gside1 """"","Gside1_1f9d3480","","","False","","",""
"S """"","S_7e8a92d9","","","False","","",""
"Gside1 """"","Gside1_16d86579","","","False","","",""
"S """"","S_b81663f6","","","False","","",""
"Gside1 """"","Gside1_d382d8e4","","","False","","",""
"S """"","S_ddee77ef","","","False","","",""
"Gside1 """"","Gside1_02f8ff21","","","False","","",""
"S """"","S_abf5fe53","","","False","","",""
"Gside1 """"","Gside1_1ab76fe8","","","False","","",""
"S """"","S_f6e14856","","","False","","",""
"S """"","S_ea1bef0e","","","False","","",""
"Gside1 """"","Gside1_421cac82","","","False","","",""
"G """"","G_cffe3ee8","","","False","","",""
"S """"","S_eab54251","","","False","","",""
"G """"","G_72e60a07","","","False","","",""
"S """"","S_94e3532a","","","False","","",""
"G """"","G_d85dacca","","","False","","",""
"S """"","S_4a8df892","","","False","","",""
"G """"","G_2bb0ce70","","","False","","",""
"S """"","S_f944fb1b","","","False","","",""
"G """"","G_cebe2413","","","False","","",""
"L2side2 """"","L2side2_e880e07b","","","False","","",""
"G """"","G_b887236a","","","False","","",""
"G """"","G_f7e982b0","","","False","","",""
"G """"","G_3debb6ce","","","False","","",""
"S """"","S_28284c8e","","","False","","",""
"G """"","G_fa2df12d","","","False","","",""
"S """"","S_b726a486","","","False","","",""
"G """"","G_64eb9c12","","","False","","",""
"S """"","S_d3c91dde","","","False","","",""
"G """"","G_f7e982b0_1","","","False","","",""
"G """"","G_31105fa9","","","False","","",""
"S """"","S_ff72f673","","","False","","",""
"G """"","G_b50d5d34","","","False","","",""
"S """"","S_11e10f37","","","False","","",""
"""""","narrator_5ae74997","","","False","","",""
"S """"","S_b63dce7c","","","False","","",""
"S """"","S_93c3c1bb","","","False","","",""
"G """"","G_d4300272","","","False","","",""
"S """"","S_3d75512a","","","False","","",""
"G """"","G_a7dd4c8a","","","False","","",""
"S """"","S_d0880c42","","","False","","",""
"S """"","S_b58b030a","","","False","","",""
"G """"","G_f344cb51","","","False","","",""
"L2side6 """"","L2side6_21ebc48e","","","False","","",""
"G """"","G_8bdaa7cd","","","False","","",""
"L2side6 """"","L2side6_a5377a3a","","","False","","",""
"G """"","G_db64ae84","","","False","","",""
"S """"","S_ab43c855","","","False","","",""
"""""","narrator_629a5fb3","","","False","","",""
"G """"","G_8e8e62af","","","False","","",""
"G """"","G_da8db71d","","","False","","",""
"G """"","G_9dad6964","","","False","","",""
"G """"","G_17c795a7","","","False","","",""
"G """"","G_d62fa0c4","","","False","","",""
"G """"","G_3b0caee2","","","False","","",""
"G """"","G_d2d68c40","","","False","","",""
"S """"","S_0cef2849","","","False","","",""
"""""","narrator_da46a724","","","False","","",""
"G """"","G_642b30ce","","","False","","",""
"S """"","S_3e4ebc82","","","False","","",""
"G """"","G_10a83bee","","","False","","",""
"L2side2 """"","L2side2_503acc42","","","False","","",""
"G """"","G_bdf9aecb","","","False","","",""
"S """"","S_9d2e31de","","","False","","",""
"G """"","G_a046f90d","","","False","","",""
"G """"","G_8c1e0c90","","","False","","",""
"S """"","S_85afc3e3","","","False","","",""
"S """"","S_a5cf8c14","","","False","","",""
"G """"","G_51291961","","","False","","",""
"""""","narrator_3510e2c4","","","False","","",""
"L """"","L_15c26cff","","","False","","",""
"""""","narrator_65d5904c","","","False","","",""
"S """"","S_e2675605","","","False","","",""
"""""","narrator_045ae4a8","","","False","","",""
"S """"","S_0589dc59","","","False","","",""
"S """"","S_2f474284","","","False","","",""
"S """"","S_1dddee9c","","","False","","",""
"""""","narrator_13c26f87","","","False","","",""
"L """"","L_96f111cc","","","False","","",""
"""""","narrator_29349938","","","False","","",""
"S """"","S_a6783f94","","","False","","",""
"L """"","L_82c83f30","","","False","","",""
"S """"","S_19a22025","","","False","","",""
"S """"","S_97f191df","","","False","","",""
"L """"","L_a668b653","","","False","","",""
"L """"","L_8f0fe765","","","False","","",""
"""""","narrator_7cfda01b","","","False","","",""
"S """"","S_b95faedf","","","False","","",""
"""""","narrator_a175d437","","","False","","",""
"S """"","S_b37e7778","","","False","","",""
"L """"","L_46f690fa","","","False","","",""
"L """"","L_4d1d5f18","","","False","","",""
"S """"","S_fd8a1d1d","","","False","","",""
"""""","narrator_b015960b","","","False","","",""
"L """"","L_7a96f010","","","False","","",""
"S """"","S_88214b01","","","False","","",""
"S """"","S_27353016","","","False","","",""
"""""","narrator_97783b40","","","False","","",""
"L """"","L_08979451","","","False","","",""
"S """"","S_b1a3d69a","","","False","","",""
"""""","narrator_7b5ee120","","","False","","",""
"S """"","S_a90c005f","","","False","","",""
"S """"","S_209df2b4","","","False","","",""
"L """"","L_b9d341cb","","","False","","",""
"S """"","S_c3efc0e9","","","False","","",""
"L """"","L_af5ea12e","","","False","","",""
"S """"","S_f83feb5d","","","False","","",""
"S """"","S_1a4cea28","","","False","","",""
"S """"","S_75df584e","","","False","","",""
"S """"","S_e38fe49b","","","False","","",""
"L """"","L_3b7234bc","","","False","","",""
"S """"","S_1295afff","","","False","","",""
"S """"","S_8b919477","","","False","","",""
"S """"","S_f9c65f6a","","","False","","",""
"""""","narrator_795ea315","","","False","","",""
"S """"","S_e332be8a","","","False","","",""
"S """"","S_947eeacf","","","False","","",""
"""""","narrator_37ccbeae","","","False","","",""
"S """"","S_7dcc5d0d","","","False","","",""
"L """"","L_1cd5ae70","","","False","","",""
"S """"","S_6fe27f8f","","","False","","",""
"L """"","L_20d85115","","","False","","",""
"S """"","S_6d60b5ff","","","False","","",""
"""""","narrator_78306fa0","","","False","","",""
"L """"","L_e05a0c0a","","","False","","",""
"S """"","S_33616b51","","","False","","",""
"""""","narrator_88927873","","","False","","",""
"L """"","L_88eb8e20","","","False","","",""
"S """"","S_2cf44e57","","","False","","",""
"S """"","S_c7dc2f32","","","False","","",""
"S """"","S_7ad11476","","","False","","",""
"S """"","S_f03be010","","","False","","",""
"S """"","S_518e6126","","","False","","",""
"""""","narrator_32986a7c","","","False","","",""
"S """"","S_adff68fd","","","False","","",""
"S """"","S_8b2242c0","","","False","","",""
"S """"","S_70756809","","","False","","",""
"S """"","S_458505f4","","","False","","",""
"S """"","S_deddeccb","","","False","","",""
"S """"","S_cd4431a1","","","False","","",""
"S """"","S_96535981","","","False","","",""
"Gside1 """"","Gside1_794f2d03","","","False","","",""
"S """"","S_d8587f16","","","False","","",""
"Gside1 """"","Gside1_cc379cbb","","","False","","",""
"S """"","S_926d8b19","","","False","","",""
"S """"","S_8241009a","","","False","","",""
"Gside1 """"","Gside1_77ebf1dd","","","False","","",""
"Gside1 """"","Gside1_0b2cc7ab","","","False","","",""
"S """"","S_dd583408","","","False","","",""
"S """"","S_d96560f3","","","False","","",""
"Gside1 """"","Gside1_1f026d42","","","False","","",""
"S """"","S_9879350e","","","False","","",""
"""""","narrator_b1625082","","","False","","",""
