location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_2fb32438,"I'm really tired, I need some sleep.",,,,,
"""""",narrator_a6aa0dcc,Sarah's even more tired than usual since she didn't get enough food. She falls onto her bed and falls asleep.,,,,,
"""""",narrator_bf17f3d9,Sarah spent all her energy and passed out.,,,,,
"""""",narrator_d56952af,Sarah's very tired. She lies down and immediately falls asleep.,,,,,
"""""",narrator_43586160,"Sarah hadn't trained in two days, her abilities suffer because of that. She should do some physical training soon.",,,,,
"""""",narrator_87288f25,"You're not of high enough level, complete other scenes first.",,,,,
"S """"",S_8cdc7285,I don't think that's a good idea. I need to focus on my current training.,,,,,
"S """"",S_688465af,"I can't do this right now, I should put the lingerie on first...",,,,,
"S """"",S_15c7b011,"Great, so what I should do today?",,,,,
"C """"",C_e39b7b24,"(Let me guess, you didn't believe your parents when they told you not to put your fingers inside the power socket, did you? Didn't you see the text telling you there's nothing to see here? Although it is quite interesting to see how Sarah will fit in here.)",,,,,
"""""",narrator_34a6e31a,"Sarah looks inside the hole, trying to see where it leads.",,,,,
"""""",narrator_a873a70f,"She learns nothing, since the hole is enveloped by darkness on the other side and she doesn't have any light sources.",,,,,
"S """"",S_54055bdd,...,,,,,
"S """"",S_5f026e75,I can't see anything!,,,,,
"S """"",S_c30949f5,"Hm, where does it lead...",,,,,
"S """"",S_5fef071b,"Only one way to learn that, climb inside it!",,,,,
"S """"",S_b134784b,"(It might be a trap, but I have to try every way to escape this place presented to me!)",,,,,
"S """"",S_61f9f507,"It's a bit small, but I have to at least try.",,,,,
"""""",narrator_ac06ddd6,"Sarah, after carefully examining the hole, stuck her hand into it to check that it was somewhat safe on the other side.",,,,,
"""""",narrator_14499473,"Next, she squeezed her head through it without much effort.",,,,,
"""""",narrator_b02f8925,"But when she tried to put her shoulders in, problems arose. The hole was still too small for her.",,,,,
"S """"",S_e649960a,"Oh come on, I have to get through!",,,,,
"""""",narrator_a636acd7,"Sarah struggles for a while, but doesn't succeed in the slightest.",,,,,
"S """"",S_4cc91c07,Damn!,,,,,
"C """"",C_dc7d76d3,(...),,,,,
