location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_01b00d05,你已经看过这个场景了，你想跳过它吗？？,,,,,
"S """"",S_755ce7f4,我完成了这些挑战！,,,,,
"S """"",S_13d88686,我不知道接下来斯托克夫又会要求我做什么？,,,,,
"C """"",C_5e2f64d1,(大胆一些，你已经今非昔比了，不是吗？),,,,,
"S """"",S_b5480a5e,！！！,,,,,
"S """"",S_ff4c677b,但是我还是有点紧张？,,,,,
"C """"",C_1b38dfe8,(不用紧张，你不是一直都做得很好吗？),,,,,
"S """"",S_9626404b,不知道为什么，我感到还是有些不安......,,,,,
"C """"",C_41eb4cf9,(顺其自然，就像吃饭一样。),,,,,
"S """"",S_ee9ff614,嗯，我会试试看的,,,,,
"C """"",C_23725e7d,(继续保持下去，斯托克夫喜欢你这样的态度。),,,,,
"A """"",A_ffaca33b,嘿，宝贝，你想我了吗？。,,,,,
"S """"",S_fabd8838,别废话了，我们直接开始吧！,,,,,
"S """"",S_8d113a6d,继续进入我们的训练吧！,,,,,
"S """"",S_d8bc8873,,,,,,
"A """"",A_d509b5d6,我就说，你怎么很反常！,,,,,
"C """"",C_f5617dc6,(这怨我了？),,,,,
"S """"",S_898aaeff,(你跟斯托克夫还真是知己，两个变态！),,,,,
"S """"",S_8caf695e,我想知道，你找我有什么事吗？,,,,,
"A """"",A_457e0bdb,太棒了，我的鸡鸡正好憋得难受。,,,,,
"S """"",S_e8d1fc9e,大变态，这种变态的话，你总是脱口而出。,,,,,
"A """"",A_2f295c81,我还是以为你会喜欢这样的方式，毕竟我们一起呆了这么久。,,,,,
"S """"",S_b5480a5e_1,！！！,,,,,
"S """"",S_4bdbeee8,(绝不可能，永远不会！),,,,,
"S """"",S_20cb2049,(我这么做，一切都是为了那个该死的训练！),,,,,
"S """"",S_7aa2cf2a,来吧！告诉我，这次你又有什么坏主意？,,,,,
"A """"",A_59dcaf83,哈哈，我正好为你准备了一份礼物！,,,,,
"S """"",S_2139aa6f,是什么？......,,,,,
"S """"",S_07c7c3ce,(按照以往的惯例，一定不会是什么好东西。),,,,,
"A """"",A_66527fb1,表情不会这么惊讶吧？,,,,,
"S """"",S_128fd4e3,快点，不要浪费我们大家的时间了！,,,,,
"A """"",A_91ac5fd6,多么好的状态，你的表现甚至比会让一个妓女刮目相看的。,,,,,
"A """"",A_bdb3719b,那么，我要开始检查你做的以前的功课了。,,,,,
"S """"",S_a4ee5194,又要检查了？这跟这跟训练有关系吗？,,,,,
"A """"",A_ca7b9618,,,,,,
"A """"",A_d17e7e71,这可是我们先人总结出的真理。,,,,,
"S """"",S_09f271cd,(完全不知道，他想表达什么，但是，我感觉会很麻烦。),,,,,
"A """"",A_7bbdc20b,你总是这样一副惊讶的表情吗？要我为你讲述一遍宇宙的真理吗？,,,,,
"S """"",S_9ba2d372,(他越来越啰嗦了......),,,,,
"S """"",S_671ae3e6,咳咳。,,,,,
"A """"",A_5ebbb3b4,……,,,,,
"A """"",A_28b699bb,你这样打断别人讲话，是很没礼貌的......,,,,,
"S """"",S_12d6ffe7,够了，请你别再跟我扯测试之外的东西了。,,,,,
"A """"",A_5ebbb3b4_1,……,,,,,
"A """"",A_a5c9758f,把你的一只手给我。,,,,,
"S """"",S_dba8d52b,……,,,,,
"S """"",S_5a37a98e,你以为自己是圣母，你打算救赎我吗？,,,,,
"S """"",S_8f998f80,我不得不提醒你，我对于你的这种救赎方式不感兴趣......,,,,,
"S """"",S_06a234be,接下来是什么？,,,,,
"A """"",A_1928591c,让我当当圣母，我真想照着你说的做。,,,,,
"S """"",S_99634de0,斯托克夫，你让我感觉你很幼稚......,,,,,
"A """"",A_c4c11de0,幼稚，我只是让你伸出手,,,,,
"S """"",S_170139e6,不不不，我知道了，你是在分散我的注意力，然后你就可以实施你的变态计划了！,,,,,
"S """"",S_b3bcebd7,你的计划很周密，但是我不会让你得逞的！,,,,,
"A """"",A_5ebbb3b4_2,……,,,,,
"A """"",A_adcd73f5,好吧！你总是试图挑战我，我现在就给你这样一次机会 。,,,,,
"A """"",A_a27a8a59,我们来进行一场对决吧！,,,,,
"S """"",S_e4704112,不就是扳手腕吗？麻烦你能别说得这么清新脱俗吗？,,,,,
"A """"",A_68d9e5b4,没有了.,,,,,
"S """"",S_7233ce3e,想跟我打架吗？我会狠狠揍你一顿的。,,,,,
"A """"",A_5ebbb3b4_3,……,,,,,
"A """"",A_e66f8c8f,这是一场绝对有意思的对决，是关于男女的！,,,,,
"S """"",S_b5480a5e_2,！！！,,,,,
"S """"",S_65cff18d,我就知道是这样的，既然你已经决定了，那就来吧！,,,,,
"S """"",S_0e6cedb3,别小看我，我不一定会输给你！,,,,,
"A """"",A_b43e6e30,将你的看家本领都使出来吧！你知道怎么展现你的所有魅力吗？,,,,,
"S """"",S_8861dfa0,(我只希望，这次不要是那种特别变态的......),,,,,
"S """"",S_43affa93,我不懂，你为什么要让我伸出一只手呢？,,,,,
"A """"",A_f5dd98cf,别想多了，这次的规则是，先让你穿上性感的内衣，如果你能回答我下面的问题，那你就有了一次选择的机会。,,,,,
"S """"",S_bf5d09f2,是让我选择那些衣服吗？......,,,,,
"A """"",A_912a132d,看来你还记得！,,,,,
"A """"",A_b72a9976,我还稍微改良了一下，要试试吗？,,,,,
"""""",narrator_1c6a1245,斯托克夫拿出了他的电子装置，给莎拉看了几件衣服。,,,,,
"S """"",S_b5480a5e_3,！！！,,,,,
"S """"",S_3934bfc6,这不是我想要的！,,,,,
"A """"",A_339789fc,别再欺骗自己了，你的表情就已经出卖了你。,,,,,
"S """"",S_889a3dce,不，我没有......,,,,,
"A """"",A_26a1363f,我不想再跟你继续纠结这个小问题，我们继续下一步吧！,,,,,
"S """"",S_9c7fae04,下一步是什么？,,,,,
