location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_c648e4b5,"You're not of high enough level, complete other scenes first.",,,,,
"S """"",S_6c7027b4,(Just the lingerie left...),,,,,
"S """"",S_46dfa4ca,I can't do this now.,,,,,
"""""",narrator_3f5f6d2d,You need to finish more feeding events to progress this scene.,,,,,
"S """"",S_1beb7494,!!!,,,,,
"S """"",S_d8b516ab,"(I can't remove my armor. Anyone can come in here, I don't want them to see me naked.)",,,,,
"S """"",S_72cc195a,I can't wear this now. I should first complete the exercise.,,,,,
"S """"",S_5ad70842,I can't abandon this task halfway through!,,,,,
"S """"",S_05f50342,Last day. I can't give up now.,,,,,
"S """"",S_154230d4,"First, I need to remove my armor.",,,,,
"S """"",S_f2e11406,I-I already have a set of underwear on.,,,,,
"S """"",S_daa52a17,!!!,,,,,
"S """"",S_1cd65edc,W-why should I do this now?,,,,,
"S """"",S_33c01074,I will not!,,,,,
"S """"",S_346c670c,I can't wear this now. I should first complete the exercise.,,,,,
"S """"",S_b50a8a7d,I can't abandon this task halfway through!,,,,,
"S """"",S_f1181c03,Last day. I can't give up now.,,,,,
"S """"",S_738115f6,I can't wear this now. I should first complete the exercise.,,,,,
"S """"",S_18020265,I can't abandon this task halfway through!,,,,,
"S """"",S_7a5832eb,Last day. I can't give up now.,,,,,
"S """"",S_8cd99b18,I-It's on me already...,,,,,
"S """"",S_ae12b22f,...,,,,,
"S """"",S_a277c4ad,(I have to do this...),,,,,
"S """"",S_ab3a75eb,Oh god...,,,,,
"S """"",S_47855b8b,I put it on again...,,,,,
"S """"",S_60593fff,...,,,,,
"S """"",S_49c99b2f,I don't know what to do with this...,,,,,
"S """"",S_7427dc89,Why did I even listen to him and grab this piece... of something!,,,,,
"S """"",S_7fc6d185,Maybe I should just get rid of it?,,,,,
"S """"",S_60593fff_1,...,,,,,
"S """"",S_627b78df,I'll keep it for now. Maybe I'll find a use for it later.,,,,,
"""""",narrator_1f7f390b,Unavailable in the current update.,,,,,
"S """"",S_fada3c7d,I don't have any reason to wear this now.,,,,,
"ABside1 """"",ABside1_23a6ee8d,Sleep ineffective needs to be removed. Temporary solution... unsatisfactory. Improvement is not required. Not worth the effort. ,,,,,
"ABside1 """"",ABside1_eeb1dd74,"Mass of flesh, soft outer layer. Needed for sleeping samples. Constructions at the top, bubbles of flesh. Are intended to position the head on top of them. A waste of biomass.",,,,,
"ABside2 """"",ABside2_9b44aa14,"Useless, improvements counter-productive.",,,,,
"ABside1 """"",ABside1_4beaa1ec,Found the source of imperfection. Huge fluid loss. Unacceptable! Requires improvement.,,,,,
"ABside1 """"",ABside1_010ae8ea,Precaution. Will check the rest of the room before starting work. Other problems may exist.,,,,,
"ABside1 """"",ABside1_18665dec,Terran food dispenser. Produces nutrient mixture. Contains Terran aphrodisiacs. Goal - addiction induction.,,,,,
"ABside1 """"",ABside1_5e37c277,"Responds to a limited set of stimuli. Skin friction, mouth insertion. Acceptable.",,,,,
"ABside2 """"",ABside2_65e9e8c0,"Imperfections source found. Structure inefficient, large fluid loss during feeding. Improvement needed. Starting immediately.",,,,,
"ABside1 """"",ABside1_0f73d047,Necessary to examine the room. Possible other imperfections.,,,,,
"ABside1 """"",ABside1_a141602c,"Outgrowths for containment. Modified by Mistress, unknown purpose of modification.",,,,,
"ABside2 """"",ABside2_f37de21b,"Overspecialized. Ineffective, increased consumption of Vespene. Cause - limited space. Can change shape, produce mucus. Extremely strong, extremely flexible. Purpose of a number of improvements unknown.",,,,,
"ABside2 """"",ABside2_a4ef595f,Object does not require improvement. I will not interfere.,,,,,
"ABside1 """"",ABside1_fdc61a3f,"Waste of biomass. Generates psi signal, transmits to the creature Stukov. Was created as compensation for Terran's blocked telepathic abilities. Needs to be deleted later.",,,,,
"ABside1 """"",ABside1_666a70a3,Design of the outer surface is not optimal. The reasons for the choice of shape is unknown. Nerve fiber bundles hidden behind the outer shell. Transmit a signal to the Leviathan. Leviathan notifies creature Stukov.,,,,,
"ABside2 """"",ABside2_d0fa7a9f,Improvement is meaningless. Swarm doesn't need this.,,,,,
"ABside1 """"",ABside1_9fac9e66,"Experimental model of zergling. A new strain, dwarfism. Designed for penetration. Modified by Mistress. Inefficient, must be disposed of.",,,,,
