location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S1 """"",S1_e4f6cbba,Damn... So damn boring in here....,,,,,
"S1 """"",S1_ed5aa8db,Does anyone around wanna have fun?,,,,,
"""""",narrator_df3323ee,"The girl graciously jumped from her throne, did a couple backflips while soaring through the air and landed steadily on her feet. She began to look around and finally noticed Lizzara, ideas popping into her head.",,,,,
"S1 """"",S1_40fa9600,"Lizzara-Lizzara... As always, you delight me with your presence.",,,,,
"""""",narrator_0c10d136,"With these words, the girl slowly approached her prey.",,,,,
"L """"",L_4a6114e4,(This already sounds like it's not going to end well...),,,,,
"S1 """"",S1_61640008,"Pfft, don't be so skeptical... I just need your help. That's all, hee-hee.",,,,,
"L """"",L_8be86742,(Help? B-but how can I help?),,,,,
"S1 """"",S1_1adf74bd,"You know, you're very good at making me want you. You have to take responsibility for this, honey.",,,,,
"""""",narrator_e3dcea52,The Queen of Blades didn't make her wait long and displayed her present for Lizzara.,,,,,
"L """"",L_840bf463,W-what??? W-why did you pull it out???,,,,,
"""""",narrator_ce276408,Saying she was surprised by it would be a huge understatement.,,,,,
"L """"",L_10fddea0,(I... I don't know what you want from me...),,,,,
"S1 """"",S1_68995785,"Don't be a fool, you know perfectly well.",,,,,
"""""",narrator_6a557b14,"The Queen of Blade's dick started twitching, it was close enough to Lizzara's face to sometimes touch it.",,,,,
"S1 """"",S1_9f022806,Just satisfy me. Be a good girl and do everything I tell you.,,,,,
"""""",narrator_e86956e0,"Lizzara tried not to look at the penis, her skin already burning with shame.",,,,,
"L """"",L_1b42688c,(But I don't have a mouth!),,,,,
"S1 """"",S1_21e5f493,"Yes? And should I be worried? Think of something. You're a smart girl, Lizzara.",,,,,
"S1 """"",S1_a140901f,"It's nice to play with your face, but you can't get that far. Feeling your skin with my cock... Mmm, cool, but I need something more.",,,,,
"S1 """"",S1_8e06744e,"And if you don't find a way out, I'll just have to take you from behind. You don't want to let that happen, do you?",,,,,
"""""",narrator_08e07302,Queen of Blades imitated how she would move inside Lizzara.,,,,,
"L """"",L_6430af2f,(What?... But what should I do?),,,,,
"S1 """"",S1_cba3fe57,"I'm in a good mood, which means I'll give you some time to think. Ten...",,,,,
"L """"",L_64e39456,(But...),,,,,
"""""",narrator_eb54aec9,"Lizzara desperately tried to come up with something, constantly distracted by the penis that poked her face and twitched more and more frequently.",,,,,
"L """"",L_53901af6,(I... could I use my hand?),,,,,
"S1 """"",S1_a10e40bf,Boring... I could have done that without you.,,,,,
"S1 """"",S1_2dc6d865,Nine...,,,,,
"L """"",L_0baea2aa,(...),,,,,
"""""",narrator_40b3a434,The protoss had another option which she wanted to avoid at all costs.,,,,,
"S1 """"",S1_e20a6f5d,Eight...,,,,,
"L """"",L_0808eb7d,(We can make a deal!),,,,,
"S1 """"",S1_bf146045,Se-e-ven...,,,,,
"""""",narrator_13a8e708,"Queen of Blades looked at Lizzara from above, lazily smearing precum over her skin.",,,,,
"S1 """"",S1_8440cabc,Six...,,,,,
"L """"",L_00d03166,(Mmmh...),,,,,
"S1 """"",S1_98eb1093,Five...,,,,,
"""""",narrator_15110605,"Lizzara felt slightly aroused from the display in front of her. She wanted to come up with something, but her thoughts couldn't ignore Queen of Blade's actions.",,,,,
"S1 """"",S1_d537b320,Four...,,,,,
"L """"",L_bc71251d,(What are you trying to do?),,,,,
"S1 """"",S1_9a2067f2,Three...,,,,,
"L """"",L_2fe712ff,(I... stop counting!),,,,,
"S1 """"",S1_1504f444,Two-ooh...,,,,,
"S1 """"",S1_19637ab1,"Hurry up, or soon your pussy will be dangerously close to my cock and I will not hold back.",,,,,
"L """"",L_e5ad383c,(No!),,,,,
"S1 """"",S1_06f080d2,One...,,,,,
"L """"",L_aec54c4e,(All right! Okay... I'll use my power.),,,,,
"S1 """"",S1_508b56d9,Wow! How interesting!,,,,,
"S1 """"",S1_e69a2337,You see! Although... Wait. So you've been thinking about it all this time?,,,,,
"S1 """"",S1_053a2c86,"You sly little lusty protoss. You knew all this time what to say to me, but you continued to stubbornly refuse...",,,,,
"L """"",L_2b4f1199,(I dare not defile the Khala by using my powers for... gratification.),,,,,
"L """"",L_ca95bddc,(But you're forcing me to denigrate that connection!),,,,,
"S1 """"",S1_61a57945,Khala... ,,,,,
"extend """"",extend_d33d55e1,"mahala... you're overstressing yourself. I don't give a damn about your connection, desecration, blah-blah-blah... I'm interested in the result, so take a good look at my cock.",,,,,
"L """"",L_1b1b7ce4,(I still have a chance...),,,,,
"L """"",L_235321d3,"(Sarah! I believe you can hear me. I'm asking you to come back, it's not you. I don't believe it could be you. Please...)",,,,,
"S1 """"",S1_32239d78,Yeah...,,,,,
"""""",narrator_be6b553c,"Queen of Blades listened to LIzzara's pleading, barely containing herself from yawning.",,,,,
"L """"",L_fad5da56,"(Wake up, do it somehow...)",,,,,
"S1 """"",S1_b084ad64,"Wel, this is very interesting, but how much longer do I have to wait?",,,,,
"S1 """"",S1_236afe18,"Don't you understand, Lizzara? Sarah can't hear you, she's too weak.",,,,,
"L """"",L_713006ef,(I believe she can hear me.),,,,,
"""""",narrator_8fde1a80,"Suddenly, Queen's face scrunched in a weird grimace.",,,,,
"S1 """"",S1_09cacfbe,"Lee... Li-lizara... I can hear you, I-I'm ... here...",,,,,
"L """"",L_ef30efed,!!!,,,,,
"L """"",L_8477d63a,"Sarah, I knew it!!!",,,,,
"S1 """"",S1_a5b8719c,L-li-li-lii... zara...{w} TIME TO TAKE CARE OF MY COCK!,,,,,
"S1 """"",S1_18900272,Ha-ha! You're so silly. Did you really think that Sarah could hear you just like that?,,,,,
"S1 """"",S1_190b9e2b,"I'm sorry to disappoint you, but you don't even have a chance, so get on with it, honey, before my patience runs out.",,,,,
"L """"",L_ac97caef,(You... that was mean...),,,,,
"L """"",L_85e2d9f4,(Sarah wouldn't have made me...),,,,,
"""""",narrator_270620fa,"Lizzara wanted to try again, but the girl's look which was borderline angry, changed her mind. She had to accept that her attempts were bound to fail.",,,,,
"L """"",L_1e0e93ab,"(Okay, whatever you say...)",,,,,
"""""",narrator_dbe4c8cb,"Lizzara was unaccustomed to using her abilities in this way. She created a hologram of her face, but with a mouth, still amazed at her own determination.",,,,,
"L """"",L_350727cb,(What am I doing?...),,,,,
"S1 """"",S1_b4e28a20,"Wow, you decided to go this way? Very interesting... I've never had this experience before, so try to surprise me, hee-hee. I'm always happy to experiment.",,,,,
"""""",narrator_08098b61,Lizzara felt strange when she realized that now she would have to please the Queen of Blades with the mouth she had created. The feeling made her dizzy.,,,,,
"S1 """"",S1_1068cfa0,Have you ever imagined what it's like? Taking a cock in your mouth?,,,,,
"L """"",L_c8ba835e,(No... No way. This is unacceptable for us!),,,,,
"S1 """"",S1_4968fb6f,"But you have me now! And now you can try everything not just in your fantasies, but also on your own body. Though... Not fully yet.",,,,,
"L """"",L_f1d5a1ad,(But... I don't want to try it...),,,,,
"S1 """"",S1_f3c62d6c,"Oh, come on, how can you say that? Everything is discovered by comparison, and you have nothing to compare it with.",,,,,
"S1 """"",S1_7a4db692,"But it won't be a problem now, I hope.",,,,,
"S1 """"",S1_1e2e4a71,"You'd better control your psi abilities well, because I'm more than happy with everything so far.",,,,,
"S1 """"",S1_093b87bf,"Although there is not enough real saliva... But I'll get over it somehow. You'll get dirty enough if you do a good job anyway, hee-hee.",,,,,
"S1 """"",S1_7f08496e,You have every chance... You created a beautiful one... And a very narrow mouth. Just as I like it.,,,,,
"""""",narrator_c86a519e,Queen of Blades closed her eyes for a moment.,,,,,
"S1 """"",S1_a28c0b2f,Um... These feelings when everything is completely enveloped... It doesn't even matter if it's a mouth or someone's pussy.,,,,,
"S1 """"",S1_440a9227,"Tell me, do you prefer mouths or pussies?",,,,,
"L """"",L_ebc03021,(Neither one nor the other...),,,,,
"S1 """"",S1_c9a9b7c4,"Well, imagine that you have a penis. Every girl has imagined it at least once. What would you like to try first? A wet, drooling mouth?",,,,,
"S1 """"",S1_77abbfe9,Or a warm tight juicy pussy?,,,,,
"S1 """"",S1_6fd6246d,"I prefer mouths, especially narrow ones. You know, when it all starts... mmm... I'm going to lose my head.",,,,,
"S1 """"",S1_e4696147,"So, Lizzara, mouth or pussy?",,,,,
"L """"",L_49aea446,(Can I not answer this question..?),,,,,
"S1 """"",S1_ee48fa08,"Oh, you're boring... But okay, let's put this question aside for now, and focus on your mouth.",,,,,
"S1 """"",S1_5188f545,"I wish I could share these feelings with you... But the feelings on the other side are no less vivid, so you're not that unlucky, honey.",,,,,
"L """"",L_51189a7c,(You talk about it so much...),,,,,
"""""",narrator_c9b2838d,Lizzara fiercely tried to banish the images Queen of Blades' words made appear in her head.,,,,,
"L """"",L_2cf10984,(You're so depraved...),,,,,
"S1 """"",S1_e66324a7,"That sounds like a compliment from you, Lizzara.",,,,,
"S1 """"",S1_4b17f8f8,Although you'd make me feel a lot better if you finally took it in your mouth.,,,,,
"""""",narrator_33fc0dd6,The girl made a couple of light thrusts,,,,,
"S1 """"",S1_44bde0e3,I can't wait to feel the difference between a real mouth and a hologram.,,,,,
"L """"",L_58b04620,(This is so humiliating...),,,,,
"S1 """"",S1_9897c1e5,Like this... It turns me on a lot more when we're not fighting an endless battle against your inhibitions.,,,,,
"L """"",L_e9d8f111,(I think anything can turn you on.),,,,,
"S1 """"",S1_6388d732,Ha-ha! You're wrong there...,,,,,
"""""",narrator_833df2d5,"Queen of Blades finally got tired of waiting and made the first step, filling Lizzara's mouth with her meat, but not fully.",,,,,
"S1 """"",S1_b073e9c8,Haa... You know how to create a good holo... The feeling is simply... indescribable.,,,,,
"S1 """"",S1_cfb17946,(And you're not as pure as you want to appear...),,,,,
"L """"",L_ee6f1ef2,"(Huh? No... It's not like that, it just happened by accident...)",,,,,
"L """"",L_90437ec1,(I told you we don't do that!),,,,,
"S1 """"",S1_6e1b6e3a,"Really? No one can be a saint, Lizzara.",,,,,
"S1 """"",S1_4cc0e574,Does that mean I took yours... Psionic virginity?,,,,,
"L """"",L_8181a5bf,(Ha???),,,,,
"S1 """"",S1_e1467c1a,"Damn... You know, I just realized that Protoss have a lot more first times than humans or other creatures... you have not only vaginal, oral and anal virginity, but also psionic!",,,,,
