location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_63a41a8c,,,,,,
"A """"",A_f139fde1,,,,,,
"S """"",S_4cc45d6b,,,,,,
"A """"",A_a3799ab8,,,,,,
"S """"",S_d1077381,,,,,,
"A """"",A_1c33fe6f,,,,,,
"S """"",S_9f94605b,,,,,,
"S """"",S_80c16769,,,,,,
"A """"",A_faaf28c1,,,,,,
"S """"",S_3cebdd6c,,,,,,
"Q """"",Q_87fd2080,,,,,,
"""""",narrator_575ae123,,,,,,
"S """"",S_2524659e,,,,,,
"""""",narrator_439168cf,,,,,,
"""""",narrator_e19e5b85,,,,,,
"S """"",S_e8623821,,,,,,
"""""",narrator_b653f68c,,,,,,
"Q """"",Q_d26aee0b,,,,,,
"Q """"",Q_efbe58aa,,,,,,
"Q """"",Q_7c423de1,,,,,,
"""""",narrator_5eb82323,,,,,,
"""""",narrator_cae59833,,,,,,
"Q """"",Q_1dd5d72e,,,,,,
"S """"",S_e9e1647f,,,,,,
"""""",narrator_658fbc1a,,,,,,
"Q """"",Q_08f6e2ed,,,,,,
"Q """"",Q_5899a263,,,,,,
"Q """"",Q_fdaa4026,,,,,,
"Q """"",Q_b2593dac,,,,,,
"S """"",S_1bed2947,,,,,,
"S """"",S_ece0f9d9,,,,,,
"""""",narrator_c03a6b1f,,,,,,
"Q """"",Q_d732ec5d,,,,,,
"Q """"",Q_97e25255,,,,,,
"Q """"",Q_9582d7f6,,,,,,
"Q """"",Q_08040b95,,,,,,
"S """"",S_6ab365b2,,,,,,
"Q """"",Q_ab0b95d8,,,,,,
"S """"",S_f49cbcbe,,,,,,
"Q """"",Q_d9538c53,,,,,,
"Q """"",Q_bae6d8c0,,,,,,
"Q """"",Q_6db6c33b,,,,,,
"Q """"",Q_f69551ea,,,,,,
"""""",narrator_9d3e429d,,,,,,
"Q """"",Q_d5eec9b6,,,,,,
"""""",narrator_6c132c03,,,,,,
"S """"",S_8c768cd2,,,,,,
"""""",narrator_207f3fde,,,,,,
"Q """"",Q_b14d1e4c,,,,,,
"Q """"",Q_2b13a0e3,,,,,,
"Q """"",Q_8885f496,,,,,,
"Q """"",Q_c7df9396,,,,,,
"Q """"",Q_9c2c9431,,,,,,
"""""",narrator_7ce0afc8,,,,,,
"S """"",S_5653562f,,,,,,
"Q """"",Q_3e2dfba6,,,,,,
"""""",narrator_b316cf21,,,,,,
"Q """"",Q_df9a57b0,,,,,,
"Aside3 """"",Aside3_953b82b6,,,,,,
"S """"",S_eae93e0a,,,,,,
"Q """"",Q_8c115c31,,,,,,
"Aside8 """"",Aside8_c1e4fd2c,,,,,,
"Q """"",Q_4bb3aaec,,,,,,
"Aside2 """"",Aside2_4b8e6d42,,,,,,
"Q """"",Q_2ce4aa83,,,,,,
"Aside3 """"",Aside3_709583da,,,,,,
"Aside11 """"",Aside11_3b1ca0b7,,,,,,
"S """"",S_c23d7e71,,,,,,
"A """"",A_6b17ece0,,,,,,
"S """"",S_57713a11,,,,,,
"A """"",A_91a35890,,,,,,
"S """"",S_04926a0f,,,,,,
"C """"",C_116c1cf1,,,,,,
"A """"",A_1a9d73c4,,,,,,
"S """"",S_f54c1299,,,,,,
"S """"",S_cb6e1627,,,,,,
"C """"",C_c427c61f,,,,,,
"S """"",S_ea802e3b,,,,,,
"S """"",S_337574a1,,,,,,
"A """"",A_603c94cc,,,,,,
"S """"",S_ea595164,,,,,,
"S """"",S_b33af2c0,,,,,,
"A """"",A_86bd4ec6,,,,,,
"""""",narrator_d236727f,,,,,,
"S """"",S_2a7f042c,,,,,,
"S """"",S_1b20034d,,,,,,
"S """"",S_cb988e53,,,,,,
