location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"SO """"",SO_45bce8ac,"Mi-i-isstress... I didn't risk contacting you about this earlier, but now I simply have no choice!",,,,,
"S """"",S_05635734,What is it?,,,,,
"S """"",S_d5c9b7e2,(Sochus looks very worried.),,,,,
"S """"",S_963c48a5,(As much as a drone can do.),,,,,
"SO """"",SO_361d43bc,"After the last Protoss attack, we lost a lot of drones. And now we are struggling to cope with the extraction of resources...",,,,,
"S """"",S_d5cec92b,That sounds lousy.,,,,,
"S """"",S_e7baf8e3,But you can create new drones.,,,,,
"SO """"",SO_ca053199,That requires more minerals. And it will take some more time until we get the minerals for the drones. And in space they are not so easy to find...,,,,,
"S """"",S_f99ed267,"(Hmm... I don't think the Leviathan as a whole needs that many resources. Now it is in danger because of the wounds it received, which in turn slows down its recovery.)",,,,,
"S """"",S_7131ed4b,(That raises all sorts of problems.),,,,,
"SO """"",SO_f371e276,There's no time for that...,,,,,
"SO """"",SO_43da929e,Drones take a VERY long time to spawn...,,,,,
"SO """"",SO_7202d72b,And then the larvae need to be nurtured...,,,,,
"SO """"",SO_6680c434,"Everything is much more complicated, mi-i-i-isstress!",,,,,
"SO """"",SO_05c74eec,"The Leviathan will go into hibernation to save strength. Without new minerals, he won't live as before.",,,,,
"S """"",S_f68b35c7,And what does that mean?,,,,,
"SO """"",SO_700c4774,The circulation of substances in the ship's life support system will be suspended. That's one of the main problems...,,,,,
"C """"",C_1b4add07,"(In short, at least the supply of 'food' from the tentacles will stop.)",,,,,
"S """"",S_7dc830fb,That's too much already!,,,,,
"""""",narrator_68298c09,"Sarah didn't even notice her vocie raise in volume several times, echoing what she said throughout the room.",,,,,
"S """"",S_033a9a12,!!!,,,,,
"C """"",C_8a848634,"(Wow, what a reaction.)",,,,,
"S """"",S_ca0fc90c,(Em... not that I care at all... But still!),,,,,
"""""",narrator_a239b335,The girl managed to calm down and decide with a calm head what to do next in such a situation.,,,,,
"S """"",S_0f08ee49,"Okay, it is clear that the problem is serious, and there's no need to list all its other consequences.",,,,,
"S """"",S_1267e74a,How can I help?,,,,,
"SO """"",SO_59b1b9bf,We have...,,,,,
"""""",narrator_11262ca1,Sochus presented something similar to a blueprint.,,,,,
"S """"",S_be866e03,A blueprint??? Seriously???,,,,,
"SO """"",SO_ded4cc11,"Well, yes, did you think that building stuff is easy???",,,,,
"S """"",S_91fa8f3e,I am more than sure that this drawing is useless. How can it help you at all?,,,,,
"SO """"",SO_02cae705,"It is not! Everything worked out for us, thanks to it!",,,,,
"S """"",S_fcdff7f2,"Yes, yes, yes, thanks to it...",,,,,
"S """"",S_cad2c501,And why is it so weird... I can't understand any of it.,,,,,
"SO """"",SO_56130432,It is incomprehensible only to those who do not know what to do with it. I don't think we have time to learn Zerg structural theory.,,,,,
"SO """"",SO_aab26015,It's a Cyclonic Neo Armstrong Jet Generating Collector.,,,,,
"S """"",S_0556ed6d,...,,,,,
"S """"",S_5801c526,Seriously? Damn... the name is even stranger than the device...,,,,,
"SO """"",SO_857b2629,"I know, Mistress, but it's a legacy...",,,,,
"SO """"",SO_b9eeaa21,The Zerg who created it died a long time ago.,,,,,
"SO """"",SO_5bd2d57f,"And instead of sharing the essence and transferring knowledge to another Zerg, he left only this drawing.",,,,,
"SO """"",SO_e3348da8,"I would not be able to change anything on this device, not even the name.",,,,,
"SO """"",SO_f428079d,The device is unique and one of a kind.,,,,,
"SO """"",SO_52e3d9c2,"With its help, it is possible to extract resources directly from space on a much more industrial scale than conventional drones do.",,,,,
"SO """"",SO_314fe097,"But we need a powerful psychic to take control of the huge systems of the ship... Just like you, mistress!",,,,,
"S """"",S_9f1fe7bb,(I already have enough to do; I don't want to take over the collection of resources as well.),,,,,
"S """"",S_b0bc4d6c,"Maybe let the other Mistress do it? After all, she is also on this ship.",,,,,
"SO """"",SO_893edd93,That's right... but...,,,,,
"S """"",S_ee10405b,But?,,,,,
"SO """"",SO_3a7485a4,...,,,,,
"SO """"",SO_f01900d5,My mistress is good... she touched my dick. My mistress is better than the Mistress!,,,,,
"""""",narrator_f58208ae,Sarah smiled awkwardly at his words.,,,,,
"S """"",S_e0852e7d,(Idiot... does he even understand how it sounds?.. Jerk...),,,,,
"S """"",S_c4e82a8a,"(Damn, why am I smiling? No, no, stop it now!)",,,,,
"S """"",S_51929e20,(He probably doesn't even realize that he said something stupid... but his honesty and simplicity...),,,,,
"S """"",S_4f9af5b8,And who did this before me? Why build a resource collection mechanism that ordinary drones can't use?,,,,,
"SO """"",SO_0ff5bfba,"This way, we will be able to optimize our work by using new power sources.",,,,,
"S """"",S_a8403f71,You're hiding something. I can feel it in my gut.,,,,,
"SO """"",SO_b6bf5e6c,"Formally, the logistics of Zerg is simple. We don't need food, so there won't be any problems with that. But resources are needed to maintain other ship functions.",,,,,
"SO """"",SO_630dcf78,"In other cases, we would have reduced the activity on the ship, fallen into hibernation mode, and drifted until full recovery.",,,,,
"S """"",S_6cc61827,"But we can't afford to waste so much time. Hmm, that makes sense.",,,,,
"SO """"",SO_ea178362,"That's right. As for the collection, the drones were enough previously. Now that the Leviathan is healing, we need many, many more resources.",,,,,
"""""",narrator_d48316e1,Sarah was deep in thought as Sochus's droning in the background continued.,,,,,
"S """"",S_a587e35d,"(If so, I have an idea.)",,,,,
"S """"",S_09fa17c6,(I'll take a chance.),,,,,
"S """"",S_ed923bcd,(I will help with the extraction of resources and train my PSI abilities.),,,,,
"S """"",S_8adcb5b8,(I'll understand the Leviathan better. Maybe this will even help me with its management in the future.),,,,,
"S """"",S_602f208a,"(Also, a few extra minerals never hurt anyone.)",,,,,
"S """"",S_7c08e8da,(Though I really don't know what I'm going to do with them...),,,,,
"S """"",S_a851a8bb,"(Normally, there would be a lot of people willing to buy resources, but now... old contacts are not available.)",,,,,
"S """"",S_0556ed6d_1,...,,,,,
"S """"",S_e0ada935,"(Okay, now is not the time to ponder. There will always be someone who wants to buy minerals.)",,,,,
"S """"",S_2b466519,Do I understand correctly that I can also use them for personal purposes?,,,,,
"SO """"",SO_fa6f55b7,That's right. Anything that doesn't get used can be kept for yourself.,,,,,
"S """"",S_53a01dbb,"(Hmm, helping drones is much more profitable than it seems.)",,,,,
"S """"",S_3abed29c,"Okay, I agree. Lead me. Let's see what kind of device it is...",,,,,
"SO """"",SO_7786df68,"Yes, mistress!!!!!",,,,,
"""""",narrator_44c8356f,Sarah and the drone came to a room with a strange chair.,,,,,
"S """"",S_deb87da5,Oh..!,,,,,
"SO """"",SO_fb17f3a9,"Here is my creation. Everything is like the mistress likes, I took into account everything-everything-everything. Hee-ho-hee.",,,,,
"SO """"",SO_4e69b5a1,"I allowed myself to slightly improve it, taking into account all my mistress's preferences! Hee-ho-hee!",,,,,
"S """"",S_3a7f7810,Em... and you didn't mix anything up? Which of my preferences did you consider???,,,,,
"SO """"",SO_55cfde14,"Yes, yes, I tried to make various protrusions that you can touch and a lot of other things!",,,,,
"S """"",S_0556ed6d_2,...,,,,,
"S """"",S_8997443c,(Arguing about this is useless...),,,,,
"S """"",S_5b961917,Are you sure it wasn't Abathur who created it?,,,,,
"SO """"",SO_9f1ed7e2,I wouldn't dare disturb Abathur; he has too much to do.,,,,,
"SO """"",SO_be8f922d,I can't distract him from his important work.,,,,,
"S """"",S_0459c1ec,"Yeah, yeah, important...",,,,,
"S """"",S_088bf8ea,And how does it work?,,,,,
"SO """"",SO_245e47aa,"Just like any other Zerg organism. It's all part of the collective mind, Mistress...",,,,,
"S """"",S_bdf89484,It looks like an ordinary chair... It really doesn't look like you took all my preferences into account...,,,,,
"S """"",S_c7f30805,"(We Terrans have a lot of remotes and stuff, but here...)",,,,,
"S """"",S_ff1e4745,A pin in the center? Why is it even here? right in the middle of the seat?,,,,,
"""""",narrator_00acadbf,"When Sarah pressed her index finger across the weird resemblance of a penis, an interface emerged for a brief moment.",,,,,
"S """"",S_412ea308,Wow! It seems to have worked!,,,,,
"""""",narrator_2747e228,"But after she reflexively pulled her finger away, the interface immediately disappeared.",,,,,
"SO """"",SO_72515889,Yes... everything works!,,,,,
"""""",narrator_b7790c61,Sochus was wound up by Sarah's touch to the 'interface stick' and crawled closer.,,,,,
"""""",narrator_de8ed17f,"At first, she examined the device with interest.",,,,,
"""""",narrator_d86dc157,Some details caused surprise and misunderstanding.,,,,,
"S """"",S_0556ed6d_3,...,,,,,
"S """"",S_29c5a377,Em... don't tell me that...,,,,,
"""""",narrator_7b53cdff,"As soon as Sarah touches the ‘pin’ again, the obvious comes to her.",,,,,
"S """"",S_78205c40,(Damn! Just how dirty are these zerg minds are...),,,,,
