"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"H """"","H_370589f8","","","False","","",""
"S """"","S_dbc809da","","","False","","",""
"H """"","H_979f3fb3","","","False","","",""
"H """"","H_b17ad5ae","","","False","","",""
"H """"","H_d69c3ccf","","","False","","",""
"""""","narrator_5afd32ee","","","False","","",""
"Hside1 """"","Hside1_6ce82feb","","","False","","",""
"S """"","S_49b29eb0","","","False","","",""
"Hside1 """"","Hside1_d49a52e7","","","False","","",""
"S """"","S_da94f4b0","","","False","","",""
"S """"","S_fefb1751","","","False","","",""
"Hside1 """"","Hside1_1ca2a465","","","False","","",""
"S """"","S_79688d1b","","","False","","",""
"""""","narrator_4333c8ee","","","False","","",""
"Hside1 """"","Hside1_cbf57f3b","","","False","","",""
"S """"","S_8ec3f94d","","","False","","",""
"Hside1 """"","Hside1_e8b24ca1","","","False","","",""
"Hside1 """"","Hside1_7e5d5cda","","","False","","",""
"S """"","S_6fc4313b","","","False","","",""
"Hside1 """"","Hside1_72b585a2","","","False","","",""
"S """"","S_e6fcaa4b","","","False","","",""
"Hside1 """"","Hside1_618da9bb","","","False","","",""
"Hside1 """"","Hside1_207cfbe4","","","False","","",""
"Hside1 """"","Hside1_766f8c86","","","False","","",""
"S """"","S_ba90aa9e","","","False","","",""
"Hside1 """"","Hside1_8318f0c8","","","False","","",""
"S """"","S_099309c4","","","False","","",""
"S """"","S_02cb705f","","","False","","",""
"Hside1 """"","Hside1_fd29604d","","","False","","",""
"S """"","S_6c379d7e","","","False","","",""
"Hside1 """"","Hside1_b30eef95","","","False","","",""
"S """"","S_50261f4e","","","False","","",""
"S """"","S_dcddcf42","","","False","","",""
"""""","narrator_a93f6cd2","","","False","","",""
"S """"","S_cd86eba4","","","False","","",""
"H """"","H_aba85136","","","False","","",""
"S """"","S_83e0c544","","","False","","",""
"S """"","S_763ee36b","","","False","","",""
"H """"","H_954ef8f5","","","False","","",""
"H """"","H_2f1acc0e","","","False","","",""
"H """"","H_4d80afd0","","","False","","",""
"S """"","S_e8a7d551","","","False","","",""
"H """"","H_2c9bb936","","","False","","",""
"H """"","H_7aec468b","","","False","","",""
"S """"","S_2b2ef3c9","","","False","","",""
"H """"","H_8129538d","","","False","","",""
"""""","narrator_72a57c31","","","False","","",""
"H """"","H_b2bebab4","","","False","","",""
"S """"","S_2377c9ce","","","False","","",""
"H """"","H_40549351","","","False","","",""
"H """"","H_aeb7f2a0","","","False","","",""
"S """"","S_95b91384","","","False","","",""
"H """"","H_cf6e0c5a","","","False","","",""
"H """"","H_5a837a9a","","","False","","",""
"S """"","S_f5887cc5","","","False","","",""
"S """"","S_01d9c40c","","","False","","",""
"S """"","S_f6505af8","","","False","","",""
"H """"","H_cb458298","","","False","","",""
"S """"","S_6abffe48","","","False","","",""
"H """"","H_b1aab240","","","False","","",""
"H """"","H_140ac2ec","","","False","","",""
"S """"","S_f1c5c135","","","False","","",""
"H """"","H_a8096d9e","","","False","","",""
"S """"","S_62a17ce3","","","False","","",""
"H """"","H_3707cf7c","","","False","","",""
"S """"","S_890f4059","","","False","","",""
"H """"","H_e47a598a","","","False","","",""
"S """"","S_6da29e77","","","False","","",""
"S """"","S_729d396e","","","False","","",""
"H """"","H_5ce8f725","","","False","","",""
"S """"","S_24761eec","","","False","","",""
"H """"","H_f1f88fea","","","False","","",""
"H """"","H_b1ae43f2","","","False","","",""
"H """"","H_4dddcf7a","","","False","","",""
"S """"","S_958bedda","","","False","","",""
"H """"","H_183aa07a","","","False","","",""
"S """"","S_5a5d2512","","","False","","",""
"S """"","S_0036b6d3","","","False","","",""
"S """"","S_0a7ec0b7","","","False","","",""
"S """"","S_ea4e4100","","","False","","",""
"""""","narrator_56c53485","","","False","","",""
"""""","narrator_55432032","","","False","","",""
"S """"","S_148d2f93","","","False","","",""
"""""","narrator_e14ccf2b","","","False","","",""
"H """"","H_904caeb9","","","False","","",""
"S """"","S_8d2df1d9","","","False","","",""
"""""","narrator_56c53485_1","","","False","","",""
"H """"","H_b4c9e6b8","","","False","","",""
"S """"","S_48f61a96","","","False","","",""
"H """"","H_367e178b","","","False","","",""
"S """"","S_d16f383a","","","False","","",""
"H """"","H_0b524828","","","False","","",""
"H """"","H_49d2039d","","","False","","",""
"S """"","S_d0fcb777","","","False","","",""
"""""","narrator_56c53485_2","","","False","","",""
"""""","narrator_952560ce","","","False","","",""
"H """"","H_5a6b4c5b","","","False","","",""
"S """"","S_3e702d0a","","","False","","",""
"""""","narrator_7d35e52e","","","False","","",""
"H """"","H_8313251e","","","False","","",""
"""""","narrator_56c53485_3","","","False","","",""
