"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_b4fe4906","Sarah was ready to end the conflict that was brewing between the two of them. It was time to complete the leader's next task.","","","","",""
"Ze """"","Ze_f77dfec8","I hope you're done with all your chores? I don't have much patience...","","","","",""
"S """"","S_288a36ee","I'm completely at your disposal. Now it's your turn to test me. I hope you won't disappoint me.","","","","",""
"""""","narrator_9e04eec2","After these words, the Zerg's eyes lit up with excitement, and it was clear just how much he longed for this meeting.","","","","",""
"Ze """"","Ze_3e78833f","Your silly test are nothing compared to mine!","","","","",""
"""""","narrator_2462440f","The Zergling lifted his head proudly, showing all his greatness.","","","","",""
"S """"","S_52caaa14","I can't wait to hear what you've got for me.","","","","",""
"Ze """"","Ze_abc2d228","Then follow me. I want to put an end to the questioning of your capability as a leader, right now!","","","","",""
"S """"","S_fa196dd9","(Sounds very... self-assured. *Sigh* But I have to go.)","","","","",""
"Ze """"","Ze_a83fff3a","We're here, heh-heh.","","","","",""
"S """"","S_98d01a30","And where is here?","","","","",""
"Ze """"","Ze_886e30c3","We've come to exactly the right place.","","","","",""
"""""","narrator_7f494ca0","Sarah looked skeptically around the hole the Zerg had led her to.","","","","",""
"S """"","S_9201445a","Okay... Why did we come here?","","","","",""
"Ze """"","Ze_655d57b1","For the test, of course. You want my trust, and maybe my respect, don't you? And then the trust of my entire pack?","","","","",""
"S """"","S_e37977c3","Strange question... I wouldn't be standing by some weird hole and talking to you if not for that.","","","","",""
"Ze """"","Ze_b88484ef","Ggrrr, pathetic terr... You're lucky I'm so supportive and tolerant of you.","","","","",""
"Ze """"","Ze_659d0cba","This place will help me test your resolve. Only a strong one can lead my pack! We don't need pathetic human garbage.","","","","",""
"S """"","S_1d5b0b68","Resolve? What are you talking about?..","","","","",""
"S """"","S_fb891248","And how will this hole test my resolve?","","","","",""
"""""","narrator_6d2fed3f","The place sent shivers down her spine. She didn't know why, but there was clearly something wrong with this place.","","","","",""
"Ze """"","Ze_cd356983","This is the Zergling lair. Do you still have questions on how this place will test your spirit?","","","","",""
"S """"","S_7fb2b7ba","LAIR?!","","","","",""
"Zeside1 """"","Zeside1_e31aba2e","Exactly! Hundreds... no, thousands of Zerglings! And they're all here, my whole pack.","","","","",""
"S """"","S_1dc520e4","...","","","","",""
"""""","narrator_cb7e7609","The Zerg was pleased with the reaction he got out of the girl, who for a long time could not believe that she was brought to such a terrible place.","","","","",""
"S """"","S_1af64341","(No wonder I had such a strange reaction near this place... My sixth sense didn't let me down for a second! He clearly wants to get rid of me, not test me...)","","","","",""
"S """"","S_1b8247ff","This place is dangerous... For anyone. Why did you bring me here?","","","","",""
"Zeside1 """"","Zeside1_30bcc7dc","I didn't have any secret goals! Only a true leader can will themselves to overcome fear. We all check what we wish about you.","","","","",""
"Zeside1 """"","Zeside1_4b2b2038","Overcome our lair and prove that you really deserve to be with us at least on an equal footing.","","","","",""
"S """"","S_cff05ca0","W-what???","","","","",""
"S """"","S_ce4f1c83","Me alone against a thousand zerglings? This is not a test of willpower, but a test of stupidity!","","","","",""
"Zeside1 """"","Zeside1_a72b0f1c","Ready to give up already?","","","","",""
"S """"","S_3e760946","This is impossible!","","","","",""
"Zeside1 """"","Zeside1_d35f6f77","Hahahaha, are you giving up already? Which is exactly what I expected. You can't make up your mind, you weakling.","","","","",""
"S """"","S_fad2cd9a","(Damn, is he really? Giving such a task... w-why exactly that...)","","","","",""
"S """"","S_e81800bd","(Is he doing this on purpose? Argh! I'm not crazy enough to go into a den of hungry predators!!!)","","","","",""
"Ze """"","Ze_c8d5f435","Only a desperate fool would have gone straight into the clutches of death. But this is my assignment, and it's the only way I can understand that you're not as simple as you seem.","","","","",""
"Ze """"","Ze_9e6a60bc","This is the only way I can make sure that my pack will thrive with you.","","","","",""
"S """"","S_f8008ed4","Pf...","","","","",""
"Ze """"","Ze_d67fb4ad","I will not back down from my decision. The choice is yours!","","","","",""
"Ze """"","Ze_cf8ea9bc","As much as wouldn't like to, I'll let such a pathetic little human go in peace if you decide to give up. This is too much for a Terran, and it makes sense to just run away and save your worthless life.","","","","",""
"Ze """"","Ze_4edc113c","I'll let you go the first time, but if you dare to show up here again! If I smell your disgusting human odor approaching!!!","","","","",""
"Ze """"","Ze_a4fa9ad5","I WILL KILL...","","","","",""
"S """"","S_92314747","{size=+4}ALRIGHT!!!{/size}","","","","",""
"""""","narrator_40bd72ff","Sarah easily shouted over the snarling Zergling, silencing him instantly.","","","","",""
"S """"","S_7d6c0fcb","I'll do it, you hear? Just enough of your chatter.","","","","",""
"""""","narrator_b9838a2a","Now the Zerg was completely confused, looking at Sarah for a long time and trying to figure out if he had heard something wrong.","","","","",""
"Zeside1 """"","Zeside1_850dd9e5","W-what?","","","","",""
"S """"","S_20c8be2c","I agree to your adventure! What's so hard to understand? Just don't start this 'kill you, unworthy' and so on stuff. Just shut up!","","","","",""
"Zeside1 """"","Zeside1_c2447a7a","Really? You agree to enter an active zergling lair?","","","","",""
"S """"","S_a8fd3fbc","Shall I repeat myself? Obviously, yes, what's so hard to get?","","","","",""
"""""","narrator_28e8a2f3","The confusion on the zergling's face quickly turned into a smile, he clearly wasn't expecting Sarah to have a spine.","","","","",""
"Zeside1 """"","Zeside1_33425087","Ha, ha, ha, and you're even more out of your mind than I could have imagined... You might be interesting.","","","","",""
"S """"","S_10ea5923","(Which one of us is mad? He calls me crazy, even though he's the one giving me this assignment... )","","","","",""
"S """"","S_99dd8bf4","Did you think that such a small thing could stop me?","","","","",""
"S """"","S_bedc49bd","As always, you underestimate me. No matter how dangerous it is, if I need it, I will do it. And you can't stop me! Do you even know that I came through here to stand in front of you right now? You can't scare me anymore.","","","","",""
"S """"","S_9f2c4c0d","Your task is a damn walk in the park.","","","","",""
"Ze """"","Ze_75c1518d","Ha-ha-ha, all right, the bets are accepted, but then don't say I didn't warn you. This place is crawling with my kind. They are all ready to tear apart anyone who comes into their territory.","","","","",""
"S """"","S_2f1a3874","Just like everyone else on this ship.","","","","",""
"Ze """"","Ze_a0ba34ff","But it will be too sad if they so quickly and uselessly deprive us of such an interesting Terran. I don't want it to end prematurely.","","","","",""
"S """"","S_210bb111","You got something wrong. I suppose you mean you don't want all your Zerglings burned to the ground before their time? After all, I'll just crush them all!","","","","",""
"Ze """"","Ze_477ba67c","Don't get ahead of yourself. For my part, I limit my pack. They won't kill you. But in turn, you are forbidden to use psionics inside the lair.","","","","",""
"S """"","S_1dc520e4_1","...","","","","",""
"S """"","S_c5dfc7df","First you tell me to rush into the Zergling lair, and now you forbid me to use psionics...","","","","",""
"S """"","S_593f2ce1","You're not as simple as I might think, but okay. Since my life is not in danger, then so be it, I accept your condition.","","","","",""
"Ze """"","Ze_4b147baa","Not in danger? You misunderstand me, it's only about life, they'll keep you alive, but their animal instincts when someone breaks into their territory... Get out of control. I think I don't need to explain further.","","","","",""
"S """"","S_5373cfff","And what, you still think I'll say no? Ha! My words would be worth nothing!","","","","",""
"""""","narrator_d219cc8a","The Zerg moved deeper into the cave, more and more of him going out of sight.","","","","",""
"Ze """"","Ze_4950afcd","That's what I wanted to hear, and then I'll be waiting for our meeting on the other side.","","","","",""
"""""","narrator_5887f4ae","The Zergling continued to stare hungrily at Sarah. The girl could no longer see his body and face, but the burning eyes were clearly looking at her from the darkness.","","","","",""
"Ze """"","Ze_5b588aa6","If you do manage to get out of there. Who knows what dangers lie ahead, if you'll ever be able to get out of here... Ha-ha-ha-ha-ha...","","","","",""
"""""","narrator_db408198","Soon, the zerg finally disappeared into the depths of the lair, leaving Sarah alone.","","","","",""
"S """"","S_469e38cf","Hm...","","","","",""
"S """"","S_0441a8ba","Hm-hm...","","","","",""
"S """"","S_8eca8333","So all I have to do is pass through a den infested with Zerg. And no, wait, I can't use psionics. Well, not like I would need to anyway, I have a weapon... supplies... and everything else needed... Oh, wait, I don't have any of this.","","","","",""
"centered """"","centered_14c33648","We know the minigame has some problems but fixing them requires a significant amount of time. We are going to rework it, changing some of the more routine aspects of it.","","","","",""
"centered """"","centered_e955affa","For right now, we can offer you several options, first is to skip the labyrinth so that you can see the defeat scene and the rest of the content.","","","","",""
"centered """"","centered_78b116a5","Second is finish the labyrinth as it is right now, if you wish to. But keep in mind it's going to be much more interesting in a little while!","","","","",""
"S """"","S_91949a74","This is... A maze?","","","","",""
"S """"","S_9d063648","Arg! That's why he said I could get lost here.","","","","",""
"S """"","S_c1b61de9","Excellent. A maze teeming with Zerglings. What could possibly go wrong?","","","","",""
"""""","narrator_584ee318","Sarah tried to look around her, but there were only a few passageways in her field of vision.","","","","",""
"S """"","S_4bee2b92","I can't even see where they lead. It's too dark in here.","","","","",""
"S """"","S_69df7156","And very stressful... I have no idea what's waiting for me here.","","","","",""
"S """"","S_42d4b6f1","I doubt the Zerglings are the only ones who pose any danger to me, and... how far do these passageways go?","","","","",""
"S """"","S_231cab0a","I really don't want to get stuck here...","","","","",""
"S """"","S_0c768292","I was able to get through some of it... This is already a small victory!","","","","",""
"S """"","S_d0249187","Now I know more about this place. I hope that this will help me further on...","","","","",""
"S """"","S_4921d909","It's so good to have a place where I can rest. The constant tension is rather overbearing.","","","","",""
"S """"","S_b3230219","If it weren't for these traps... Pfft, who even thought of tentacles in such a place?","","","","",""
"""""","narrator_7172754e","Sarah sighed heavily. The girl looked around to calm herself a little.","","","","",""
"S """"","S_874d8aa0","As soon as I get out... They will all regret their 'tests'.","","","","",""
"S """"","S_e2ffeb20","Phew... Another room behind me.","","","","",""
"S """"","S_fe573b3b","There are two passageways? Who even thought of making a fork here?!","","","","",""
"S """"","S_409ac20c","Great! And suddenly, if you go to the left, you will find your death, and to the right - you will find a way out? Why make it so complicated?..","","","","",""
"S """"","S_e911d0dd","But there really is a difference between them... I'm not allowed to use psi power, but I've not been forbidden to feel. The main thing is not to make a mistake with the choice...","","","","",""
"S """"","S_a3965800","I think I was wrong about this passage. So far, everything is very calm.","","","","",""
"S """"","S_3b05d39d","So I'm lucky and I'll get through this room quickly. And this means that I have once again made a huge step towards victory!","","","","",""
"S """"","S_2654517b","I'm already looking forward to getting out of this lair and looking at the Zergling's face. What a sight it will be, hee-hee.","","","","",""
"S """"","S_13dd3d43","Hah, that was easy.","","","","",""
