location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_5a6723ea,Почему сейчас? Ей так сильно не сидится на месте?,,,,,
"S """"",S_83cc49b8,Мне стоило этого ожидать...,,,,,
"S """"",S_c5ce5e66,"И почему нельзя сдерживать ее вечно? Она же не откажется от возможности испортить, если не все, то хоть что-то.",,,,,
"C """"",C_ebb29fb2,"(Если так посмотреть, то мы в данный отрезок времени рушим ее планы. Так что...)",,,,,
"S """"",S_fbf8b831,Эй! На чьей ты стороне? Заделался в маленьких предателей?,,,,,
"C """"",C_370eb75c,(Просто объективно смотрю на ситуацию.),,,,,
"S """"",S_7ffdecc6,"Черт, нужно что-то сделать, чтобы сдержать ее после пробуждения... Мне ее не сдержать, она вырвется, это неизбежно!",,,,,
"S """"",S_fd2ec4e0,"Даже если я обездвижу свое тело, ее это не остановит...",,,,,
"S """"",S_c5d24243,Может... Да!,,,,,
"S """"",S_82a93d5b,Нужно убираться отсюда как можно быстрее. И желательно как можно дальше...,,,,,
"S """"",S_a8b3f742,Но как?,,,,,
"S """"",S_59817a33,"(Сай'мон, зерги передвигаются по левиафану с помощью каких-то каналов, верно?)",,,,,
"C """"",C_7e5f91ca,"(Да все так, с помощью сети Нидуса.)",,,,,
"S """"",S_a75fadfe,"Отлично, ты можешь настроить его так, чтобы даже я не знала, куда он меня отправит?",,,,,
"C """"",C_42538697,(В теории могу...),,,,,
"S """"",S_c0c81ded,Мне нужно не в теории!,,,,,
"C """"",C_a34f7c5a,"(Хорошо, я сделаю это. Что-то мне не нравятся вся эта перспектива. Надеюсь, Королева Клинков не узнает, что в этом и я замешан... не хотелось бы вот так вот пропасть...)",,,,,
"S """"",S_f5a5934a,Ты должен переместить меня как можно дальше отсюда.,,,,,
"S """"",S_9587c939,"Так мы выиграем время. И, возможно, пока она доберется сюда, я смогу обратно подчинить свое тело!",,,,,
"S """"",S_11eb1b6c,"Шанс, что это сдержит ее, не такой большой, как хотелось бы. Но это лучше, чем ничего!",,,,,
"S """"",S_22b7dbe1,А-а-а-ах!!! Тебе стоит поспешить. Она очень быстро набирает силы. Ты можешь не успеть.,,,,,
"""""",narrator_c580741a,"Вдруг из стены появилось странное существо и сразу же начало издавать звуки, связанные с настройкой канала. Сара догадывалась, что на таком большом корабле должна была быть система быстрой переброски сил в самые разные точки корабля.",,,,,
"""""",narrator_ac87733f,Но теперь ей посчастливилось увидеть это вживую.,,,,,
"C """"",C_5758f7f9,(Ваш убер подан.),,,,,
"S """"",S_68fa137f,"Отлично, Сай'мон, отправляй меня уже отсюда!",,,,,
"C """"",C_94a7f783,(Тогда поехали!),,,,,
"centered """"",centered_58aa6f77,"Канал Нидуса, так называли его зерги. Это было еще то мерзкое существо, никто не знал принципы его работы, были лишь догадки. Возможно, он мог транспортировать существ с помощью небольших черных дыр, которые Левиафан генерирует внутри себя, а возможно, это была сеть тоннелей по всему кораблю.",,,,,
"centered """"",centered_1d04c013,Одно было ясно точно: он все равно оставался мерзким и скользким.,,,,,
"S """"",S_a7aedf11,Кхе-кхе-кхе... черт... меня чуть не вырвало от него...,,,,,
"S """"",S_2f900e6c,Что за вонь стоит внутри...,,,,,
"S """"",S_e9e12dd6,Аххх... нет! Еще рано...,,,,,
"""""",narrator_5aada39d,"Сара осмотрела комнату, в которой оказалась.",,,,,
"S """"",S_8c562373,"Только подумать, какой же огроменный этот корабль, его нельзя сравнить с крейсером. Но это сыграет нам на руку...",,,,,
"S """"",S_131ab461,{size=+4}А-А-А-А-А-А-АРГ!!!{/size},,,,,
"""""",narrator_b6759ead,"Приступы начинались все чаще, Сара вовсю ощущала, что Королева Клинков рядом, она с каждым мгновением набирала все больше сил, а Сара их теряла.",,,,,
"S """"",S_19c12d4e,"Кажется, это мой предел...{w} Я больше не успею ничего сделать...{w} Надеюсь, этого будет достаточно.",,,,,
"S """"",S_aba7ed9e,{size=-4}П-просто дождитесь меня...{/size},,,,,
"""""",narrator_694e6b1c,"Девушка четко ощущала, как Королева Клинков поглощала всю власть над телом, занимая главенствующее место.",,,,,
"S """"",S_40fac1e0,{size=-6}Я скоро вернусь...{/size},,,,,
"S1 """"",S1_d9427941,*Пронзающий визг*,,,,,
"S1 """"",S1_e5f0d0ea,*Тяжелое дыхание*,,,,,
"S1 """"",S1_0fa06229,"Как подло, Сара... Ты так сильно хочешь мне помешать?",,,,,
"S1 """"",S1_d9ea607f,"Какое сильное сопротивление, но все бесполезно. Как жалко, наверное. Ведь меня ничего не остановит, хи-хи.",,,,,
"S1 """"",S1_1619a309,Хм... и куда же я попала...,,,,,
"""""",narrator_54d49166,"План Сары был весьма неплох, он действительно сработал. Королева Клинков не знала, где она находится.",,,,,
"S1 """"",S1_70617264,"Какая разница, знакомая местность или нет? Пока у нас есть эта сила...",,,,,
"S1 """"",S1_fadc8ff1,"Дааа!!! Отлично, это не так сложно, как кажется.",,,,,
"""""",narrator_ed8aa206,"Новые способности удивляли даже саму Королеву, она продолжала осваиваться и узнавать свои возможности, предела которых, казалось бы, не видно.",,,,,
"S1 """"",S1_dd1d5000,"Ч-что за??? Она не стабильна, хм...",,,,,
"S1 """"",S1_82b01b91,"Получается, в текущем состоянии я не могу управлять черными дырами...",,,,,
"S1 """"",S1_6100f894,"Черт, мне нужно больше практики. Возможно, у меня бы получилось, но даже так прыгать в нее... это было бы безумно.",,,,,
"S1 """"",S1_647fdeb4,Ничего немного практики и у меня все получится...,,,,,
"S1 """"",S1_2c2fb4ba,А сейчас тогда воспользуемся более старинными методами...,,,,,
"""""",narrator_57812c0e,"Королева Клинков решила прибегнуть к своему острому обонянию. С помощью которого она собиралась выследить жертву, которая с радостью поделилась бы своим семенем.",,,,,
"S1 """"",S1_76ff12b3,{size=-8}Я все чувствую...{/size},,,,,
"S1 """"",S1_ec907576,{size=+4}Я чувствую ЕГО!!!{/size},,,,,
"S1 """"",S1_062a80d2,{size=+8}Кто-то нуждается в моей помощи. Это сильный запах... это желание... ДА!!!{/size},,,,,
"S1 """"",S1_09246d99,"В этой стороне! Если я ускорюсь, то это не займет много времени...",,,,,
"S1 """"",S1_7accca80,Не могу же я заставлять бедняжку ждать.,,,,,
"S1 """"",S1_d6e56206,"Тем более когда от него исходит такой аромат! Это не в моих правилах, хи-хи.",,,,,
"""""",narrator_8e2c9099,"Несмотря на слабость Королевы, она все равно была весьма оживлена, и исходящий аромат от ее жертвы еще больше давал ей сил, ведь она так яро жаждала его.",,,,,
"centered """"",centered_2ddfbf53,"Королева Клинков не обращала внимания, как далеко ее попыталась забросить Сара. Все ее внимание было сосредоточено на сильном и властном зове. Она стремительно приближалась к нему.",,,,,
"S1 """"",S1_f98c0c50,"Кто-то так сильно хочет трахаться? Сложно представить, с чем предстоит иметь дело. По сравнению с ним остальные запахи не так сильны, на них даже не хочется обращать внимание...",,,,,
"S1 """"",S1_8e36052b,"Кто же он такой... Любопытство только подливает масла в огонь! Так становится еще интереснее, хи-хи.",,,,,
"centered """"",centered_c64b598e,"Девушка ускорилась, мотивированная собственным любопытством и голодом. Она была готова потратить все свои силы, лишь бы только узнать, от кого исходит этот зов.",,,,,
"S1 """"",S1_d87d0b7d,Хм... Неужели столько желания исходит от такого маленького зерглинга?,,,,,
"Z """"",Z_d71fa34c,Скир?,,,,,
"S1 """"",S1_2dd1d813,"Как любопытно, ошибки быть не может. Это точно он!",,,,,
"S1 """"",S1_975e973f,Так даже еще лучше!,,,,,
"""""",narrator_d2405a82,"Королева Клинков медленно начала приближаться к зерглингу, который до этого ворочался во сне. Он был вынужден проснуться от посторонних звуков.",,,,,
"Z """"",Z_a4e38809,Скри...,,,,,
"S1 """"",S1_eb77895f,"Такой маленький и такой похотливый, ммм, от этого я хочу тебя еще сильнее.",,,,,
"""""",narrator_d036b319,"Рассматривая его, она пару раз обошла вокруг, после чего присела на корточки, внимательно осматривая причиндал.",,,,,
"S1 """"",S1_e36f7492,Ахх... это просто великолепно...,,,,,
"S1 """"",S1_706a8166,"У меня на тебя большие надежды, малыш.",,,,,
"Z """"",Z_b07f2d08,(Самка? Чувствую самку!),,,,,
"""""",narrator_620bd292,"[zergling_s_name!t] резко подскочил к Королеве Клинков, принюхиваясь к ней.",,,,,
"S1 """"",S1_edf71dbf,"Какой ты активный. Видно, не одну меня это все нехило завело, хи-хи.",,,,,
"Z """"",Z_d380c79a,(Самка приятно пахнет! Хочу самку!),,,,,
"Z """"",Z_083db334,*Скр-скр-скр*,,,,,
"S1 """"",S1_537dbf4a,"Ты так весь извелся, бедняжка... Как же я могу отказать тебе?",,,,,
"Z """"",Z_763fcf39,(Самка хочет меня! Самка пахнет сильнее!),,,,,
"Z """"",Z_87a5d0a0,*Скиир!*,,,,,
