location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_395dd0f6,,,,,,
"Aside12 """"",Aside12_5dc84602,,,,,,
"S """"",S_358e5550,,,,,,
"""""",narrator_72c052a7,,,,,,
"""""",narrator_13bebb8f,,,,,,
"S """"",S_ecb54477,Quanto tempo sei stato qui? Mi stai guardando dormire?,,,,,
"A """"",A_0ab03797,Ah ah ah!,,,,,
"A """"",A_79d5561f,"Smettila, certo che no! Sono appena arrivato, non pensavo che saresti ancora addormentato. Esaurito te stesso molto ieri?",,,,,
"A """"",A_0ab03797_1,Ah ah ah!,,,,,
"S """"",S_9c8e7fa9,S-stai zitto!,,,,,
"A """"",A_efb51838,"Se lo dici tu. Penso che sia giunto il momento del tuo prossimo test, dal momento che stai imparando al volo, quindi ecco un regalo per te.",,,,,
"S """"",S_8a93667b,Eh ??? Il prossimo test? Regalo?,,,,,
"S """"",S_90d3e4e0,"(Oh dio, che idee perverse ha ottenuto questa volta...)",,,,,
"S """"",S_341afef9,Non voglio regali da te.,,,,,
"A """"",A_ed1485b1,"Beh, vedi, fa parte del prossimo test, quindi dovrai prenderlo.",,,,,
"S """"",S_3b6a4d8b,,,,,,
"A """"",A_b588c3a2,"Potresti fare il prossimo test senza di esso, ma non vuoi scappare prima piuttosto che dopo?",,,,,
"S """"",S_5fd5d204,,,,,,
"S """"",S_6a1b84f0,Ma stai scherzando?,,,,,
"A """"",A_316840c8,Ovviamente no.,,,,,
"S """"",S_3b6a4d8b_1,,,,,,
"S """"",S_3060d774,Questo mi aiuterà davvero?,,,,,
"A """"",A_00521dd8,Assolutamente.,,,,,
"S """"",S_3b6a4d8b_2,,,,,,
"S """"",S_49e64e1f,"Va bene, dammelo.",,,,,
"""""",narrator_fe6ef1b0,Stukov si avvicinò a Sarah e le porse un contenitore con il regalo di Sarah.,,,,,
"S """"",S_51e9d89f,"(Hm, che strano contenitore...)",,,,,
"A """"",A_a39a7394,"Forse ti starai chiedendo, cosa stanno facendo queste cose in una base di zerg?",,,,,
"A """"",A_ab992740,"Bene, vedi, ho un grande rivenditore di tali 'prodotti'.",,,,,
"A """"",A_ea39978f,Forse ti permetterò di incontrarlo un giorno e sarai in grado di ordinare ciò di cui hai bisogno da solo.,,,,,
"S """"",S_e1c373bd,,,,,,
"S """"",S_6a961463,(Potrebbe essere la mia possibilità di lasciare questo posto?),,,,,
"C """"",C_462f1d5d,(Non sei ancora stanco di te stesso?),,,,,
"S """"",S_9d7e6b2c,,,,,,
"""""",narrator_bb649ff6,Sarah guarda dentro il contenitore e nota cosa è il 'presente'.,,,,,
"S """"",S_5fd5d204_1,,,,,,
"S """"",S_987e2eaf,Stai... mi stai prendendo in giro ?!,,,,,
"A """"",A_93dc04ce,,,,,,
"C """"",C_36dc685e,"(Hmm, ha un buon gusto, mi piace.)",,,,,
"S """"",S_1fbec3b0,(Nessuno ti ha chiesto !!!),,,,,
"C """"",C_a907751c,,,,,,
"A """"",A_6ce60788,"La tua reazione è stata inutile, proprio come immaginavo che fosse!",,,,,
"S """"",S_96ee733d,Come può QUESTO aiutarmi a uscire da qui ???,,,,,
"A """"",A_9883d2f1,"Come ti ho detto prima, questo ti aiuterà con il tuo prossimo test.",,,,,
"A """"",A_112eaeaf,Il che significa che ti aiuterà a uscire da qui più velocemente.,,,,,
"A """"",A_4a3407a8,"Sono sicuro che ti piacerà. Hai un sacco di tempo, non avere fretta.",,,,,
"A """"",A_cddb7e05,Dovresti... 'esplorare' il regalo.,,,,,
"A """"",A_596af930,"Quando sei pronto, chiamami. Ma ti prego, non sprecare un'eterna eternità su di esso.",,,,,
"A """"",A_a58a8a7c,Penso che capirai cosa farne abbastanza rapidamente.,,,,,
"A """"",A_a578d141,Ha-ha-ha!,,,,,
"A """"",A_e477c056,Un grande giorno.,,,,,
"""""",narrator_e2454712,"Stukov si diresse verso l'uscita, canticchiando la sua melodia preferita.",,,,,
"""""",narrator_575f75e7,"Prima di andarsene, si voltò e fece l'occhiolino a Sarah.",,,,,
"S """"",S_3b6a4d8b_3,,,,,,
"S """"",S_d1655d6a,"Avevo ragione, ha avuto un sacco di idee perverse.",,,,,
"C """"",C_3ce06f97,(Hai detto lo stesso per il cibo. Devo ricordarti la tua opinione su questo ora?),,,,,
"S """"",S_5fd5d204_2,,,,,,
"S """"",S_3ca14acf,È una questione completamente diversa! Non puoi confrontarlo e questo!,,,,,
"C """"",C_462085a0,"(Bene, dì quello che vuoi, ma se vuoi andartene, dovresti abituarti a tutto ciò che c'è qui intorno.)",,,,,
"S """"",S_3b6a4d8b_4,,,,,,
"""""",narrator_97588a43,Articolo 'contenitore' aggiunto all'inventario.,,,,,
"""""",narrator_31831ac2,"È un contenitore robusto e affidabile, adatto a trasportare una varietà di cose. È spazioso e ha un sigillo sottovuoto.",,,,,
