location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_07d8be1f,,,,,,
"S """"",S_5f4fa66c,,,,,,
"C """"",C_cb4727a3,,,,,,
"S """"",S_5f4fa66c_1,,,,,,
"C """"",C_cb4727a3_1,,,,,,
"S """"",S_021adcd4,,,,,,
"C """"",C_7a5ffad2,,,,,,
"C """"",C_4a507dfa,(Che cos'è?),,,,,
"S """"",S_8aba52ba,IO...,,,,,
"S """"",S_8aba52ba_1,IO...,,,,,
"S """"",S_e5444573,Non ce la faccio più Ho bisogno di mangiare.,,,,,
"C """"",C_6adbdf4a,(Ah-ha! Te l'avevo detto! Il tentacolone ha fatto colpo...),,,,,
"S """"",S_14dfbbb3,Smettila. Ho fame.,,,,,
"C """"",C_864a001a,,,,,,
"C """"",C_ab3a311c,"(Va bene, così sia.)",,,,,
"C """"",C_cc836680,(Devi venire dal quella cosa che pende dal soffitto e metterti in ginocchio.),,,,,
"S """"",S_1fc736da,,,,,,
"""""",narrator_c435b5ce,Sarah arrivò al tentacolo e si inginocchiò.,,,,,
"S """"",S_507cef62,Qual'è il prossimo?,,,,,
"C """"",C_a5ff2452,(Ora apri la bocca e preparati a ricevere il 'cibo'.),,,,,
"S """"",S_c71e855c,Cosa???,,,,,
"S """"",S_6f866bf9,"(Oh no, che roba perversa!)",,,,,
"S """"",S_3a0a8669,"(Sta gocciolando sulla mia gamba! Yuck, schifoso!)",,,,,
"C """"",C_3c59b26e,"(Guarda, non l'ho inventato, ti sto solo dicendo quello che so.)",,,,,
"S """"",S_c13847c5,"Forse non eri tu, ma questo pervertito Stukov è sicuramente dietro a quello!",,,,,
"C """"",C_7336d333,(Dovrai farlo se non vuoi morire di fame e morire.),,,,,
"C """"",C_f6f30200,"(Fidati di me, ti piacerà.)",,,,,
"S """"",S_07d8be1f_1,,,,,,
"S """"",S_8b13ef84,,,,,,
"S """"",S_bf434451,"Bene, lo farò.",,,,,
"S """"",S_779cadbb,(Devo farlo!),,,,,
"S """"",S_36079fdc,(Farò tutte queste 'prove' e poi pagheranno tutto!),,,,,
"C """"",C_c5ebdda3,"(Sì, sì, vai al lavoro.)",,,,,
"S """"",S_21aaedde,,,,,,
"""""",narrator_23e9599b,Sarah apre leggermente la bocca.,,,,,
"S """"",S_50fc032f,Perché non sta succedendo nulla? Ho fatto come mi avevi detto.,,,,,
"C """"",C_b356b969,(Penso che tu abbia bisogno di aprire la bocca più larga.),,,,,
"S """"",S_42824de5,"(Dannazione, è strano.)",,,,,
"""""",narrator_41576a32,"Sarah è imbarazzata, ma lo fa comunque.",,,,,
"S """"",S_0b450efa,Come quello?,,,,,
"S """"",S_8fba1860,AAAAAA.,,,,,
"C """"",C_1ed9e26d,(Questo è tutto.),,,,,
"""""",narrator_37beb212,Il tentacolo cominciò a gonfiarsi e a contrarsi.,,,,,
"C """"",C_061fe54a,"(Funziona, siii è pronto.)",,,,,
"""""",narrator_e1e85d5f,*SPLOOOOOOSH*{w=1.0}{nw},,,,,
"""""",narrator_e1e85d5f_1,*SPLOOOOOOSH*{w=1.0}{nw},,,,,
"""""",narrator_1a6e6255,*SPLOOOOOOSH*{w=1.0},,,,,
"""""",narrator_30c5320e,Un denso liquido verde uscì dal tentacolo.,,,,,
"""""",narrator_7cd03b00,Si schizzò sulla faccia di Sarah e le riempì la bocca.,,,,,
"""""",narrator_3d62e06d,,,,,,
"S """"",S_ee369b48,,,,,,
"""""",narrator_5005bbd6,Il tentacolo si ridusse lentamente. I resti del liquido scorrevano sul pavimento.,,,,,
"S """"",S_f80396d0,(Cos'è quello?!!),,,,,
"C """"",C_31562eb0,,,,,,
"S """"",S_6f259015,"(Che cosa stai ridendo, deficiente ?! Che cosa è questa schifezza che ho in bocca ?!)",,,,,
"C """"",C_3e10dfd3,(Questo è il tuo 'cibo'.),,,,,
"S """"",S_400b9434,(Eh... cosa?),,,,,
"C """"",C_c8354ceb,(Sì. Inghiottilo.),,,,,
"S """"",S_f0d7ab1f,"(Ew... no, è disgustoso e puzza!)",,,,,
"S """"",S_4212ab43,"(Oh, quell'odore...)",,,,,
"S """"",S_58211e05,(Non posso ingoiarlo!),,,,,
"S """"",S_906f8e4a,(Non so nemmeno cosa confrontare questo odore con....),,,,,
"S """"",S_d0cb6823,(Per non parlare del gusto...),,,,,
"S """"",S_bde476dd,(Non lo inghiottirò!),,,,,
"C """"",C_4707fad9,"(Puoi dire quello che vuoi, ma posso sentire quanto sia piacevole per te.)",,,,,
