location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_c68dcafd,,,,,,
"A """"",A_d64ee27a,,,,,,
"S """"",S_78a4d054,,,,,,
"S """"",S_d8d532ce,Si'...,,,,,
"A """"",A_f3e4f40a,,,,,,
"A """"",A_9f7523ef,Eh-eh-eh.,,,,,
"S """"",S_78a4d054_1,,,,,,
"S """"",S_32d58977,,,,,,
"A """"",A_b159e327,,,,,,
"""""",narrator_78ab9eae,,,,,,
"Aside10 """"",Aside10_a2ca05a7,Inizio.,,,,,
"S """"",S_061f5442,,,,,,
"S """"",S_09cffa61,Non hai intenzione di legarmi più?,,,,,
"Aside10 """"",Aside10_fdc8701a,No. Penso che lo farai tu stesso. Tu sei?,,,,,
"S """"",S_7c33d014,Io... io...,,,,,
"S """"",S_766f29c2,Sì! Riesco a farlo!,,,,,
"C """"",C_89235d99,(Questo è lo spirito! Ha-ha-ha!),,,,,
"Aside2 """"",Aside2_a8e41f10,Non vergognarti tanto. Starai bene.,,,,,
"S """"",S_8f237882,Tutto apposto...,,,,,
"""""",narrator_e39409b7,Sarah toglie con sicurezza la parte superiore dell'armatura.,,,,,
"""""",narrator_20dcf49a,I suoi seni sono ora solo parzialmente coperti dal reggiseno. Si sente ancora a disagio e si copre. Le sue guance diventano visibilmente rosse.,,,,,
"S """"",S_78a4d054_2,,,,,,
"Aside11 """"",Aside11_6887af72,Mm-hmm. Avrei volentieri accarezzato un tale petto meraviglioso!,,,,,
"S """"",S_78a4d054_3,,,,,,
"S """"",S_ab3dc132,"No, fermalo. Mi stai mettendo in imbarazzo ancora di più!",,,,,
"Aside4 """"",Aside4_f584680d,Hahaha!,,,,,
"Aside11 """"",Aside11_ff75304c,Forse puoi farlo da solo? I tuoi capezzoli sono già in piedi?,,,,,
"S """"",S_44c55eaf,,,,,,
"S """"",S_65a21cbf,No! Andiamo avanti...,,,,,
"Aside10 """"",Aside10_a78ad56f,Belle. Allontana la mano,,,,,
"S """"",S_ae5b7317,Ah... io...,,,,,
"S """"",S_c87fa946,Io... non posso...,,,,,
"S """"",S_7ad5e608,Non lo farò!,,,,,
"Aside8 """"",Aside8_79ac6726,,,,,,
"Aside9 """"",Aside9_3a728684,Va bene.,,,,,
