location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_ae9f2ff4,,,,,,
"""""",narrator_6e9a5c01,,,,,,
"""""",narrator_cb0964e0,,,,,,
"""""",narrator_18b63fd3,,,,,,
"""""",narrator_97e2fc5d,,,,,,
"S """"",S_eee8e842,,,,,,
"""""",narrator_1e3ead92,,,,,,
"""""",narrator_00c30dbb,,,,,,
"S """"",S_9b747270,,,,,,
"""""",narrator_2de7900d,,,,,,
"HYside1 """"",HYside1_4b9689d4,,,,,,
"HYside2 """"",HYside2_f4f7d89a,,,,,,
"""""",narrator_196d041a,,,,,,
"""""",narrator_8fb6dd4c,,,,,,
"S """"",S_41611622,,,,,,
"""""",narrator_028cf4be,,,,,,
"S """"",S_5e86c5f8,,,,,,
"""""",narrator_5f558b8e,,,,,,
"HYside1 """"",HYside1_4311f2c6,,,,,,
"HYside2 """"",HYside2_fdda0640,,,,,,
"HYside1 """"",HYside1_a89691d0,,,,,,
"""""",narrator_44482fc1,,,,,,
"""""",narrator_14920a65,,,,,,
"S """"",S_706c0efe,,,,,,
"""""",narrator_bf73d343,,,,,,
"HYside1 """"",HYside1_359f22f6,,,,,,
"HYside2 """"",HYside2_7495d89e,,,,,,
"HYside1 """"",HYside1_34cf8541,,,,,,
"HYside1 """"",HYside1_6f78a74a,,,,,,
"""""",narrator_6e166c11,,,,,,
"S """"",S_5dd9092a,,,,,,
"S """"",S_6b7627e4,,,,,,
"S """"",S_d529e839,,,,,,
"S """"",S_6a855982,,,,,,
"""""",narrator_5d959d42,,,,,,
"S """"",S_706c0efe_1,,,,,,
"S """"",S_3110118e,,,,,,
"""""",narrator_43d2d2cc,,,,,,
"S """"",S_1a4d36ff,,,,,,
"S """"",S_06889c0b,,,,,,
"S """"",S_53a21a5d,*Sorso*,,,,,
"extend """"",extend_d59d9bc6,*Sorso*,,,,,
"S """"",S_cff8a7e6,,,,,,
"S """"",S_e15a8ae2,,,,,,
"""""",narrator_752db4ce,,,,,,
"S """"",S_53a21a5d_1,*Sorso*,,,,,
"extend """"",extend_d59d9bc6_1,*Sorso*,,,,,
"S """"",S_557aa767,"(Shit, it's closer. Let me go!)",,,,,
"S """"",S_497a7daa,,,,,,
"S """"",S_f6cd41b2,,,,,,
"S """"",S_6a855982_1,,,,,,
"S """"",S_8b4580ff,,,,,,
"S """"",S_f8f373ad,*Sorso*,,,,,
"""""",narrator_ce8356fd,,,,,,
