location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_ce46f2b4,,,,,,
"S """"",S_c211d0e1,,,,,,
"C """"",C_ab7999b3,,,,,,
"S """"",S_c1969b03,,,,,,
"S """"",S_dd0c5c4e,,,,,,
"C """"",C_9aafd837,,,,,,
"S """"",S_55d741ff,,,,,,
"S """"",S_28a13cca,,,,,,
"C """"",C_0133bdae,,,,,,
"S """"",S_78f41f1a,,,,,,
"C """"",C_b5f099dc,,,,,,
"S """"",S_22c542db,,,,,,
"C """"",C_05e0a29a,,,,,,
"S """"",S_a0589725,,,,,,
"C """"",C_d24af550,,,,,,
"S """"",S_458fd6f1,,,,,,
"S """"",S_a22caf15,,,,,,
"C """"",C_10e1046e,,,,,,
"S """"",S_9f341cbd,,,,,,
"C """"",C_9c9a2472,,,,,,
"S """"",S_534012eb,,,,,,
"S """"",S_5f6c106f,,,,,,
"C """"",C_a0dc26f8,,,,,,
"S """"",S_c69851ab,,,,,,
"""""",narrator_1aee571a,,,,,,
"S """"",S_c8be1fc6,,,,,,
"S """"",S_ebd72d2b,,,,,,
"C """"",C_ddca2c69,,,,,,
"S """"",S_30e46d57,,,,,,
"C """"",C_b044b4a0,,,,,,
"S """"",S_62c8f5b1,,,,,,
"S """"",S_c741687f,,,,,,
"S """"",S_76ac349b,,,,,,
"C """"",C_41249fe2,,,,,,
"""""",narrator_669a1be9,,,,,,
"S """"",S_fe57f2b9,,,,,,
"""""",narrator_274dffe6,,,,,,
"S """"",S_21f1bcdc,,,,,,
"S """"",S_229178dc,,,,,,
"S """"",S_19b78ced,,,,,,
"""""",narrator_3a61971d,,,,,,
"S """"",S_75f46a77,,,,,,
"S """"",S_7e765412,,,,,,
"""""",narrator_e5b0150d,,,,,,
"S """"",S_8fad836f,,,,,,
"S """"",S_640e91ce,,,,,,
"C """"",C_b54bd9f8,,,,,,
"S """"",S_0a5ab80c,,,,,,
"S """"",S_2543a1a5,,,,,,
"S """"",S_5339c338,,,,,,
"S """"",S_9b4777c2,,,,,,
"C """"",C_79701469,,,,,,
"S """"",S_8eebbdb0,,,,,,
"""""",narrator_eda7cb26,,,,,,
"S """"",S_c19ee220,,,,,,
"S """"",S_54e63d43,,,,,,
"""""",narrator_4c2eb168,,,,,,
"""""",narrator_cbe5b3c4,,,,,,
"S """"",S_505184ad,,,,,,
"S """"",S_d4228356,,,,,,
"S """"",S_72b042f4,,,,,,
"S """"",S_3bc94827,,,,,,
"""""",narrator_1391b416,,,,,,
"S """"",S_d9cc0ab9,,,,,,
"S """"",S_753879fc,,,,,,
"S """"",S_055d6e16,,,,,,
"C """"",C_7a8ac4f6,,,,,,
"S """"",S_a5f58150,,,,,,
"C """"",C_f67fe8cf,,,,,,
"S """"",S_7a1b99fe,,,,,,
"""""",narrator_698c2bb9,,,,,,
"S """"",S_83d8983b,,,,,,
"C """"",C_5d87a09c,,,,,,
"S """"",S_ef7ad3dd,,,,,,
"C """"",C_eee64a3d,,,,,,
"S """"",S_d27c2f49,,,,,,
"""""",narrator_08fc3d54,,,,,,
"S """"",S_6cdda6eb,,,,,,
"S """"",S_3e1d4d5c,,,,,,
"""""",narrator_2469d59d,,,,,,
"S """"",S_35ff4dbd,,,,,,
"C """"",C_88718960,,,,,,
"S """"",S_1c8314af,,,,,,
"C """"",C_30d6c2ec,,,,,,
"""""",narrator_5501b8e4,,,,,,
"S """"",S_a0ba642c,,,,,,
"C """"",C_ba7889a1,,,,,,
"S """"",S_27c99e97,,,,,,
"C """"",C_f0aec115,,,,,,
"S """"",S_63517391,,,,,,
"C """"",C_37063dcf,,,,,,
"S """"",S_e2e3615b,,,,,,
"S """"",S_de98c112,,,,,,
"S """"",S_e63df44c,,,,,,
"S """"",S_4964e51a,(Ahhh... mmm...),,,,,
"""""",narrator_7edc4f4a,,,,,,
"""""",narrator_cdcc95c8,,,,,,
"S """"",S_07086b68,,,,,,
"S """"",S_b9bba416,,,,,,
"S """"",S_72deba51,,,,,,
"C """"",C_7bb6ed53,,,,,,
"S """"",S_da2e24da,,,,,,
"S """"",S_fe5a66d2,,,,,,
"""""",narrator_73021d72,,,,,,
"""""",narrator_7d65cc86,,,,,,
"C """"",C_02c12cab,,,,,,
"S """"",S_f1c3141b,,,,,,
"S """"",S_afc7850e,Mmmmmmmmmnph !!!,,,,,
"""""",narrator_e4e72e77,,,,,,
"S """"",S_076595f8,,,,,,
"""""",narrator_32ce713b,,,,,,
"S """"",S_b786830c,,,,,,
"S """"",S_59cf492f,,,,,,
"C """"",C_81e30e2d,,,,,,
"""""",narrator_3a019fc0,,,,,,
"S """"",S_ef1c4a7d,,,,,,
"C """"",C_6e26e70d,,,,,,
"S """"",S_56502fdc,,,,,,
"""""",narrator_dcda5eac,,,,,,
"S """"",S_5efdb698,,,,,,
"S """"",S_80c3ddf4,,,,,,
"C """"",C_4ac73fdd,,,,,,
"S """"",S_8516ea10,,,,,,
"S """"",S_e538cdea,,,,,,
"""""",narrator_e0e45b60,,,,,,
"S """"",S_b7bc6155,,,,,,
"C """"",C_11ee95c8,,,,,,
"S """"",S_243afa7f,,,,,,
"C """"",C_e2d3c62a,,,,,,
"S """"",S_fa984517,,,,,,
"S """"",S_8474af17,,,,,,
"C """"",C_fdabba25,,,,,,
"C """"",C_2156583b,,,,,,
"S """"",S_099750ec,,,,,,
"C """"",C_9410ad44,,,,,,
"S """"",S_f68a6eee,,,,,,
"S """"",S_61b40c82,,,,,,
"S """"",S_f984138c,,,,,,
"S """"",S_eb67cbc6,,,,,,
"C """"",C_2dae5570,,,,,,
"S """"",S_4b1c900f,,,,,,
"C """"",C_484be2d5,,,,,,
"S """"",S_2a906c57,,,,,,
"C """"",C_dd94a8d5,,,,,,
"S """"",S_41a6f698,,,,,,
"S """"",S_f8256b91,,,,,,
"C """"",C_b5e7fc22,,,,,,
"S """"",S_52149e8f,,,,,,
"S """"",S_90c61dac,,,,,,
"C """"",C_faa78dcb,,,,,,
"S """"",S_0fe2ad85,,,,,,
"""""",narrator_8fc51ddf,,,,,,
"S """"",S_cf208c88,,,,,,
"S """"",S_34f19c12,,,,,,
"S """"",S_83a24845,,,,,,
"C """"",C_47f5c290,,,,,,
"S """"",S_4eb4da1e,,,,,,
"C """"",C_d33cbe29,,,,,,
"S """"",S_4dd98019,,,,,,
"C """"",C_064031d8,,,,,,
"""""",narrator_26a90d50,,,,,,
"S """"",S_45212c4f,,,,,,
"S """"",S_c02cd545,,,,,,
"""""",narrator_92c8d507,,,,,,
"S """"",S_7be78f9a,,,,,,
"""""",narrator_e315ec1d,,,,,,
"S """"",S_83ab66aa,,,,,,
"S """"",S_9696f4b6,,,,,,
"""""",narrator_053cdce2,,,,,,
"S """"",S_4af3e51b,,,,,,
"C """"",C_f70f0475,,,,,,
"S """"",S_2d7b8f43,,,,,,
"""""",narrator_91c3a463,,,,,,
"S """"",S_98e393e4,,,,,,
"C """"",C_82802fb7,,,,,,
"S """"",S_0d95e8d9,,,,,,
"S """"",S_78ff764c,,,,,,
"""""",narrator_3c170dfe,,,,,,
"""""",narrator_e7b707f1,,,,,,
"""""",narrator_b900d8a7,,,,,,
"""""",narrator_a8911bd1,,,,,,
"S """"",S_8e51ea6b,,,,,,
"S """"",S_3392342f,,,,,,
"S """"",S_834ad7e6,,,,,,
"""""",narrator_66e9c470,,,,,,
"""""",narrator_5c54db5b,,,,,,
"S """"",S_9ea2bea5,,,,,,
"""""",narrator_174355d7,,,,,,
"S """"",S_0ae848e5,,,,,,
"S """"",S_dd97d536,,,,,,
"""""",narrator_b952e57d,,,,,,
"S """"",S_14f6277e,,,,,,
"C """"",C_3db74aca,,,,,,
"S """"",S_1581f434,,,,,,
"""""",narrator_d12e17ea,,,,,,
"S """"",S_94300fc5,,,,,,
"S """"",S_c712c5fa,,,,,,
"C """"",C_78bbb182,,,,,,
"S """"",S_b9fb6472,,,,,,
"C """"",C_7e13e280,,,,,,
"S """"",S_816d2c09,,,,,,
"C """"",C_1752b35a,,,,,,
"S """"",S_432c3002,,,,,,
"S """"",S_efb2ff0b,(Ahhh... mmm...),,,,,
"""""",narrator_9ec76699,,,,,,
"S """"",S_0aa63e2e,,,,,,
"S """"",S_d5a06545,,,,,,
"C """"",C_2786ad0f,,,,,,
"S """"",S_db8e0e22,,,,,,
"""""",narrator_353b0c4c,,,,,,
"S """"",S_caab6935,,,,,,
