"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"S """"","S_140fe528","","","False","","",""
"S """"","S_9cee525c","","","False","","",""
"C """"","C_60deadd0","","","False","","",""
"S """"","S_8ba481ca","","","False","","",""
"C """"","C_82bd7d95","","","False","","",""
"S """"","S_8fed1152","","","False","","",""
"C """"","C_b204f903","","","False","","",""
"C """"","C_2d6b3cc5","","","False","","",""
"S """"","S_a1ad192a","","","False","","",""
"C """"","C_15e73586","","","False","","",""
"S """"","S_7de3c414","","","False","","",""
"S """"","S_155cfcad","","","False","","",""
"S """"","S_046bdf0e","","","False","","",""
"""""","narrator_53fa61a0","","","False","","",""
"C """"","C_439e8dca","","","False","","",""
"S """"","S_4c4803fe","","","False","","",""
"""""","narrator_7fdfa1ca","","","False","","",""
"S """"","S_8d7b8503","","","False","","",""
"C """"","C_c958f342","","","False","","",""
"S """"","S_8b6728ed","","","False","","",""
"S """"","S_6a7ca00e","","","False","","",""
"C """"","C_407ee0f0","","","False","","",""
"S """"","S_2aa40032","","","False","","",""
"S """"","S_c0ebce6e","","","False","","",""
"S """"","S_6781c14b","","","False","","",""
"S """"","S_ac678de2","","","False","","",""
"S """"","S_57021da7","","","False","","",""
"S """"","S_7a859c0c","","","False","","",""
"S """"","S_89d83580","","","False","","",""
"S """"","S_6f03651e","","","False","","",""
"S """"","S_c8ad3e87","","","False","","",""
"S """"","S_6ee0ab88","","","False","","",""
"S """"","S_03789275","","","False","","",""
"S """"","S_809d73c2","","","False","","",""
"S """"","S_32618502","","","False","","",""
"S """"","S_74a5e5d8","","","False","","",""
"S """"","S_e17a036d","","","False","","",""
"S """"","S_4bc9ee89","","","False","","",""
"S """"","S_819f052a","","","False","","",""
"""""","narrator_af5db634","","","False","","",""
"S """"","S_bb1cc3b3","","","False","","",""
"""""","narrator_5f2edccc","","","False","","",""
"S """"","S_42e606c0","","","False","","",""
"S """"","S_507ba414","","","False","","",""
"S """"","S_137732de","","","False","","",""
"""""","narrator_9e0b8962","","","False","","",""
"S """"","S_8ffb77fb","","","False","","",""
"""""","narrator_5f2edccc_1","","","False","","",""
"S """"","S_1c077b29","","","False","","",""
"S """"","S_d5344f97","","","False","","",""
"S """"","S_00b4b689","","","False","","",""
"""""","narrator_d7094f3c","","","False","","",""
"S """"","S_c1b82cfc","","","False","","",""
"S """"","S_1c077b29_1","","","False","","",""
"""""","narrator_c84cd76e","","","False","","",""
"""""","narrator_d7094f3c_1","","","False","","",""
"S """"","S_969da8ab","","","False","","",""
"S """"","S_9b5441c4","","","False","","",""
"S """"","S_774cc298","","","False","","",""
"""""","narrator_70b8c977","","","False","","",""
