location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"C """"",C_d9037846,(Deciso di iniziare l'addestramento? Ottimamente.),,,,,
"S """"",S_06205f29,"No, volevo solo spogliarmi! Che domanda stupida!",,,,,
"C """"",C_e83a7023,"(Wisecracking, vero? Quindi stai bene. Sono soddisfatto.)",,,,,
"S """"",S_c75e2324,"(In realtà, questo esercizio non è così terribile. Il corpo deve respirare, a volte. O pensavi che questo avrebbe fermato i miei progressi???)",,,,,
"C """"",C_d4a19a2c,"(Al contrario, sapevo che non ti sarebbe dispiaciuto questa sciocchezza.)",,,,,
"S """"",S_62b2ee38,Esatto!,,,,,
"C """"",C_e2eb235d,(Mi incuriosisce persino sapere fino a che punto sei pronto per arrivare al potere.),,,,,
"S """"",S_41bb882a,"Spero che sia stato detto senza alcuna volgarità in mente, giusto?",,,,,
"C """"",C_14c6af64,"(Naturalmente, senza di loro.)",,,,,
"S """"",S_c3c2955d,"Ancora non ti credo, sai.",,,,,
"C """"",C_0b039f8c,(E giustamente.),,,,,
"S """"",S_9a4828c7,"(Anche se sono qui da molto tempo, è ancora così strano... e non mentiro'... l'idea che dovro ' stare tutto questo tempo senza vestiti mi eccita...)",,,,,
"C """"",C_c73a575b,(Questo è buono. Questa novità ci aiuterà a superare le vostre barriere mentali che realmente ci ostacolano.),,,,,
"S """"",S_ae6a3933,"Anzi, vorrei che lasciassi in pace le mie barriere... ma se e ' l'unico modo per migliorare...",,,,,
"""""",narrator_245ad45d,"Sepolto nella sua tavoletta, Stukov entrò nella stanza.",,,,,
"Aside9 """"",Aside9_5c98b122,"Bene, bene, bene, sono di buon umore oggi e ho appena finito tutto il mio lavoro, quindi ora possiamo...",,,,,
"""""",narrator_fac0682f,Stukov ha finalmente visto Sara in piedi senza vestiti in mezzo alla stanza. Ha un po ' scricchiolato di Gioiosa sorpresa.,,,,,
"A """"",A_5ab188ce,...fai buon uso del nostro tempo.,,,,,
"S """"",S_40a1beff,"(Cazzo, il suo tempismo è terribile come sempre!)",,,,,
"A """"",A_dc4d3067,"Vedo che non perdi tempo qui. E', ovviamente, molto encomiabile. Ma cosa stai facendo esattamente? Non ricordo di averti dato queste istruzioni.",,,,,
"S """"",S_bb0c7833,"Lo e'... beh, questo e ' un nuovo esercizio...",,,,,
"S """"",S_6f4968b0,Quindi mi sto allenando!,,,,,
"A """"",A_63daa6a5,"E ' una specie di addestramento speciale sui fantasmi? Hahaha, mi piace!",,,,,
"S """"",S_fb44a4d7,Ovviamente no! E ' stata Un'idea di Sai Mon.,,,,,
"C """"",C_e2f6a987,"(Non ho assolutamente niente a che fare con questo. A quanto pare, la nostra piccola Sarah ha deciso di sedurti con il suo corpo.)",,,,,
"A """"",A_819d3ca1,CE l'ha fatta!,,,,,
"S """"",S_bbf1bed0,"(Idiota, smettila di dire sciocchezze, sai che questo idiota ci Credera'...).",,,,,
"C """"",C_94ff50d4,"(Ok, ok, le ho dato un compito.)",,,,,
"C """"",C_f2ea7f14,(E per qualche motivo ha deciso di togliersi tutte le chiatte e ha detto che non le indossera ' per tre giorni.),,,,,
"S """"",S_f5e724c2,Stai mentendo di nuovo!,,,,,
"A """"",A_c18f8146,"Bravo ragazzo, dai, sai una cosa o due sull'allenamento, eh-heh-heh.",,,,,
"A """"",A_09e3b192,Sei riuscito a sorprendermi.,,,,,
"S """"",S_d5760b6a,,,,,,
"S """"",S_75e8e13d,(Maledetto... Il suo cazzo sembra prendere decisioni piu ' velocemente del suo proprietario! Sembra che mi stia fissando e Stukov sta penzolando dall'altra parte...),,,,,
"""""",narrator_2d9ca1e3,Questi pensieri divertivano Sarah e lei sorrideva.,,,,,
"A """"",A_b8554494,Vedo che ti piacciono gli esercizi Sai mon preparati anche per te.,,,,,
"S """"",S_648d3bc8,Non direi che mi piacciono. Ma li tollero. Chissa ' cosa Abathur avrebbe in serbo per me.,,,,,
"A """"",A_ac8743db,"Allora, qual e ' esattamente lo scopo di questo esercizio?",,,,,
"S """"",S_355d9441,Bella domanda... Sai Mon ha detto solo che dovrei fondermi con la fauna locale...,,,,,
"A """"",A_4684fc08,In realta ' e 'un'ottima idea che ti aiutera' di sicuro.,,,,,
"A """"",A_220f38b8,"Devi rilassarti, rilassarti, sei troppo teso.",,,,,
"S """"",S_4f4fe391,"Se non mi mangiassi con gli occhi e il tuo' amico 'non stesse trasmettendo che e' mezzogiorno nel suo piccolo mondo, avrei molto meno problemi con quello.",,,,,
"A """"",A_df5d4053,"Il mio 'amico', al contrario, dovrebbe motivarti. Che miglior complimento c'e ' per una ragazza che un cazzo duro. Non ho ragione?",,,,,
"S """"",S_a4311dba,Ma non la tua. Sono sicuro che ti prenderesti male se guardassi una mucca! Vedere una tetta e ' abbastanza per farti innervosire!,,,,,
"A """"",A_15d6d27c,"Hahaha, e ' stato un ottimo colpo. Ma ti sbagli un po'. Il tuo corpo causa un'erezione particolarmente forte. Se vuoi controllare quanto e ' forte, possiamo prendere un secchio d'acqua adesso.",,,,,
"S """"",S_4347a523,Un secchio d'acqua?... Cosa? Perche'?..,,,,,
"A """"",A_0fc57fa0,"Hahaha, sulla terra, era una cosa comune. Si potrebbe facilmente testare la forza del vostro erezione con grande precisione in questo modo.",,,,,
"S """"",S_82df977a,Che razza di idiota devi essere per inventartelo??? E qual e ' il punto???,,,,,
"A """"",A_be37447d,"Beh, a dire il vero... Ho sempre vinto... ed era una delle mie virtù...",,,,,
"S """"",S_30bb84a5,(E 'cosi' malato in testa?..),,,,,
"A """"",A_27b8c25b,E sai quanti litri potrei sollevare???,,,,,
"S """"",S_a88d5ce9,Non voglio saperlo!!!,,,,,
"A """"",A_b67e9779,Quattordici litri d'acqua! Ma sono abbastanza sicuro che ora solleverei tre secchi da dieci litri ciascuno!,,,,,
"A """"",A_ab271953,Dove sono i miei secchi?!,,,,,
"S """"",S_68edfa6a,"Quali secchi? Sei impazzito? Non devi misurare niente! Ti credo, sono trenta litri!",,,,,
"A """"",A_52be9907,,,,,,
"A """"",A_626d985a,Ehh... i bei vecchi tempi... comunque... di cosa stavamo parlando?..,,,,,
"A """"",A_52be9907_1,,,,,,
"A """"",A_e4cf38cd,Diritto...,,,,,
"A """"",A_78511cfb,"Forza, raddrizza la schiena, tira indietro le spalle, tira fuori i tuoi enormi mungitori e apri le guance.",,,,,
"A """"",A_c87d971a,So cosa puo ' aiutarti! E ' davvero una buona idea.,,,,,
"""""",narrator_796fb00e,"Stukov ha iniziato con orgoglio a spogliarsi, sparpagliando senza cerimonie i suoi vestiti per tutta la stanza.",,,,,
"S """"",S_d5760b6a_1,,,,,,
"S """"",S_c1512d4a,"Cos'hai in testa adesso?! Ehi, rimettiti la tua roba!... Aspetta, non lanciarli cosi'...!",,,,,
"A """"",A_85664d53,"Oh... Quindi, waaayyyyy meglio. Dannazione, odio questi stracci! Te l'ho detto?",,,,,
"S """"",S_188c8aba,Si'... piu ' di una volta...,,,,,
"A """"",A_9758a0c6,Bene... Odio i vestiti...,,,,,
"A """"",A_128e9089,"Beh, ora ti senti sicuro di te? Dovresti sentirti meglio. Ora non sei sola.",,,,,
"S """"",S_2bf74ed2,No! Questo è molto peggio!,,,,,
"S """"",S_4f846723,"(Oh... e 'cosi' vicino! Il suo cazzo è così vicino, così eccitato e probabilmente molto duro... Se si avvicina, Potro ' sentire il suo aroma...)",,,,,
"S """"",S_b5197431,(Dannazione! Lo voglio quasi! Cos'ho che non va?!),,,,,
"A """"",A_d1a0ed0c,"Non preoccuparti, ci vuole tempo, i nostri corpi si abitueranno l'uno all'altro.",,,,,
"A """"",A_8f73c053,"Allora, dove vuoi andare?",,,,,
"S """"",S_3cc950ec,Eh??? Andare? Di cosa stai parlando???,,,,,
"A """"",A_69e99cfe,"Non hai niente di cui preoccuparti, sara ' solo una passeggiata. Inoltre, sarò sempre vicino e ti sosterrò.",,,,,
"S """"",S_18352566,Sostenermi fissandomi e scuotendo il tuo cazzo? Rimettiti i vestiti!,,,,,
"S """"",S_78c3bbdd,Non voglio andare da nessuna parte! Specialmente con te... E soprattutto con uno di noi due nudi!,,,,,
"A """"",A_06e55976,Non fare cosi ' tanta attenzione. Immagina i vestiti.,,,,,
"S """"",S_10d34220,,,,,,
"S """"",S_5454947e,Lo stai facendo di nuovo!!!,,,,,
"A """"",A_00bef693,"Beh, sono felice che tu sia d'accordo. Andiamo.",,,,,
"A """"",A_98eab60d,* Inalato un boccale d'aria*,,,,,
"A """"",A_a7a025b8,*Espirare*,,,,,
"A """"",A_a52909a7,"Splendido, vero? Aria fresca, libertà e nessuna restrizione... fai quello che diavolo vuoi.",,,,,
"S """"",S_a69bbcb6,Non c'e ' aria fresca qui...,,,,,
"A """"",A_c0900c2f,Hai gia ' scelto dove stiamo andando?,,,,,
"S """"",S_b363b8b9,Scelto? E ' stata una tua idea! E ora vuoi che scelga dove andare?,,,,,
"A """"",A_bf8cac5b,Infatti.,,,,,
"A """"",A_71edcf80,"Volevi uscire così tanto! Ti sei arrampicato sul muro piu 'e piu' volte. Ora hai una grande opportunità per imparare qualcosa di nuovo sulla nave. Chi lo sa, forse troverai anche una via d'uscita?",,,,,
"S """"",S_5bf855f9,"... dici sul serio? Siamo nello spazio... anche se lo scoprissi, quale sarebbe la prossima mossa? Non ha alcun senso.",,,,,
"A """"",A_8479bf65,Avete provato a farvi queste domande quando vi siete arrampicati sul muro? Hahaha.,,,,,
"S """"",S_10d34220_1,,,,,,
"S """"",S_abc5bb84,"OK, hai vinto. Penso che non dovrebbe succedere niente di male da queste passeggiate.",,,,,
"""""",narrator_b7336142,* Fap-fap-fap*,,,,,
"""""",narrator_86bfa3c9,Sarah ha appena aperto gli occhi quando ha visto uno Stukov nudo. Il mezzo-zerg-mezzo-pervertito la guardava con un sorriso cattivo mentre lentamente accarezzava il suo cazzo duro.,,,,,
"A """"",A_20b42d77,Hehe... Buongiorno.,,,,,
"S """"",S_050cc4d6,Chi ha detto che va bene? Cosa c'e 'di buono quando c'e' un uomo con un hardon che mi fissa nella mia stanza?,,,,,
"A """"",A_4fedf61e,"Ecco perche ' va bene. Ogni altra ragazza sognerebbe questo, eh-heh-heh.",,,,,
"S """"",S_1c0b869c,Nessuna ragazza normale se lo immaginerebbe!,,,,,
"A """"",A_d381761a,"Ci sono tante opinioni quante sono le persone. Allora, sei pronta per la passeggiata di oggi?",,,,,
"S """"",S_83b5471d,"Che c'e', andiamo adesso? Non posso almeno mangiare prima?",,,,,
"A """"",A_2fe67d17,"In realta 'mi piacerebbe vedere questo processo, l'ultima volta e' stato molto emozionante. E tu, probabilmente, hai fatto qualche esperienza da allora. Abbastanza per compiacermi, di sicuro.",,,,,
"S """"",S_7640462c,"Sogna pure. Ok. Credo che sopravvivero ' senza colazione. Beh, diamoci una mossa!",,,,,
"A """"",A_96eefe09,"Hai tempo per pensarci due volte, aspettare non e ' un problema.",,,,,
"S """"",S_caeee25d,Puoi almeno controllare quella cosa?,,,,,
"A """"",A_6b4b9c2f,"Sta solo cercando di aiutarti a fare la scelta giusta. A quanto pare, ci ha investito parecchio.",,,,,
"S """"",S_20b801b2,"No, dobbiamo farla finita il prima possibile! Andare.",,,,,
"A """"",A_63510460,"Sembri piuttosto energico oggi. Allora, dove stiamo andando? Hai deciso?",,,,,
"""""",narrator_89dcb10f,Sarah si e 'svegliata e senza alzarsi dal letto si e' guardata intorno alla stanza. Stukov non era presente. La ragazza e ' felicemente saltata su.,,,,,
"S """"",S_04e825c1,Quel pervertito si e ' finalmente dimenticato di me?!,,,,,
"S """"",S_c991ed82,(Questo è improbabile. Forse aveva degli affari urgenti da sbrigare. Allora sono salvo. E non dovro ' andare con lui da nessuna parte!),,,,,
"S """"",S_45b943f1,"(Anche se, devo ammettere, è stato più divertente di quanto mi aspettassi.)",,,,,
"C """"",C_eb84d8a5,(E l'allenamento è più veloce se ti piace quello che stai facendo.),,,,,
"S """"",S_23b7a0fb,Non ho detto che mi piace. Ammetto che è molto eccitante.,,,,,
"S """"",S_d931dbce,Cosa fare adesso?..,,,,,
"A """"",A_e0ed9b69,"Mia cara Sarah, sono così sorpresa da questa chiamata! A proposito, stavo proprio pensando a te!",,,,,
