location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"""""",narrator_674fd925,,,,,,
"A """"",A_3bcc08ba,,,,,,
"S """"",S_7cceabbd,,,,,,
"S """"",S_354f57ad,,,,,,
"A """"",A_69a782ce,,,,,,
"S """"",S_2a2c2675,,,,,,
"A """"",A_8c3f52dc,,,,,,
"S """"",S_b04f4595,,,,,,
"A """"",A_a250c876,,,,,,
"S """"",S_c8429101,,,,,,
"A """"",A_fdc29756,,,,,,
"S """"",S_76e9f2a0,,,,,,
"A """"",A_d18dd633,,,,,,
"S """"",S_cebecdc1,,,,,,
"A """"",A_0ae830a2,,,,,,
"S """"",S_cfa097d8,,,,,,
"A """"",A_b599a574,,,,,,
"S """"",S_588b2f14,,,,,,
"A """"",A_d7c6255e,,,,,,
"S """"",S_2fc1a4bf,,,,,,
"A """"",A_9b1251c1,,,,,,
"S """"",S_98f50ffb,,,,,,
"A """"",A_2eff8010,,,,,,
"S """"",S_efe8ecd4,,,,,,
"A """"",A_22fcadff,,,,,,
"S """"",S_7eebda66,,,,,,
"A """"",A_f3ca6ad5,,,,,,
"S """"",S_738378a3,,,,,,
"A """"",A_20b89218,,,,,,
"S """"",S_492df74c,,,,,,
"A """"",A_e7bf850b,,,,,,
"S """"",S_c7eb3e26,,,,,,
"A """"",A_f811edbb,,,,,,
"A """"",A_5857cc06,,,,,,
"S """"",S_ac19c2c2,,,,,,
"A """"",A_9b1251c1_1,,,,,,
"C """"",C_e7c7a9df,,,,,,
"S """"",S_68c082b8,,,,,,
"S """"",S_e6a86f17,,,,,,
"A """"",A_9b1251c1_2,,,,,,
"C """"",C_e7c7a9df_1,,,,,,
"S """"",S_279c6761,,,,,,
"S """"",S_75edebf6,,,,,,
"C """"",C_31c327a0,,,,,,
"S """"",S_7e8084e9,,,,,,
"C """"",C_fbccba58,,,,,,
"S """"",S_27a0cb51,,,,,,
"C """"",C_45a2aa4d,,,,,,
"S """"",S_cf4923d6,,,,,,
"C """"",C_b9d9a83e,,,,,,
"S """"",S_97255886,,,,,,
"C """"",C_48092949,,,,,,
"S """"",S_e0a7cee3,,,,,,
"C """"",C_0aba0274,,,,,,
"S """"",S_be7435c0,,,,,,
"C """"",C_e2899298,,,,,,
"S """"",S_b82ae6f2,,,,,,
"C """"",C_7f28b307,,,,,,
"S """"",S_d3f61148,,,,,,
"C """"",C_cd87eecd,,,,,,
"S """"",S_cf508cc5,,,,,,
"C """"",C_1585a1ef,,,,,,
"S """"",S_f9b86f43,,,,,,
"A """"",A_305dfb12,,,,,,
"S """"",S_cb527c2b,,,,,,
"C """"",C_d2ac9e64,,,,,,
"S """"",S_a2da322a,,,,,,
"S """"",S_24775704,,,,,,
"A """"",A_a61e0310,,,,,,
"S """"",S_0eb86fe5,,,,,,
"A """"",A_9ac602d3,,,,,,
"S """"",S_465e791a,,,,,,
"A """"",A_15861d22,,,,,,
"S """"",S_47c44b59,,,,,,
"A """"",A_43df73d2,,,,,,
"S """"",S_dc5006d4,,,,,,
"A """"",A_d3f35649,,,,,,
"S """"",S_e34427e4,,,,,,
"A """"",A_bcda2ba5,,,,,,
"S """"",S_6740122b,,,,,,
"A """"",A_07d7e18e,,,,,,
"S """"",S_adece98c,,,,,,
"A """"",A_083aa658,,,,,,
"C """"",C_b89958ca,,,,,,
"S """"",S_407e3008,,,,,,
"A """"",A_38fb79ec,,,,,,
"S """"",S_d1df4ac4,,,,,,
"A """"",A_d79ac92e,,,,,,
"A """"",A_ef68d8d9,,,,,,
"S """"",S_2dab547e,,,,,,
"A """"",A_ef4416e3,,,,,,
"S """"",S_ae28d960,,,,,,
"A """"",A_bccd8559,,,,,,
"S """"",S_3bf21831,,,,,,
"A """"",A_a1b34056,,,,,,
"S """"",S_bc9cb28e,,,,,,
"A """"",A_133a1209,,,,,,
"S """"",S_8a1b285b,,,,,,
"S """"",S_c46ef6a7,,,,,,
"A """"",A_1fb22c2c,,,,,,
"S """"",S_20243b3f,,,,,,
"A """"",A_7ec61cc9,,,,,,
"A """"",A_9b1251c1_3,,,,,,
"A """"",A_27a99a93,,,,,,
"A """"",A_7ade7e4f,,,,,,
"A """"",A_9b1251c1_4,,,,,,
"A """"",A_ddae202f,,,,,,
"A """"",A_b57e392c,,,,,,
"A """"",A_9b1251c1_5,,,,,,
"A """"",A_887b949f,,,,,,
"Aside5 """"",Aside5_2d113d06,,,,,,
"S """"",S_d4fcf17e,,,,,,
