"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"""""","narrator_daa6a9c0","","","","","",""
"S """"","S_305b35b6","","","","","",""
"A """"","A_3891b72d","","","","","",""
"""""","narrator_d6846d7b","","","","","",""
"S """"","S_72ab8e8e","","","","","",""
"A """"","A_1d68ede0","","","","","",""
"S """"","S_0930be95","","","","","",""
"S """"","S_02188edf","","","","","",""
"A """"","A_c4461ad2","","","","","",""
"S """"","S_34c24ea8","","","","","",""
"S """"","S_d710b0e3","","","","","",""
"A """"","A_646a2f8a","","","","","",""
"A """"","A_7a97429d","","","","","",""
"S """"","S_1f61ae1a","","","","","",""
"A """"","A_ddf29900","","","","","",""
"""""","narrator_eee5d0f6","","","","","",""
"A """"","A_2a15c14d","","","","","",""
"A """"","A_611365d4","","","","","",""
"""""","narrator_aa2e2e30","","","","","",""
"S """"","S_77913983","","","","","",""
"S """"","S_770964ef","","","","","",""
"A """"","A_cf5d9171","","","","","",""
"S """"","S_8c1b9b2e","","","","","",""
"A """"","A_4b69b1e4","","","","","",""
"S """"","S_226d1790","","","","","",""
"A """"","A_976d630d","","","","","",""
"S """"","S_d5b0ce3d","","","","","",""
"S """"","S_69587a7a","","","","","",""
"S """"","S_1e393fe6","","","","","",""
"A """"","A_3ebd8f9d","","","","","",""
"S """"","S_ca39a6fa","","","","","",""
"A """"","A_d1693cbc","","","","","",""
"""""","narrator_ef35b2da","","","","","",""
"A """"","A_f829a513","","","","","",""
"A """"","A_58614a8d","","","","","",""
"""""","narrator_9ed1c6f6","","","","","",""
"A """"","A_d17f2f1c","","","","","",""
"S """"","S_817e37fd","","","","","",""
"A """"","A_af07b76e","","","","","",""
"S """"","S_533824f3","Y-sì...","","","","",""
"A """"","A_408ba020","","","","","",""
"S """"","S_0f6a9905","","","","","",""
"A """"","A_683806be","","","","","",""
"S """"","S_a8583b0c","","","","","",""
"S """"","S_b2c68dd2","","","","","",""
"""""","narrator_9d3a701a","","","","","",""
"A """"","A_541b7dba","","","","","",""
