location,source,target,ID,fuzzy,context,translator_comments,developer_comments
"S """"",S_c674df9c,"Ok... Devo aiutarlo, non posso guardarlo soffrire per sempre. Facciamolo!",,,,,
"C """"",C_0ee1d048,Da dove viene tutto questo entusiasmo?),,,,,
"S """"",S_feea1a72,"Sono in parte in colpa per la sua situazione attuale, quindi dovrei aiutarlo.",,,,,
"S """"",S_4709f008,"(Hm... A dire il vero, non mi sembra affatto convincente... Sto davvero per farlo?)",,,,,
"S """"",S_f2764213,"Abbi pazienza, presto starai bene.",,,,,
"C """"",C_4acb820f,E come pensi di aiutarlo?),,,,,
"S """"",S_5e29cb33,"Sai, smettila!",,,,,
"C """"",C_d7f3a4fa,Che vuoi dire? Voglio solo sapere cosa hai intenzione di fare!),,,,,
"C """"",C_7a1e4b17,(Penso che usare il tuo petto sarebbe ottimale e ti permetterebbe di passare il minor tempo su di lui.),,,,,
"S """"",S_4e392490,Se volessi un tuo consiglio...,,,,,
"C """"",C_2d35945d,"Dai, voglio solo aiutarti.)",,,,,
"S """"",S_0c7657de,,,,,,
"C """"",C_2ada4ec4,"Beh, se avessi intenzione di usare la bocca, non te lo rinfaccerei, sono sicuro che gli piacerebbe tanto quanto il tuo seno.)",,,,,
"S """"",S_0c7657de_1,,,,,,
"S """"",S_39c9ecb3,"Idiota, non sto facendo niente del genere! Usero ' le mani!",,,,,
"C """"",C_fbc7572e,,,,,,
"C """"",C_fd85a382,(Perche ' non le tue tette?),,,,,
"S """"",S_65560dd3,,,,,,
"C """"",C_7e3f786c,"(Beh, a leas...)",,,,,
"S """"",S_23c7c0b8,,,,,,
"S """"",S_29ab6ace,SAI DAI!,,,,,
"C """"",C_10867946,(Ero silenzioso!),,,,,
"S """"",S_4283e0cd,E resta così!,,,,,
"C """"",C_fbc7572e_1,,,,,,
"S """"",S_63beaf84,,,,,,
"S """"",S_d6f1ab0f,Questa cosa e 'ancora piu' grossa e spessa di quanto pensassi. E la sua forma e 'cosi' insolita...,,,,,
"S """"",S_7f01196d,"Beh, non c'e ' tempo da perdere!",,,,,
"S """"",S_91ae8ddc,* Fap-fap-fap*,,,,,
"Z """"",Z_0d9350d5,,,,,,
"S """"",S_f2764213_1,"Abbi pazienza, presto starai bene.",,,,,
"S """"",S_259ad97a,Gli piace di sicuro quello che gli sto facendo...),,,,,
"S """"",S_f20c9126,Non dovrai sopportare il dolore molto presto...,,,,,
"""""",narrator_01b39fcf,* Fap-fap-fap*,,,,,
"Z """"",Z_0d9350d5_1,,,,,,
"S """"",S_e8363e2d,"Ti piace quando Accelero, vero?",,,,,
"S """"",S_8def1989,Non trattenerti.,,,,,
"""""",narrator_9b1daaec,* Fap-fap-fap*,,,,,
"S """"",S_c2e149c8,E ' ora di finire.),,,,,
"""""",narrator_9b1daaec_1,* Fap-fap-fap*,,,,,
"S """"",S_ffa7c4c2,"Scommetto che gli piace cosi ' tanto la mia mano, hehe.)",,,,,
"""""",narrator_01b39fcf_1,* Fap-fap-fap*,,,,,
"S """"",S_aeed9782,"(Sono abbastanza esperto in questo, dopo tutto. Soprattutto dopo i recenti eventi.)",,,,,
"Z """"",Z_f9da8a4a,,,,,,
"Z """"",Z_808430c5,*Slurp-slurp*,,,,,
"S """"",S_f939e4b3,"Ah... smettila, che stai facendo? Non puoi toccarlo!",,,,,
"Z """"",Z_e3cc0114,,,,,,
"S """"",S_a2697f95,"Voglio aiutarti, perche ' mi stai impedendo?",,,,,
"Z """"",Z_808430c5_1,*Slurp-slurp*,,,,,
"S """"",S_fbed625b,"Non e ' abbastanza, vero? Vuole di piu'...)",,,,,
"S """"",S_80ff4df8,"Non posso fermarmi a meta ' strada, devo finire quello che ho iniziato. E se e ' questo che devo fare... Così sia.",,,,,
"S """"",S_0c7657de_2,,,,,,
"Z """"",Z_df1f1ddb,*Skr*,,,,,
"Z """"",Z_808430c5_2,*Slurp-slurp*,,,,,
"S """"",S_017092c1,(Ahhh... La sua lingua... Si e ' concentrato sul mio capezzolo mentre lo esponevo... piccolo pervertito...),,,,,
"S """"",S_b28b157c,Mmmm... Rallenta... Concentrati sul finire!,,,,,
"""""",narrator_f42cd5a3,* Fap-fap-fap*,,,,,
"""""",narrator_764432e9,"Nella speranza di farla finita in fretta, Sarah ha accelerato i movimenti delle mani e la stanza piena di suoni osceni.",,,,,
"Z """"",Z_808430c5_3,*Slurp-slurp*,,,,,
"S """"",S_0e8119e6,,,,,,
"S """"",S_d41df02e,"Cavolo, e ' stato inaspettato... Quando mi sono svegliato, si e ' svegliato anche lui!)",,,,,
"S """"",S_d423124d,"Non perdero ' contro di te, piccolo pervertito!",,,,,
"""""",narrator_f42cd5a3_1,* Fap-fap-fap*,,,,,
"C """"",C_e9d8eed0,(Ed ecco che arrivano le armi pesanti.),,,,,
"S """"",S_19e45b15,(Cosa?),,,,,
